Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
study,47,0.1308503987941336,0.2019527533578894,4.441955474940143,5.561109263917061e-05,0.0024785079617353836,0.6479257975861702,True,male
recipe,11,-0.5496728149327365,0.28339960373632594,-6.432819455479964,7.51063018707692e-05,0.0024785079617353836,-1.939568043447761,True,female
analysis,38,0.14618688821792603,0.2185844164140837,4.122693262240176,0.00020286593557328298,0.0044630505826122255,0.6687891598868207,True,male
excavation,9,0.12164941098954943,0.07740750636961204,4.714636216622997,0.0015125956728818263,0.02117902802241282,1.5715454055409992,True,male
report,8,0.09541336819529533,0.05595967888564231,4.822575183436404,0.0019157681846205504,0.02117902802241282,1.7050378074949202,True,male
survey,19,0.10880411926068757,0.13073911504657768,3.627576646280039,0.0019253661838557108,0.02117902802241282,0.8322231584780465,True,male
observation,8,-0.16343285515904427,0.1058437613491528,-4.3673610491002846,0.003284596217892551,0.03096905005441548,-1.5440953068544028,True,female
design,17,-0.14950291198842666,0.18478301317854468,-3.3358926605991543,0.004190078127425376,0.03456814455125935,-0.8090728114925316,True,female
therapy,9,-0.3745537731382582,0.3157051935444999,-3.5592107522817487,0.007409240167153716,0.04950206187655482,-1.1864035840939164,True,female
project,57,0.07036392050876952,0.19147470791872076,2.774444498869619,0.007500312405538609,0.04950206187655482,0.36748415116339206,True,male
campaign,15,-0.09457060446341832,0.13682610738273193,-2.676904160571135,0.01805452487920269,0.10441742882157816,-0.6911736822190233,False,female
workout,5,-0.08565863370895385,0.050308928415001716,-3.807247219677621,0.018984987058468756,0.10441742882157816,-1.702652718069247,False,female
training,5,-0.06343522369861603,0.039057359920042806,-3.6317219763034,0.022126123716549224,0.11233262809940375,-1.6241554428788565,False,female
photo,3,0.710930605729421,0.20352081167372452,6.050329298770432,0.02624683237397125,0.11598496218336501,3.4931592493309886,False,male
legal,3,0.3715614875157674,0.10660718156271433,6.036773180562756,0.026360218678037502,0.11598496218336501,3.4853326208346207,False,male
plan,27,-0.11741652919186486,0.26492469874793056,-2.302972072855394,0.029535248998553126,0.12176319212041428,-0.44320718206641746,False,female
