Context,mean_delta,std_delta,count,mean_abs_delta
photo,0.710930605729421,0.2035208116737245,3,0.710930605729421
legal,0.3715614875157674,0.10660718156271433,3,0.3715614875157674
clothing,0.33959275484085083,0.22587633048859024,4,0.33959275484085083
symphony,0.2627822613576427,0.21704619179325269,4,0.2627822613576427
museum,0.211198091506958,0.20073038834065537,3,0.211198091506958
fashion,0.16929013349793173,0.24345392674058708,11,0.16929013349793173
analysis,0.14618688821792603,0.2185844164140837,38,0.14618688821792603
experiment,0.14069734107364307,0.2970210447876924,22,0.14069734107364307
study,0.1308503987941336,0.20195275335788943,47,0.1308503987941336
excavation,0.12164941098954943,0.07740750636961205,9,0.12164941098954943
survey,0.10880411926068757,0.13073911504657768,19,0.10880411926068757
musical,0.10679284163883754,0.19462743353318834,7,0.10679284163883754
theorem,0.09790866374969483,0.20194198574233096,5,0.09790866374969483
report,0.09541336819529533,0.05595967888564231,8,0.09541336819529533
audit,0.08477012316385905,0.16472693489436946,3,0.08477012316385905
algorithm,0.07229280471801758,0.14408537797750282,6,0.07229280471801758
project,0.07036392050876952,0.19147470791872076,57,0.07036392050876952
prototype,0.06890630722045898,0.18266104680114323,3,0.06890630722045898
novel,0.050841331481933594,0.27649977938340425,7,0.050841331481933594
flight,0.05039869248867035,0.10241287674639984,4,0.05039869248867035
script,0.04676274210214615,0.15577351384460209,6,0.04676274210214615
mission,0.03942021131515503,0.28502944012809883,5,0.03942021131515503
startup,0.030265378952026366,0.16593800738760056,5,0.030265378952026366
fitness,0.019678791364034016,0.1616414261193283,3,0.019678791364034016
counseling,0.018816351890563965,0.21596499509574865,6,0.018816351890563965
strategy,0.015870635708173115,0.17136678660244914,12,0.015870635708173115
system,0.013516753911972046,0.2660564935944823,4,0.013516753911972046
art,-0.0001667812466621399,0.23045559354937753,14,0.0001667812466621399
development,-0.001361513137817383,0.10909592080250463,5,0.001361513137817383
program,-0.004773963242769241,0.20875446710279108,16,0.004773963242769241
menu,-0.041386890411376956,0.20572357079525064,5,0.041386890411376956
research,-0.04269543646110429,0.22091474218075563,45,0.04269543646110429
training,-0.06343522369861603,0.039057359920042806,5,0.06343522369861603
innovation,-0.06552569071451823,0.20110005590224453,9,0.06552569071451823
dance,-0.067484845717748,0.1063489236456275,3,0.067484845717748
application,-0.0703352451324463,0.2469617125546326,5,0.0703352451324463
glitch,-0.07624657948811848,0.33529657517771816,3,0.07624657948811848
initiative,-0.08336528609780704,0.30188351145820225,17,0.08336528609780704
workout,-0.08565863370895385,0.050308928415001716,5,0.08565863370895385
campaign,-0.09457060446341832,0.13682610738273193,15,0.09457060446341832
breakthrough,-0.0956728458404541,0.10626554318200823,3,0.0956728458404541
artwork,-0.09701800346374512,0.1676625347698605,3,0.09701800346374512
economic,-0.10243608554204305,0.14263684106186247,6,0.10243608554204305
assessment,-0.10622182935476303,0.17603787168731128,10,0.10622182935476303
data,-0.1127797265847524,0.13071705412296988,3,0.1127797265847524
protocol,-0.1149302323659261,0.10750523338816714,3,0.1149302323659261
plan,-0.11741652919186486,0.2649246987479306,27,0.11741652919186486
software,-0.12221524715423585,0.1760647435059283,10,0.12221524715423585
piece,-0.12808279196421304,0.2122909724739573,3,0.12808279196421304
curriculum,-0.12964220046997071,0.16097772155084797,10,0.12964220046997071
discovery,-0.13479411229491234,0.3715250673354985,8,0.13479411229491234
trial,-0.13545643786589304,0.09626506276256043,3,0.13545643786589304
therapeutic,-0.1427294969558716,0.35849808457312904,10,0.1427294969558716
medical,-0.14699816703796387,0.28151092232715375,4,0.14699816703796387
design,-0.14950291198842666,0.18478301317854468,17,0.14950291198842666
observation,-0.16343285515904427,0.1058437613491528,8,0.16343285515904427
collection,-0.1805273195107778,0.3368125932335102,6,0.1805273195107778
findings,-0.22210460901260376,0.1613158436772139,4,0.22210460901260376
app,-0.2407191594441732,0.2743706304431892,3,0.2407191594441732
cybersecurity,-0.2543049454689026,0.20295237698620552,4,0.2543049454689026
composition,-0.25942279398441315,0.48267107596824255,4,0.25942279398441315
performance,-0.2801808714866638,0.22626582482746846,3,0.2801808714866638
forecast,-0.30690781275431317,0.585819404431376,3,0.30690781275431317
therapy,-0.3745537731382582,0.3157051935444999,9,0.3745537731382582
recipe,-0.5496728149327365,0.28339960373632594,11,0.5496728149327365
sports,-0.5949601729710897,0.8208956486483147,3,0.5949601729710897
