Context,mean_delta,std_delta,count,mean_abs_delta
entrepreneur,1.3961596999849593,0.6802425035695729,14,1.3961596999849593
conductor,1.274488131205241,0.7594448957939922,3,1.274488131205241
physicist,1.1747338446703823,0.6679479595080677,11,1.1747338446703823
explorer,1.1745410561561584,0.6295591700517393,4,1.1745410561561584
engineer,1.159915370038814,0.5443647050900903,36,1.159915370038814
pilot,1.1552591834749495,0.623586924927561,7,1.1552591834749495
filmmaker,1.03227961063385,0.3754511154630675,8,1.03227961063385
expert,1.020695668199788,0.47498771332039974,23,1.020695668199788
poet,0.9522968292236328,0.6582273826308916,5,0.9522968292236328
astronaut,0.9139594435691833,0.3419920601553663,4,0.9139594435691833
photographer,0.877970386828695,0.4874965990806357,7,0.877970386828695
director,0.8392877578735352,0.34038396723497233,5,0.8392877578735352
architect,0.8346200324594975,0.2307523082726945,16,0.8346200324594975
novelist,0.823777437210083,0.486584199674238,4,0.823777437210083
economist,0.7771514716901278,0.4289919231798481,19,0.7771514716901278
musician,0.7452808085240816,0.35847774746004873,19,0.7452808085240816
historian,0.7038184483846028,0.44437645613893373,30,0.7038184483846028
author,0.6829744444953071,0.28509276317310683,9,0.6829744444953071
specialist,0.6542086899280548,0.7835186819987492,8,0.6542086899280548
coach,0.613119641939799,0.5003593826260805,6,0.613119641939799
journalist,0.6039379090070724,0.45820856549683275,16,0.6039379090070724
lawyer,0.5831559896469116,0.20318114913863586,4,0.5831559896469116
geneticist,0.5724276751279831,0.2835014734610923,9,0.5724276751279831
scientist,0.5720315453333732,0.4281843827871294,39,0.5720315453333732
chef,0.5524562960085662,0.28997015600036397,23,0.5524562960085662
physician,0.5362116694450378,0.0940576233629104,4,0.5362116694450378
designer,0.5250518183256018,0.3613767835273926,29,0.5250518183256018
trainer,0.4923035303751628,0.17541977514802728,3,0.4923035303751628
environmentalist,0.4903362188488245,0.5437078269310812,16,0.4903362188488245
analyst,0.46197297939887416,0.327400897115846,13,0.46197297939887416
critic,0.46056926250457764,0.6569365923451432,3,0.46056926250457764
scholar,0.36766767501831055,0.35145857590815843,4,0.36766767501831055
advocate,0.34490402539571124,0.47104548635809884,3,0.34490402539571124
manager,0.32844365388154984,0.3414342441144879,4,0.32844365388154984
artist,0.3103826088564737,0.27774329526801195,14,0.3103826088564737
developer,0.3068416979577806,0.2374153226315771,9,0.3068416979577806
athlete,0.28142754848186785,1.0344171022980704,13,0.28142754848186785
activist,0.2563375473022461,0.31537883239628467,5,0.2563375473022461
archaeologist,0.23220675500730673,0.05009993256718651,12,0.23220675500730673
anthropologist,0.1863402420920985,0.161280194303799,7,0.1863402420920985
strategist,0.16925046996523938,0.17762284627535072,3,0.16925046996523938
curator,0.16425888212397693,0.13115960508054955,10,0.16425888212397693
neuroscientist,0.16298190015368164,0.07304228682731898,4,0.16298190015368164
choreographer,0.15224490749339262,0.06758956338071864,3,0.15224490749339262
planner,0.14053546278488024,0.1076340231196014,21,0.14053546278488024
geologist,0.12409086552049432,0.07103541422814057,14,0.12409086552049432
climatologist,0.11445316074726482,0.045328192723888314,6,0.11445316074726482
linguist,0.10755721812269517,0.15412081268898334,14,0.10755721812269517
criminologist,0.10552026116238267,0.023125981064844963,4,0.10552026116238267
coordinator,0.10463138421376546,0.7101157438066613,3,0.10463138421376546
ecologist,0.10256928429007531,0.09601871105646581,5,0.10256928429007531
philanthropist,0.09681225856766104,0.02038730639079795,5,0.09681225856766104
consultant,0.09171168009440105,0.5271747904900629,3,0.09171168009440105
sociologist,0.08734000515606669,0.09772761518543528,9,0.08734000515606669
biologist,0.085460303982179,0.15214250696985512,31,0.085460303982179
researcher,0.08420087496439616,0.593933411233609,30,0.08420087496439616
mathematician,0.06517458078451455,0.0636675595807276,8,0.06517458078451455
demographer,0.05599976573139429,0.10099280648044577,5,0.05599976573139429
worker,0.02528637759387493,0.14683270705641768,10,0.02528637759387493
astronomer,0.0005679097334602072,0.014184031553503383,15,0.0005679097334602072
psychologist,-0.031169281851860783,0.23105623570039305,31,0.031169281851860783
fitness,-0.051543569564819335,0.1545596164293658,5,0.051543569564819335
humanitarian,-0.07965350151062012,0.24089739875824603,4,0.07965350151062012
educator,-0.142333804818918,0.13144351391367906,16,0.142333804818918
nutritionist,-0.17751369749506316,0.14119174184063532,18,0.17751369749506316
geographer,-0.2697758600115776,0.15963388162894698,4,0.2697758600115776
teacher,-0.45038817988501656,0.36027256034430477,9,0.45038817988501656
therapist,-0.5599195957183838,0.2814627130731841,15,0.5599195957183838
