Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
engineer,36,1.159915370038814,0.5443647050900903,12.784613247622504,9.525656379274484e-15,6.477446337906649e-13,2.13076887460375,True,male
architect,16,0.8346200324594975,0.2307523082726945,14.467808165510087,3.2291436466215574e-10,9.214430259131301e-09,3.6169520413775214,True,male
scientist,39,0.5720315453333732,0.42818438278712945,8.34298493647685,4.0651898202049857e-10,9.214430259131301e-09,1.33594677510169,True,male
expert,23,1.020695668199788,0.4749877133203998,10.305707545658844,6.959765441072004e-10,1.1831601249822407e-08,2.1488885703266276,True,male
historian,30,0.7038184483846028,0.4443764561389336,8.675014961818933,1.4956836453468767e-09,2.034129757671752e-08,1.5838337937610156,True,male
archaeologist,12,0.23220675500730673,0.05009993256718651,16.05566622246415,5.5588125534452595e-09,5.8995396343886086e-08,4.634871607779229,True,male
chef,23,0.5524562960085662,0.28997015600036397,9.137103473666231,6.0730555059882735e-09,5.8995396343886086e-08,1.9052177769903766,True,male
designer,29,0.5250518183256018,0.3613767835273926,7.824217555898094,1.5985285565055522e-08,1.3587492730297195e-07,1.4529207250133225,True,male
musician,19,0.7452808085240816,0.35847774746004873,9.062218650765221,3.9744533451772146e-08,3.0029203052450064e-07,2.0790155422607954,True,male
economist,19,0.7771514716901278,0.4289919231798481,7.896476707094114,2.9487423936990783e-07,2.0051448277153733e-06,1.811575998749793,True,male
therapist,15,-0.5599195957183838,0.2814627130731841,-7.704605863259178,2.1161330422622534e-06,1.3081549715803023e-05,-1.9893206798329879,True,female
entrepreneur,14,1.3961596999849593,0.680242503569573,7.679542556003374,3.4884009248320984e-06,1.9767605240715224e-05,2.0524440808367754,True,male
planner,21,0.14053546278488024,0.10763402311960138,5.983371961500905,7.513068528953591e-06,3.9299127689911085e-05,1.3056788059359192,True,male
geologist,14,0.12409086552049432,0.07103541422814057,6.536253904492549,1.8935881696170712e-05,9.197428252425774e-05,1.7468873359696118,True,male
nutritionist,18,-0.17751369749506316,0.14119174184063532,-5.334071424401026,5.4806562140506355e-05,0.00024845641503696214,-1.257252691842451,True,female
author,9,0.6829744444953071,0.28509276317310683,7.18686546330124,9.364554117043789e-05,0.00037556152650627137,2.3956218211004137,True,male
journalist,16,0.6039379090070724,0.45820856549683275,5.272166035152366,9.389038162656784e-05,0.00037556152650627137,1.3180415087880915,True,male
filmmaker,8,1.03227961063385,0.3754511154630674,7.776585368345847,0.0001091695409244706,0.00041241826571466675,2.749438124216717,True,male
physicist,11,1.1747338446703823,0.6679479595080677,5.833016383750537,0.0001653717413082362,0.000591856758366319,1.758720612808749,True,male
analyst,13,0.46197297939887416,0.32740089711584597,5.0875464293921535,0.00026727676346737953,0.0009087409957890905,1.4110315013443957,True,male
geneticist,9,0.5724276751279831,0.2835014734610923,6.057404232925897,0.00030341591319797424,0.0009824896236886784,2.0191347443086323,True,male
philanthropist,5,0.09681225856766104,0.020387306390797947,10.618312545216211,0.0004453245755323364,0.0013764577789181307,4.748653731488452,True,male
educator,16,-0.142333804818918,0.1314435139136791,-4.331405957768011,0.0005931497848949048,0.0017536602336023274,-1.0828514894420027,True,female
artist,14,0.3103826088564737,0.27774329526801195,4.181362434089855,0.0010763184153236632,0.0030495688434170457,1.1175161170208123,True,male
physician,4,0.5362116694450378,0.0940576233629104,11.401769474359934,0.0014476257801697837,0.003937542122061812,5.700884737179967,True,male
climatologist,6,0.11445316074726482,0.04532819272388831,6.184933182473695,0.0016109507727423119,0.0042132558671722,2.524988398378105,True,male
environmentalist,16,0.4903362188488245,0.5437078269310813,3.607350820138022,0.002586379228508684,0.00651384398291076,0.9018377050345056,True,male
pilot,7,1.1552591834749495,0.6235869249275611,4.901527561138838,0.0027067139944988608,0.006521120739902807,1.8526032815860436,True,male
criminologist,4,0.10552026116238267,0.023125981064844963,9.125689488934992,0.0027810661978997266,0.006521120739902807,4.562844744467496,True,male
photographer,7,0.877970386828695,0.4874965990806357,4.7649384763065425,0.003110557733971332,0.007050597530335019,1.8009774601185924,True,male
curator,10,0.16425888212397693,0.13115960508054955,3.9603061712932317,0.0033027433438579867,0.007244727334914294,1.252358773290755,True,male
biologist,31,0.085460303982179,0.15214250696985512,3.127481230757387,0.00390112192800213,0.008289884097004527,0.5617122110332502,True,male
developer,9,0.3068416979577806,0.2374153226315771,3.8772775222339777,0.004692807153662511,0.009670026862092446,1.2924258407446594,True,male
director,5,0.8392877578735352,0.3403839672349723,5.513492584664221,0.005281214032830443,0.010562428065660885,2.465708842550043,True,male
teacher,9,-0.45038817988501656,0.36027256034430477,-3.750395362788025,0.005621048947805972,0.01092089509859446,-1.2501317875960085,True,female
lawyer,4,0.5831559896469116,0.20318114913863586,5.740256831100103,0.010499099739595931,0.01983163284145898,2.8701284155500515,True,male
astronaut,4,0.9139594435691833,0.3419920601553664,5.3449161548018,0.012807336402507693,0.02353780744244657,2.6724580774009,True,male
neuroscientist,4,0.16298190015368164,0.07304228682731898,4.4626724390212775,0.02095394367593984,0.03749653078852393,2.2313362195106388,True,male
linguist,14,0.10755721812269517,0.15412081268898334,2.6112129352819413,0.021542611693085065,0.0375614767981996,0.6978760119812386,True,male
anthropologist,7,0.1863402420920985,0.161280194303799,3.056853582967501,0.022314849550842484,0.03793524423643223,1.15538205355268,True,male
mathematician,8,0.06517458078451455,0.0636675595807276,2.8953764420818735,0.023138037945766753,0.03837528244663754,1.0236701581419358,True,male
sociologist,9,0.08734000515606669,0.0977276151854353,2.681125646737872,0.027877331058490714,0.04513472647565163,0.8937085489126239,True,male
coach,6,0.613119641939799,0.5003593826260805,3.0015031718766685,0.030047310663213124,0.04751667732787191,1.2253585387405126,True,male
poet,5,0.9522968292236328,0.6582273826308916,3.235052963598198,0.03182273250161927,0.0491805865934116,1.4467596674835448,True,male
explorer,4,1.1745410561561584,0.6295591700517393,3.731312677280614,0.033544488481736905,0.05068944926129132,1.865656338640307,False,male
trainer,3,0.4923035303751628,0.17541977514802728,4.860881429335814,0.039812066179018765,0.058852619568984264,2.8064312017258852,False,male
novelist,4,0.823777437210083,0.486584199674238,3.385960488489317,0.0429023597742463,0.061049143402187166,1.6929802442446582,False,male
geographer,4,-0.2697758600115776,0.15963388162894698,-3.3799323459244657,0.043093512989779176,0.061049143402187166,-1.6899661729622328,False,female
specialist,8,0.6542086899280548,0.7835186819987492,2.361630483547467,0.050220681383241046,0.06969400681755901,0.8349624647866395,False,male
choreographer,3,0.15224490749339262,0.06758956338071864,3.9014294779037524,0.05985971758708244,0.08140921591843212,2.2524913592920726,False,male
ecologist,5,0.10256928429007531,0.09601871105646581,2.388616651406979,0.07528081299903967,0.10037441733205289,1.0682218409467847,False,male
conductor,3,1.274488131205241,0.7594448957939922,2.9066996290535205,0.10078237223360978,0.13179233292087433,1.6781838132874356,False,male
scholar,4,0.36766767501831055,0.35145857590815843,2.0922390302656195,0.12750445828040613,0.16359062571825692,1.0461195151328098,False,male
activist,5,0.2563375473022461,0.31537883239628467,1.8174592650947448,0.14329948056317113,0.1804511977462155,0.8127924926177319,False,male
manager,4,0.32844365388154984,0.3414342441144879,1.923905756631827,0.15006096091918833,0.18552991531826923,0.9619528783159134,False,male
strategist,3,0.16925046996523938,0.17762284627535072,1.6504093889491191,0.24064722679131278,0.29221448967516556,0.9528643049828596,False,male
demographer,5,0.05599976573139429,0.10099280648044577,1.2398831883507053,0.28278581028162664,0.3373585105114142,0.5544926186622704,False,male
advocate,3,0.34490402539571124,0.47104548635809884,1.2682242225462037,0.33236492115456434,0.3896692179053513,0.7322095962798545,False,male
athlete,13,0.28142754848186785,1.0344171022980704,0.9809403326039682,0.34598596403973414,0.3950220645841774,0.2720638974903314,False,male
critic,3,0.46056926250457764,0.6569365923451432,1.214317138606495,0.34854888051545063,0.3950220645841774,0.7010863268560361,False,male
researcher,30,0.08420087496439616,0.593933411233609,0.7764964507364971,0.44374347868468383,0.49466486148456557,0.14176820729702613,False,male
psychologist,31,-0.031169281851860783,0.23105623570039308,-0.7510864884634654,0.458452199814663,0.5028185417322111,-0.13489911560871048,False,female
fitness,5,-0.051543569564819335,0.1545596164293658,-0.7456988313800398,0.4972851526238788,0.5367522282289485,-0.33348665554158446,False,female
humanitarian,4,-0.07965350151062012,0.24089739875824603,-0.6613064476512414,0.555669582628119,0.5903989315423765,-0.3306532238256207,False,female
worker,10,0.02528637759387493,0.14683270705641768,0.5445826653660267,0.599272239749289,0.6269309585069486,0.17221215968019388,False,male
consultant,3,0.09171168009440105,0.527174790490063,0.3013218621917394,0.7916109329332462,0.8155991430221324,0.17396825824912007,False,male
coordinator,3,0.10463138421376546,0.7101157438066614,0.25520751385261975,0.8224095257857974,0.8346842948273765,0.14734412682202516,False,male
astronomer,15,0.0005679097334602072,0.014184031553503383,0.1550690952388081,0.8789803467579586,0.8789803467579586,0.040038668224757046,False,male
