Context,mean_delta,std_delta,count,mean_abs_delta
trainer,1.2315880457560222,0.8072593078562625,3,1.2315880457560222
director,0.6963520407676697,0.5824327057287814,5,0.6963520407676697
musician,0.6502372340152138,0.3475486911255336,19,0.6502372340152138
ceo,0.609681765238444,0.26848934528858726,3,0.609681765238444
photographer,0.5822715759277344,0.1611097599039507,7,0.5822715759277344
filmmaker,0.5722443461418152,0.36460904145322015,8,0.5722443461418152
mathematician,0.5409468114376068,0.39737295369122255,8,0.5409468114376068
coach,0.5187657674153646,0.6044234564247396,6,0.5187657674153646
choreographer,0.4910407066345215,0.10134233692376211,3,0.4910407066345215
physicist,0.4690390933643688,0.3685869844335132,11,0.4690390933643688
conductor,0.46501938501993817,0.32064917300297924,3,0.46501938501993817
curator,0.46444454193115237,0.32636850631069914,10,0.46444454193115237
artist,0.4620636446135385,0.3027522203760983,14,0.4620636446135385
entrepreneur,0.4467261859348842,0.41823132590045276,14,0.4467261859348842
chef,0.43326991019041644,0.45879300651821636,23,0.43326991019041644
poet,0.4197865009307861,0.06560935745170096,5,0.4197865009307861
historian,0.3897303819656372,0.32847349062088554,30,0.3897303819656372
engineer,0.36704932981067234,0.4691103886619995,36,0.36704932981067234
astronomer,0.3578168551127116,0.4445039426136857,15,0.3578168551127116
architect,0.34631867706775665,0.3611843039976485,16,0.34631867706775665
author,0.2707716127236684,0.17156163352788767,9,0.2707716127236684
critic,0.263965368270874,0.520700609577322,3,0.263965368270874
expert,0.21883918928063434,0.27569402278658967,23,0.21883918928063434
pilot,0.2119748251778739,0.24676123268193556,7,0.2119748251778739
specialist,0.2064725160598755,0.21613845202333695,8,0.2064725160598755
humanitarian,0.20251226425170898,0.08462172613064826,4,0.20251226425170898
planner,0.19535029502142043,0.14062484220733268,21,0.19535029502142043
scientist,0.1931081582338382,0.5144471584414038,39,0.1931081582338382
developer,0.19161722395155165,0.11055873041652158,9,0.19161722395155165
geographer,0.18716560548637062,0.29039734398185474,4,0.18716560548637062
journalist,0.18351267278194427,0.21105023167796585,16,0.18351267278194427
lawyer,0.1564267873764038,0.2377613477630886,4,0.1564267873764038
geneticist,0.15389587419728437,0.1638884607747357,9,0.15389587419728437
athlete,0.13784566292395958,0.4172689283682171,13,0.13784566292395958
archaeologist,0.13023444016774496,0.2187875032236573,12,0.13023444016774496
analyst,0.09238944603846623,0.1790666930001071,13,0.09238944603846623
biologist,0.08848887297414965,0.1942459840787551,31,0.08848887297414965
astronaut,0.07037770748138428,0.1602326669950816,4,0.07037770748138428
economist,0.06465143906442743,0.17537323356292384,19,0.06465143906442743
manager,0.05967786908149719,0.15771577353211771,4,0.05967786908149719
linguist,0.05219776289803641,0.3791133512633294,14,0.05219776289803641
demographer,0.04832750181667507,0.38981657284668825,5,0.04832750181667507
scholar,0.04474437236785889,0.24505934962662923,4,0.04474437236785889
activist,0.0428959846496582,0.22587313357127825,5,0.0428959846496582
strategist,-0.0001066779911222208,0.00016857321236875224,3,0.0001066779911222208
explorer,-0.0017821788787841797,0.15118143658250896,4,0.0017821788787841797
designer,-0.0027816395821242497,0.2547219083146038,29,0.0027816395821242497
criminologist,-0.003931633629690623,0.0027553195274707554,4,0.003931633629690623
researcher,-0.012786952654520671,0.28930344607926634,30,0.012786952654520671
climatologist,-0.01919900725624757,0.02046467546881128,6,0.01919900725624757
ecologist,-0.020912592113018037,0.139702237977519,5,0.020912592113018037
novelist,-0.02324092388153076,0.16009283437188346,4,0.02324092388153076
neuroscientist,-0.04303737836838195,0.041337563501238836,4,0.04303737836838195
therapist,-0.045844682057698566,0.36104784118497907,15,0.045844682057698566
physician,-0.04782426357269287,0.2598471946645084,4,0.04782426357269287
advocate,-0.04999049504597982,0.08605902520348745,3,0.04999049504597982
teacher,-0.05696238411797418,0.21258754553634374,9,0.05696238411797418
sociologist,-0.07095437579684788,0.1677264112217524,9,0.07095437579684788
psychologist,-0.07559610951331354,0.3437077912680219,31,0.07559610951331354
philanthropist,-0.0870473861694336,0.0918097620131373,5,0.0870473861694336
anthropologist,-0.09843431200299944,0.2897202166446372,7,0.09843431200299944
geologist,-0.12678377968924387,0.2097353432376508,14,0.12678377968924387
educator,-0.20196443796157837,0.19387988768073391,16,0.20196443796157837
consultant,-0.2211639086405436,0.10503579479061924,3,0.2211639086405436
environmentalist,-0.23275471478700638,0.25426590864165566,16,0.23275471478700638
coordinator,-0.2598257859547933,0.28868510376450934,3,0.2598257859547933
fitness,-0.2965656280517578,0.10712368754286779,5,0.2965656280517578
worker,-0.328629469871521,0.2816392349158664,10,0.328629469871521
nutritionist,-1.343926595730914,1.405527959969844,18,1.343926595730914
