Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
environmentalist,16,-0.46629152446985245,0.18829585115574174,-9.905508201222707,5.660913060734711e-08,3.9060300119069504e-06,-2.476377050305677,True,female
musician,19,0.6502372340152138,0.3475486911255336,8.15516923174364,1.8621181371222512e-07,6.4243075730717665e-06,1.8709241341390923,True,male
historian,30,0.3897303819656372,0.3284734906208856,6.498671206135721,4.095080958991809e-07,9.41868620568116e-06,1.1864896044699464,True,male
planner,21,0.19535029502142043,0.1406248422073327,6.36592724241247,3.2716234180326194e-06,5.6435503961062684e-05,1.3891592122350778,True,male
engineer,36,0.36704932981067234,0.46911038866199956,4.694622059309837,4.021272836221409e-05,0.0005549356513985545,0.7824370098849728,True,male
artist,14,0.4620636446135385,0.3027522203760983,5.710557124503347,7.165543575218765e-05,0.0007365846395516105,1.5262105891066078,True,male
photographer,7,0.5822715759277344,0.1611097599039507,9.56208851856573,7.47259779255257e-05,0.0007365846395516105,3.6141297477872785,True,male
poet,5,0.4197865009307861,0.06560935745170095,14.30697066053466,0.00013865848673439346,0.0011959294480841437,6.398271789810114,True,male
chef,23,0.43326991019041644,0.4587930065182164,4.529034801910319,0.00016569781450270727,0.0012703499111874224,0.9443690379644298,True,male
nutritionist,18,-0.3093337371117539,0.3164991799243848,-4.146588623965891,0.0006751744489216006,0.004658703697559044,-0.9773603115990922,True,female
developer,9,0.19161722395155165,0.11055873041652158,5.199514047320778,0.0008228900297223268,0.004752683195638842,1.733171349106926,True,male
educator,16,-0.20196443796157837,0.19387988768073394,-4.16679502711818,0.0008265535992415377,0.004752683195638842,-1.041698756779545,True,female
expert,23,0.21883918928063434,0.27569402278658967,3.8068140610385246,0.0009649962940007331,0.005121903406619276,0.7937756033616814,True,male
author,9,0.2707716127236684,0.17156163352788767,4.73482807004727,0.0014737342280295557,0.006562932641476925,1.5782760233490896,True,male
curator,10,0.46444454193115237,0.32636850631069914,4.500135800290212,0.001488658786162168,0.006562932641476925,1.4230678908981689,True,male
entrepreneur,14,0.4467261859348842,0.41823132590045276,3.9965833020036805,0.0015218394530960985,0.006562932641476925,1.0681318166999614,True,male
architect,16,0.34631867706775665,0.36118430399764845,3.835367962944607,0.0016216720213132634,0.0065820805570950104,0.9588419907361517,True,male
physicist,11,0.4690390933643688,0.3685869844335132,4.220514425079204,0.0017701798348403587,0.006785689366888042,1.2725329791154778,True,male
filmmaker,8,0.5722443461418152,0.36460904145322015,4.439142332178892,0.0030108193256745165,0.01093402807744956,1.5694738228679799,True,male
journalist,16,0.18351267278194427,0.21105023167796585,3.478085218346689,0.003371801979694428,0.011373287035005729,0.8695213045866722,True,male
fitness,5,-0.2965656280517578,0.10712368754286779,-6.190422672373739,0.003461435184566961,0.011373287035005729,-2.7684411809767178,True,female
worker,10,-0.328629469871521,0.2816392349158664,-3.689889412453957,0.0049982410723994515,0.015676301545252826,-1.1668454857494974,True,female
mathematician,8,0.5409468114376068,0.39737295369122255,3.8503592665342636,0.006289514861754862,0.018868544585264588,1.3613075736854197,True,male
astronomer,15,0.3578168551127116,0.4445039426136857,3.1176747560330345,0.007562154223327222,0.02174119339206576,0.8049801606004808,True,male
choreographer,3,0.4910407066345215,0.10134233692376211,8.392419972664884,0.013902557221034959,0.03837105793005648,4.845365930370463,True,male
biologist,31,0.08848887297414965,0.1942459840787551,2.5363983496961704,0.016641070485882186,0.04416284090484119,0.45555059165739414,True,male
humanitarian,4,0.20251226425170898,0.08462172613064826,4.786294808948909,0.01734250808711356,0.044319742889290206,2.3931474044744543,True,male
scientist,39,0.1931081582338382,0.5144471584414038,2.344186456969382,0.02439773229173128,0.06012298314748066,0.3753702495293955,False,male
criminologist,4,0.6891053376020864,0.3353202341994288,4.110132746670139,0.026080306425100865,0.06205314287351585,2.0550663733350696,False,male
neuroscientist,4,0.530993799911812,0.26483407149952687,4.0100112263142895,0.02782575382354472,0.06399923379415286,2.0050056131571448,False,male
specialist,8,0.2064725160598755,0.21613845202333695,2.7019369273325333,0.030553279547497637,0.06800568673475281,0.9552789618275891,False,male
geologist,14,-0.12678377968924387,0.20973534323765083,-2.2618098527145154,0.041492198330784366,0.08946755265075379,-0.604494110206239,False,female
director,5,0.6963520407676697,0.5824327057287814,2.673425589105391,0.05560741349469259,0.1162700463979936,1.1955922700054151,False,male
ceo,3,0.609681765238444,0.26848934528858726,3.9331162013383367,0.05898240242379706,0.11969958138947051,2.2707856975967675,False,male
