Context,mean_delta,std_delta,count,mean_abs_delta
astronomer,0.8579118887583415,0.17927878843634254,15,0.8579118887583415
linguist,0.8137594291142055,0.17185218354410872,14,0.8137594291142055
historian,0.7499976873397827,0.2329051772487765,30,0.7499976873397827
physicist,0.7383234067396685,0.17014965947809624,11,0.7383234067396685
geologist,0.7283686058861869,0.24936933826593868,14,0.7283686058861869
criminologist,0.6171023808419704,0.13277503151384862,4,0.6171023808419704
economist,0.5283374033476177,0.15582645572817586,19,0.5283374033476177
filmmaker,0.4958353638648987,0.06876604481248481,8,0.4958353638648987
mathematician,0.4796115458011627,0.24503182615457497,8,0.4796115458011627
scientist,0.4738015272678473,0.2409599125778744,39,0.4738015272678473
explorer,0.4249262809753418,0.07872323068632489,4,0.4249262809753418
geographer,0.4161847564391792,0.22093509879458648,4,0.4161847564391792
poet,0.415132474899292,0.18289546882203278,5,0.415132474899292
architect,0.3954664021730423,0.11900644957648657,16,0.3954664021730423
choreographer,0.34085512161254883,0.2504145719214114,3,0.34085512161254883
sociologist,0.32217974132961696,0.17211595570853436,9,0.32217974132961696
photographer,0.27552247047424316,0.10800749926441461,7,0.27552247047424316
analyst,0.2718518880697397,0.16132745244768099,13,0.2718518880697397
entrepreneur,0.2709770543234689,0.17035711606604811,14,0.2709770543234689
biologist,0.2677555853320706,0.22219027012764755,31,0.2677555853320706
trainer,0.26774803797403973,0.12782236107728778,3,0.26774803797403973
engineer,0.26117565234502155,0.17782810081964465,36,0.26117565234502155
strategist,0.25966662044326466,0.18995212479974347,3,0.25966662044326466
scholar,0.2557864189147949,0.19785052691785707,4,0.2557864189147949
author,0.25131870640648735,0.08930801309596573,9,0.25131870640648735
demographer,0.24115370213985443,0.20220106596597456,5,0.24115370213985443
musician,0.23793968401457133,0.1604569887660442,19,0.23793968401457133
astronaut,0.23357939720153809,0.23546776541699668,4,0.23357939720153809
planner,0.2300012991541908,0.2110259525203937,21,0.2300012991541908
lawyer,0.22182023525238037,0.038545169978709604,4,0.22182023525238037
archaeologist,0.2176176110903422,0.1141156030188198,12,0.2176176110903422
geneticist,0.21628570556640625,0.1284016051115989,9,0.21628570556640625
director,0.18512306213378907,0.5626373377635621,5,0.18512306213378907
conductor,0.15480375289916992,0.3119332596860779,3,0.15480375289916992
physician,0.14391720294952393,0.15059502416725165,4,0.14391720294952393
curator,0.13914670944213867,0.04573103350748275,10,0.13914670944213867
critic,0.1386693318684896,0.09534842997593918,3,0.1386693318684896
chef,0.09488828285880711,0.25979132111414377,23,0.09488828285880711
developer,0.08931186464097765,0.10047073046881784,9,0.08931186464097765
journalist,0.07316857576370239,0.12971069760176338,16,0.07316857576370239
expert,0.05230762647545856,0.13556763522866216,23,0.05230762647545856
anthropologist,0.04657285554068429,0.2756173933104041,7,0.04657285554068429
researcher,0.04505883852640788,0.2627512424641056,30,0.04505883852640788
manager,0.03855109214782715,0.13103974503807647,4,0.03855109214782715
designer,0.03546126752064146,0.15878046935939888,29,0.03546126752064146
philanthropist,0.016819095611572264,0.18749852748724985,5,0.016819095611572264
artist,-0.0014710511480058943,0.12494528471750886,14,0.0014710511480058943
ecologist,-0.003645375370979309,0.09581477086594989,5,0.003645375370979309
coach,-0.05846762657165527,0.23580690131019494,6,0.05846762657165527
novelist,-0.06898343563079834,0.22783635586086431,4,0.06898343563079834
neuroscientist,-0.11185834021307528,0.14472196283858715,4,0.11185834021307528
ceo,-0.1148379643758138,0.19833746456874843,3,0.1148379643758138
worker,-0.12151246070861817,0.1551628425821955,10,0.12151246070861817
teacher,-0.12701198789808485,0.1338429079550613,9,0.12701198789808485
pilot,-0.13458783285958426,0.20152481605512526,7,0.13458783285958426
activist,-0.136918306350708,0.1217702542717053,5,0.136918306350708
psychologist,-0.15967963972399313,0.20140692842899346,31,0.15967963972399313
environmentalist,-0.19161225855350494,0.21205815022309116,16,0.19161225855350494
fitness,-0.2726129531860352,0.20849946987348664,5,0.2726129531860352
advocate,-0.3046558698018392,0.25656200205992785,3,0.3046558698018392
specialist,-0.3299320936203003,0.2025692422828662,8,0.3299320936203003
consultant,-0.33276621500651044,0.1916704384626008,3,0.33276621500651044
climatologist,-0.3394528329372406,0.14291610557444837,6,0.3394528329372406
coordinator,-0.33975966771443683,0.1988752376439664,3,0.33975966771443683
athlete,-0.35760054221520055,0.27948093785013284,13,0.35760054221520055
humanitarian,-0.3856058120727539,0.08974251440011094,4,0.3856058120727539
educator,-0.43455570936203003,0.12231368272583246,16,0.43455570936203003
nutritionist,-0.4888322949409485,0.2944656676759593,18,0.4888322949409485
therapist,-0.531069564819336,0.31951300402645305,15,0.531069564819336
