Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
engineer,36,0.6975422120756574,0.27685327051683506,15.117225325317026,6.495572488095431e-17,4.416989291904893e-15,2.519537554219504,True,male
historian,30,0.6613214572270711,0.2297338847559511,15.76696795382387,9.216957234871973e-16,3.1337654598564704e-14,2.878641337256802,True,male
geologist,14,0.2624792767954724,0.03161923168159836,31.060448741656945,1.390876404506537e-13,3.1526531835481504e-12,8.301254105052436,True,male
chef,23,0.3152226339215818,0.12165162749664488,12.426916727147617,2.0256843005068087e-11,3.443663310861575e-10,2.5911912598972466,True,male
economist,19,0.914037221356442,0.31312946215782966,12.723797534322257,1.9546229162830453e-10,2.6582871661449412e-09,2.9190393489569852,True,male
educator,16,-0.494968056678772,0.15096868616918382,-13.114456228997941,1.272565968679858e-09,1.4422414311705055e-08,-3.278614057249485,True,female
therapist,15,-0.8025787671407064,0.27604243480272267,-11.260494066345549,2.1067894805831107e-08,2.046595495423593e-07,-2.907447065934916,True,female
astronomer,15,0.4700721581776937,0.22609504559331958,8.052284539718277,1.2693439026482568e-06,1.0789423172510183e-05,2.0790909280834895,True,male
linguist,14,0.07889731281570025,0.03830066458409855,7.707613340371159,3.3534733920884758e-06,2.5337354518001816e-05,2.059946313528366,True,male
teacher,9,-0.6014356745613946,0.17604545658977494,-10.249097356080142,7.061675244205904e-06,4.801939166060015e-05,-3.416365785360047,True,female
psychologist,31,-0.19574873005190202,0.20653142024969734,-5.277079884186828,1.0652093123115817e-05,6.584930294289778e-05,-0.9477915264187938,True,female
artist,14,0.197899586388043,0.11756933236586917,6.298176865919594,2.7525281058947405e-05,0.00015597659266736863,1.6832585709697712,True,male
nutritionist,18,-0.2572662892440955,0.19716506238024833,-5.535911956176986,3.628955309486589e-05,0.00018982227772699082,-1.3048269614214776,True,female
researcher,30,-0.3828554332256317,0.4443092448625661,-4.719653247502319,5.526388122554261e-05,0.0002510892428479228,-0.861686849086511,True,female
expert,23,0.2625933030377264,0.2532881299534192,4.972018391666197,5.637872936145476e-05,0.0002510892428479228,1.0367375016192761,True,male
curator,10,-0.13394631147384645,0.059979990655528385,-7.0619455556160355,5.907982184657006e-05,0.0002510892428479228,-2.2331832667849967,True,female
entrepreneur,14,0.48424555574144634,0.31380056584405125,5.773988825606137,6.447464347022126e-05,0.00025789857388088504,1.5431634243199572,True,male
physicist,11,0.891574583270333,0.4807662980931283,6.15063571854692,0.00010823167411939528,0.00040887521333993773,1.8544864455071013,True,male
strategist,3,0.5124740600585938,0.010561244975974531,84.04606763708586,0.00014153797957157054,0.0005065569795193051,48.524019774601015,True,male
filmmaker,8,0.9274948537349701,0.3575830319374295,7.336342522051014,0.00015776425124066541,0.0005363984542182624,2.593788773224745,True,male
poet,5,0.2697891712188721,0.047409347599755756,12.72464096177176,0.00021973335820838494,0.0007115175408652465,5.690632435959992,True,male
fitness,5,-0.9438185453414917,0.18365366276046297,-11.49142573083971,0.00032737263467489406,0.0010118790526314906,-5.139121818509559,True,female
scientist,39,0.15058676860271356,0.2428570307865186,3.8722950102107268,0.0004116839941702877,0.0012171526784165027,0.6200634509736948,True,male
architect,16,0.41731030866503716,0.3744613666744207,4.457712819575024,0.00046056032512822425,0.0013049209211966355,1.114428204893756,True,male
worker,10,-0.24751147851347924,0.1500842834202482,-5.215069834772755,0.0005528210212825128,0.0015036731778884345,-1.6491498834719887,True,female
geneticist,9,0.29037998037205803,0.16092866038862083,5.413205696315931,0.0006359248190858146,0.0016631879883782844,1.8044018987719768,True,male
analyst,13,0.31839026854588437,0.2539193387831451,4.5210122409437234,0.0007005696002030581,0.001764397511622517,1.2539031885940732,True,male
pilot,7,0.28952733107975553,0.12108374674716327,6.326343017720015,0.000729219587013423,0.001770961854175456,2.39113290476815,True,male
geographer,4,0.47261717915534973,0.07539225676839124,12.53755224776606,0.0010938923440637499,0.0025649889447012064,6.268776123883029,True,male
coach,6,0.6637811263402303,0.2589577578277619,6.2787269787256,0.0015052455122487468,0.0034118898277638258,2.5632795553540615,True,male
explorer,4,1.1416581869125366,0.2083672149249122,10.958136454662004,0.001627014681039571,0.0035689354293771238,5.479068227331002,True,male
journalist,16,0.156893290579319,0.1678032661833482,3.73993412995648,0.0019711447502731307,0.004188682594330403,0.93498353248912,True,male
sociologist,9,0.023986524135883276,0.016201414100957448,4.441561209363648,0.0021634465609343986,0.0044580110952587605,1.480520403121216,True,male
mathematician,8,0.5418676286935806,0.3930064156228523,3.899766105827667,0.005900656606478888,0.011801313212957775,1.3787755292360993,True,male
climatologist,6,0.012615387017528215,0.007704152368040565,4.010987792617438,0.010211522260949681,0.01983952896413081,1.6374789094074926,True,male
specialist,8,-0.23836496472358704,0.1983071536113849,-3.3997660676153045,0.011446131462153694,0.021620470539623644,-1.2019988204293524,True,female
archaeologist,12,-0.009214853732070575,0.010716131142954182,-2.978797970152868,0.012546443252679172,0.02305832814005902,-0.8599049049646343,True,female
demographer,5,0.049667086079716684,0.02815741522318558,3.9442178849971667,0.016899813473984417,0.030241771479761585,1.7639078617848225,True,male
activist,5,-0.25851216316223147,0.14846161812941058,-3.8936041323313133,0.01763668325179474,0.03075114002877032,-1.741272703473381,True,female
novelist,4,0.46683305501937866,0.21000992111259673,4.44581905984419,0.021167680316208408,0.03557826045307375,2.222909529922095,True,male
anthropologist,7,-0.09738777907166098,0.08344925900241924,-3.0876708462210063,0.021451598214353294,0.03557826045307375,-1.1670298842178772,True,female
musician,19,0.20062429653970817,0.3503419922506322,2.4961353579616365,0.02248790409750843,0.036408987586442225,0.5726527249870264,True,male
planner,21,-0.07798192729907376,0.15323771228954688,-2.3320505073275353,0.030263213792675252,0.047858105532602724,-0.5088951416327905,True,female
photographer,7,0.14163227592195785,0.13852322617436524,2.7051332116529005,0.035333945365503446,0.05439366214776109,1.022444248762147,False,male
author,9,0.10695477326711018,0.12749632514653558,2.5166554364021936,0.035995805833077196,0.05439366214776109,0.838885145467398,False,male
physician,4,0.2563919425010681,0.14862846632642487,3.450105472231248,0.04093354597541335,0.06051045926800234,1.725052736115624,False,male
developer,9,0.10809457302093506,0.1584803847902579,2.046207292416541,0.07494820330807683,0.10843569840317499,0.6820690974721804,False,male
advocate,3,-0.46510549386342365,0.28388518107806626,-2.8377189087208268,0.10498745406488762,0.14873222659192412,-1.6383577758344603,False,female
designer,29,0.04283449901589032,0.13982702929246799,1.6496870297453683,0.11018252337190124,0.1523241471537899,0.3063391908748624,False,male
conductor,3,0.6857892672220866,0.4349510732547117,2.7309321143311287,0.11200304937778668,0.1523241471537899,1.576704391347671,False,male
neuroscientist,4,0.03337374828697648,0.030706790721668487,2.1737047410445296,0.11804450594536085,0.15739267459381445,1.0868523705222648,False,male
philanthropist,5,0.05656944513320923,0.06954664756209018,1.8188241878139328,0.14307240323078485,0.18709468114794942,0.8134029046145596,False,male
astronaut,4,0.29095932841300964,0.3299859123830914,1.7634651510530273,0.17602035381448414,0.22583743508273438,0.8817325755265136,False,male
critic,3,0.10271585981051128,0.1064952167515093,1.6705828990427989,0.23675868592458954,0.2981405674605942,0.9645114864659453,False,male
criminologist,4,-0.0006428895576391369,0.0009046114310140111,-1.4213606761933115,0.2503317283042978,0.3095010459034954,-0.7106803380966557,False,female
coordinator,3,-0.2641955216725667,0.3464044475008178,-1.320999398161508,0.3173872063690904,0.38456947731592345,-0.7626793581278803,False,female
consultant,3,-0.13875595728556314,0.18442417466648384,-1.3031500252397707,0.3223597089265829,0.38456947731592345,-0.7523740178666491,False,female
humanitarian,4,-0.24626147747039795,0.48045962856605073,-1.0251078876507245,0.38074997090503576,0.4463965176128006,-0.5125539438253622,False,female
environmentalist,16,-0.09237846732139587,0.42948560389507595,-0.8603638071553531,0.40313108079592624,0.45556794017134944,-0.21509095178883827,False,female
trainer,3,0.38386329015096027,0.6360583519298129,1.0452983121513724,0.40560525165538663,0.45556794017134944,0.6035032619040563,False,male
choreographer,3,0.03233944345265627,0.05401522175556088,1.0369958194744378,0.4086712404478282,0.45556794017134944,0.5987098155220832,False,male
