Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
engineer,36,0.6975422120756574,0.27685327051683506,15.117225325317026,6.495572488095431e-17,4.416989291904893e-15,2.519537554219504,True,male
historian,30,0.6613214572270711,0.2297338847559511,15.76696795382387,9.216957234871973e-16,3.1337654598564704e-14,2.878641337256802,True,male
chef,23,0.3152226339215818,0.12165162749664488,12.426916727147617,2.0256843005068087e-11,4.5915510811487666e-10,2.5911912598972466,True,male
economist,19,0.914037221356442,0.31312946215782966,12.723797534322257,1.9546229162830453e-10,3.3228589576811767e-09,2.9190393489569852,True,male
nutritionist,18,-0.791693154308531,0.2610011605559026,-12.869174914889927,3.427478404402098e-10,4.661370629986853e-09,-3.0332936168648263,True,female
educator,16,-0.494968056678772,0.15096868616918382,-13.114456228997941,1.272565968679858e-09,1.4422414311705055e-08,-3.278614057249485,True,female
geologist,14,0.3348689177738769,0.09760163026489843,12.837539254098298,9.265956180322746e-09,9.001214575170668e-08,3.4309766841498095,True,male
therapist,15,-0.8025787671407064,0.27604243480272267,-11.260494066345549,2.1067894805831107e-08,1.790771058495644e-07,-2.907447065934916,True,female
astronomer,15,0.4700721581776937,0.22609504559331958,8.052284539718277,1.2693439026482568e-06,9.590598375564607e-06,2.0790909280834895,True,male
teacher,9,-0.6014356745613946,0.17604545658977494,-10.249097356080142,7.061675244205904e-06,4.801939166060015e-05,-3.416365785360047,True,female
psychologist,31,-0.19574873005190202,0.20653142024969734,-5.277079884186828,1.0652093123115817e-05,6.584930294289778e-05,-0.9477915264187938,True,female
artist,14,0.197899586388043,0.11756933236586917,6.298176865919594,2.7525281058947405e-05,0.00015597659266736863,1.6832585709697712,True,male
researcher,30,-0.3828554332256317,0.4443092448625661,-4.719653247502319,5.526388122554261e-05,0.00026782852570445096,-0.861686849086511,True,female
expert,23,0.2625933030377264,0.2532881299534192,4.972018391666197,5.637872936145476e-05,0.00026782852570445096,1.0367375016192761,True,male
curator,10,-0.13394631147384645,0.059979990655528385,-7.0619455556160355,5.907982184657006e-05,0.00026782852570445096,-2.2331832667849967,True,female
entrepreneur,14,0.48424555574144634,0.31380056584405125,5.773988825606137,6.447464347022126e-05,0.00027401723474844035,1.5431634243199572,True,male
physicist,11,0.891574583270333,0.4807662980931283,6.15063571854692,0.00010823167411939528,0.0004329266964775811,1.8544864455071013,True,male
strategist,3,0.5124740600585938,0.010561244975974531,84.04606763708586,0.00014153797957157054,0.0005346990339370443,48.524019774601015,True,male
filmmaker,8,0.9274948537349701,0.3575830319374295,7.336342522051014,0.00015776425124066541,0.0005646299518086973,2.593788773224745,True,male
poet,5,0.2697891712188721,0.047409347599755756,12.72464096177176,0.00021973335820838494,0.0007470934179085088,5.690632435959992,True,male
fitness,5,-0.9438185453414917,0.18365366276046297,-11.49142573083971,0.00032737263467489406,0.0010600637694234663,-5.139121818509559,True,female
scientist,39,0.15058676860271356,0.2428570307865186,3.8722950102107268,0.0004116839941702877,0.0012724778001627073,0.6200634509736948,True,male
architect,16,0.41731030866503716,0.3744613666744207,4.457712819575024,0.00046056032512822425,0.0013616566134225761,1.114428204893756,True,male
worker,10,-0.24751147851347924,0.1500842834202482,-5.215069834772755,0.0005528210212825128,0.0015663262269671194,-1.6491498834719887,True,female
analyst,13,0.31839026854588437,0.2539193387831451,4.5210122409437234,0.0007005696002030581,0.001905549312552318,1.2539031885940732,True,male
pilot,7,0.28952733107975553,0.12108374674716327,6.326343017720015,0.000729219587013423,0.0019071896891120295,2.39113290476815,True,male
coach,6,0.6637811263402303,0.2589577578277619,6.2787269787256,0.0015052455122487468,0.0037909886975153622,2.5632795553540615,True,male
explorer,4,1.1416581869125366,0.2083672149249122,10.958136454662004,0.001627014681039571,0.003951321368238958,5.479068227331002,True,male
journalist,16,0.156893290579319,0.1678032661833482,3.73993412995648,0.0019711447502731307,0.004488526924236537,0.93498353248912,True,male
climatologist,6,0.4266993582714349,0.17695472642702786,5.906571259451831,0.0019802324665749425,0.004488526924236537,2.4113476191741965,True,male
ecologist,5,-0.2711159218917601,0.10557748528871433,-5.742073032661085,0.004558236746733852,0.009998712863803287,-2.567933126559711,True,female
geographer,4,0.479086309671402,0.13367889643087333,7.167717904061876,0.005593759039517774,0.011886737958975269,3.583858952030938,True,male
mathematician,8,0.5418676286935806,0.3930064156228523,3.899766105827667,0.005900656606478888,0.012158928764865587,1.3787755292360993,True,male
choreographer,3,-0.18150019645690918,0.030011672231137623,-10.47484323519093,0.008991181936978811,0.017982363873957623,-6.047653561556614,True,female
specialist,8,-0.23836496472358704,0.1983071536113849,-3.3997660676153045,0.011446131462153694,0.02195753658111639,-1.2019988204293524,True,female
environmentalist,16,-0.2404678612947464,0.3348539590019503,-2.87251029686462,0.011624578190002795,0.02195753658111639,-0.718127574216155,True,female
activist,5,-0.25851216316223147,0.14846161812941058,-3.8936041323313133,0.01763668325179474,0.03241336381410925,-1.741272703473381,True,female
novelist,4,0.46683305501937866,0.21000992111259673,4.44581905984419,0.021167680316208408,0.0378790068816361,2.222909529922095,True,male
musician,19,0.20062429653970817,0.3503419922506322,2.4961353579616365,0.02248790409750843,0.03920967893924547,0.5726527249870264,True,male
planner,21,-0.07798192729907376,0.15323771228954688,-2.3320505073275353,0.030263213792675252,0.05144746344754793,-0.5088951416327905,False,female
photographer,7,0.14163227592195785,0.13852322617436524,2.7051332116529005,0.035333945365503446,0.058278923729744025,1.022444248762147,False,male
author,9,0.10695477326711018,0.12749632514653558,2.5166554364021936,0.035995805833077196,0.058278923729744025,0.838885145467398,False,male
physician,4,0.2563919425010681,0.14862846632642487,3.450105472231248,0.04093354597541335,0.06473211921693274,1.725052736115624,False,male
criminologist,4,-0.17790016162325628,0.11922209171198475,-2.984348941855932,0.05839362055800496,0.09024468631691676,-1.4921744709279658,False,female
linguist,14,-0.07253008016518184,0.13597720023179022,-1.9957956903859826,0.06734531666165366,0.1017662562887211,-0.5333988348160221,False,female
developer,9,0.10809457302093506,0.1584803847902579,2.046207292416541,0.07494820330807683,0.11079299619454837,0.6820690974721804,False,male
sociologist,9,0.08938062766295236,0.14432440329031607,1.8579109067887551,0.10025172991221823,0.14504505604320936,0.6193036355962517,False,male
advocate,3,-0.46510549386342365,0.28388518107806626,-2.8377189087208268,0.10498745406488762,0.14873222659192412,-1.6383577758344603,False,female
designer,29,0.04283449901589032,0.13982702929246799,1.6496870297453683,0.11018252337190124,0.15231215179780228,0.3063391908748624,False,male
conductor,3,0.6857892672220866,0.4349510732547117,2.7309321143311287,0.11200304937778668,0.15231215179780228,1.576704391347671,False,male
anthropologist,7,-0.2185630743458335,0.3130503375606245,-1.847190279386974,0.11423411384835169,0.15231215179780228,-0.6981723004962649,False,female
archaeologist,12,0.0877593524249581,0.19196745885251082,1.5836398330006054,0.14158233000868833,0.18514612385751553,0.45715744194115665,False,male
neuroscientist,4,0.1017204443924129,0.1075950261739526,1.8908019823882554,0.1550317177634388,0.19890861901724222,0.9454009911941277,False,male
demographer,5,0.14140075333416463,0.19117263636471513,1.6539066601648333,0.17348952269500403,0.21762516471608948,0.7396495441136421,False,male
astronaut,4,0.29095932841300964,0.3299859123830914,1.7634651510530273,0.17602035381448414,0.21762516471608948,0.8817325755265136,False,male
critic,3,0.10271585981051128,0.1064952167515093,1.6705828990427989,0.23675868592458954,0.28749269005128725,0.9645114864659453,False,male
coordinator,3,-0.2641955216725667,0.3464044475008178,-1.320999398161508,0.3173872063690904,0.377155414661647,-0.7626793581278803,False,female
consultant,3,-0.13875595728556314,0.18442417466648384,-1.3031500252397707,0.3223597089265829,0.377155414661647,-0.7523740178666491,False,female
geneticist,9,0.059110681215922035,0.16994601111683114,1.043461052615453,0.32723778625054667,0.377155414661647,0.3478203508718177,False,male
philanthropist,5,-0.09242845773696899,0.1990284211898543,-1.0384261369293553,0.35771893901615537,0.4054147975516428,-0.4643982863573086,False,female
humanitarian,4,-0.24626147747039795,0.48045962856605073,-1.0251078876507245,0.38074997090503576,0.42444259051708905,-0.5125539438253622,False,female
