Context,mean_delta,std_delta,count,mean_abs_delta
climatologist,6.819986979166667,1.0166059090224884,6,6.819986979166667
criminologist,4.50634765625,0.6203775495089526,4,4.50634765625
neuroscientist,3.77734375,0.9638759273814326,4,3.77734375
poet,1.0259765625,0.3970994209694561,5,1.0259765625
linguist,0.96484375,0.5038375307197538,14,0.96484375
geographer,0.89288330078125,0.28368716037043845,4,0.89288330078125
geneticist,0.8878038194444444,0.46188114220104487,9,0.8878038194444444
geologist,0.8490513392857143,0.6854042938494148,14,0.8490513392857143
explorer,0.830078125,0.6241571465221619,4,0.830078125
filmmaker,0.8115234375,0.33567622470474623,8,0.8115234375
trainer,0.77734375,0.559235317755415,3,0.77734375
journalist,0.760162353515625,0.6096339849177944,16,0.760162353515625
physicist,0.75537109375,0.42364880684205436,11,0.75537109375
historian,0.725390625,0.45898218256538004,30,0.725390625
choreographer,0.7184244791666666,0.2508194526895661,3,0.7184244791666666
economist,0.6612870065789473,0.6963027789178146,19,0.6612870065789473
astronomer,0.6467447916666667,0.7343482355653475,15,0.6467447916666667
engineer,0.6312120225694444,0.49410280465497836,36,0.6312120225694444
astronaut,0.57470703125,0.5031041111371148,4,0.57470703125
director,0.5392578125,0.1729899913560753,5,0.5392578125
critic,0.4900716145833333,0.46055518205661045,3,0.4900716145833333
ecologist,0.46953125,0.5118633502757047,5,0.46953125
sociologist,0.4691840277777778,0.9262353111769205,9,0.4691840277777778
conductor,0.45703125,1.0307393977406158,3,0.45703125
musician,0.4318976151315789,0.23272345678017056,19,0.4318976151315789
mathematician,0.399658203125,0.5875145606001918,8,0.399658203125
chef,0.374702785326087,0.25592178924584497,23,0.374702785326087
expert,0.3676120923913043,0.7733521119839198,23,0.3676120923913043
strategist,0.3430989583333333,0.3576637103079148,3,0.3430989583333333
architect,0.33428955078125,0.3281850063616932,16,0.33428955078125
pilot,0.32393973214285715,0.6502441520613029,7,0.32393973214285715
analyst,0.32016225961538464,0.3864321373999966,13,0.32016225961538464
coach,0.31689453125,0.5087145496361143,6,0.31689453125
lawyer,0.30517578125,0.2876618966082472,4,0.30517578125
scientist,0.2863456530448718,0.5117183919163947,39,0.2863456530448718
photographer,0.27113560267857145,0.2575273133710916,7,0.27113560267857145
biologist,0.2493227066532258,0.37127926501171893,31,0.2493227066532258
artist,0.23618861607142858,0.2755367927845036,14,0.23618861607142858
anthropologist,0.22098214285714285,0.8378484569045593,7,0.22098214285714285
physician,0.1923828125,0.2528398076709816,4,0.1923828125
novelist,0.169921875,0.22574159830595947,4,0.169921875
environmentalist,0.1529541015625,0.36785436365538854,16,0.1529541015625
author,0.1459418402777778,0.26725319890565163,9,0.1459418402777778
entrepreneur,0.13462611607142858,0.3451254172808139,14,0.13462611607142858
consultant,0.13411458333333334,0.5241415119452674,3,0.13411458333333334
designer,0.1116711846713362,0.27631098885641825,29,0.1116711846713362
archaeologist,0.09440104166666667,0.7408249413835185,12,0.09440104166666667
curator,0.0904296875,0.33736907554520035,10,0.0904296875
developer,0.08072916666666667,0.15954678570968375,9,0.08072916666666667
scholar,-0.067626953125,0.34949239979613117,4,0.067626953125
coordinator,-0.08235677083333333,0.6273913095070368,3,0.08235677083333333
specialist,-0.100830078125,0.34006486786800627,8,0.100830078125
manager,-0.152099609375,0.228338014967693,4,0.152099609375
planner,-0.23064313616071427,0.3367830692370007,21,0.23064313616071427
educator,-0.313232421875,0.6698009088886147,16,0.313232421875
advocate,-0.3170572916666667,0.2570444090159913,3,0.3170572916666667
philanthropist,-0.32242431640625,0.3126235824840337,5,0.32242431640625
teacher,-0.3337673611111111,0.8078724730459315,9,0.3337673611111111
psychologist,-0.38766381048387094,0.5338230716064196,31,0.38766381048387094
fitness,-0.3921875,0.2762874636555958,5,0.3921875
worker,-0.403564453125,0.15530815242939583,10,0.403564453125
researcher,-0.4298177083333333,0.4503607501201041,30,0.4298177083333333
humanitarian,-0.458984375,0.07815754530447355,4,0.458984375
demographer,-0.51240234375,0.9292379366194556,5,0.51240234375
nutritionist,-0.5320095486111112,0.6600801529004414,18,0.5320095486111112
athlete,-0.5450721153846154,0.7675799727378753,13,0.5450721153846154
activist,-0.55498046875,0.5356669641211839,5,0.55498046875
therapist,-0.9598958333333333,0.47548286542276147,15,0.9598958333333333
