Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
historian,30,0.725390625,0.45898218256538004,8.656388491914397,1.5653347042521865e-09,1.0644275988914868e-07,1.580433081183214,True,male
engineer,36,0.6312120225694444,0.4941028046549784,7.664947658132075,5.408997415009206e-09,1.83905912110313e-07,1.2774912763553457,True,male
musician,19,0.4318976151315789,0.23272345678017056,8.08942117121038,2.0911497070924393e-07,4.739939336076196e-06,1.8558404945812887,True,male
chef,23,0.374702785326087,0.25592178924584497,7.021721108762927,4.791940477696394e-07,8.146298812083871e-06,1.464130062665895,True,male
therapist,15,-0.9598958333333333,0.4754828654227615,-7.818705671524971,1.7864353770490113e-06,2.4295521127866554e-05,-2.0187811236475794,True,female
linguist,14,0.96484375,0.5038375307197538,7.165235863062771,7.3119636161090595e-06,8.286892098256934e-05,1.914989835357598,True,male
researcher,30,-0.4298177083333333,0.450360750120104,-5.227383922923122,1.3482653188162245e-05,0.0001294525911318213,-0.9543853637749466,True,female
climatologist,6,6.819986979166667,1.0166059090224886,16.432609729218125,1.522971660374368e-05,0.0001294525911318213,6.708584829813143,True,male
worker,10,-0.403564453125,0.1553081524293958,-8.217101514586739,1.7860654414293028e-05,0.00013494716668576952,-2.5984756550913404,True,female
physicist,11,0.75537109375,0.42364880684205436,5.913583267527406,0.00014831978763323142,0.00100270461300984,1.783012442264753,True,male
journalist,16,0.760162353515625,0.6096339849177944,4.9876638922492385,0.0001622022168104153,0.00100270461300984,1.2469159730623096,True,male
filmmaker,8,0.8115234375,0.3356762247047462,6.837943035766678,0.00024464263260557675,0.0013863082514316016,2.4175779449789725,True,male
psychologist,31,-0.38766381048387094,0.5338230716064196,-4.043326082321076,0.00033893518997143914,0.0017728917629275278,-0.7262028022080135,True,female
geneticist,9,0.8878038194444444,0.46188114220104487,5.7664433876670795,0.0004209924808015685,0.00204482062103619,1.9221477958890265,True,male
geologist,14,0.8490513392857143,0.6854042938494148,4.635015047172531,0.0004670367645336441,0.0021172333325525203,1.238759877790105,True,male
economist,19,0.6612870065789473,0.6963027789178146,4.139698018775782,0.0006154103452859351,0.0026154939674652242,0.9497118589799566,True,male
criminologist,4,4.50634765625,0.6203775495089527,14.527758652184977,0.0007071577065817966,0.0028286308263271863,7.2638793260924865,True,male
biologist,31,0.2493227066532258,0.37127926501171893,3.7388839393019655,0.0007783927221723274,0.0029405947282065705,0.6715233791613875,True,male
architect,16,0.33428955078125,0.3281850063616932,4.074403696710373,0.0009966807706709342,0.0035670680213486065,1.0186009241775933,True,male
scientist,39,0.2863456530448718,0.5117183919163948,3.4945549317044473,0.0012237479918546937,0.004160743172305958,0.5595766295842955,True,male
humanitarian,4,-0.458984375,0.07815754530447354,-11.74510722443912,0.001326418727128203,0.004295070164034181,-5.87255361221956,True,female
director,5,0.5392578125,0.1729899913560753,6.970444455747922,0.002227157437114281,0.006883941169262323,3.1172775272877757,True,male
nutritionist,18,-0.5320095486111112,0.6600801529004414,-3.4194716307640642,0.0032671276495498326,0.0096593339204082,-0.8059771927294307,True,female
astronomer,15,0.6467447916666667,0.7343482355653476,3.41095911457186,0.004219891465026674,0.011659265530061712,0.8807058563554139,True,male
neuroscientist,4,3.77734375,0.9638759273814326,7.837821534275541,0.004325160031134118,0.011659265530061712,3.9189107671377705,True,male
poet,5,1.0259765625,0.3970994209694561,5.777276963715396,0.004457954467376537,0.011659265530061712,2.5836768031422426,True,male
planner,21,-0.23064313616071427,0.3367830692370007,-3.1383395619412537,0.005174255792822157,0.01303145903377432,-0.6848418380509689,True,female
artist,14,0.23618861607142858,0.2755367927845036,3.2073280343607067,0.006869985236273073,0.01668424985952032,0.8571944736837773,True,male
geographer,4,0.89288330078125,0.28368716037043845,6.29484464235409,0.008098455327161108,0.018989481456791565,3.147422321177045,True,male
analyst,13,0.32016225961538464,0.3864321373999966,2.9872294040513547,0.011332477741734587,0.025686949547931732,0.8285083682985303,True,male
athlete,13,-0.5450721153846154,0.7675799727378753,-2.5603657347063042,0.024984696408231328,0.0548051405083784,-0.7101176877249699,False,female
photographer,7,0.27113560267857145,0.2575273133710916,2.7855584204748842,0.031763108418248504,0.06733987765694381,1.0528421204312048,False,male
expert,23,0.3676120923913043,0.7733521119839198,2.279693342426435,0.032679646509987434,0.06733987765694381,0.4753489215258625,False,male
fitness,5,-0.3921875,0.2762874636555958,-3.1740778185247827,0.033725813241388625,0.06745162648277725,-1.4194907536191312,False,female
designer,29,0.1116711846713362,0.27631098885641825,2.1764162770073234,0.038116012676351375,0.07236279881126596,0.4041503565729151,False,male
choreographer,3,0.7184244791666666,0.2508194526895661,4.961129154754905,0.03830971701772904,0.07236279881126596,2.864309252982245,False,male
explorer,4,0.830078125,0.6241571465221619,2.6598369645376687,0.0763492972333847,0.14004323669189664,1.3299184822688344,False,male
educator,16,-0.313232421875,0.6698009088886147,-1.8706001602460611,0.08104069572467246,0.14004323669189664,-0.4676500400615153,False,female
