Context,mean_delta,std_delta,count,mean_abs_delta
poet,1.0259765625,0.3970994209694561,5,1.0259765625
choreographer,0.9501953125,0.19455664288962346,3,0.9501953125
geographer,0.93975830078125,0.1561270388929989,4,0.93975830078125
geologist,0.8469587053571429,1.0113013283360348,14,0.8469587053571429
explorer,0.830078125,0.6241571465221619,4,0.830078125
filmmaker,0.8115234375,0.33567622470474623,8,0.8115234375
trainer,0.77734375,0.559235317755415,3,0.77734375
journalist,0.760162353515625,0.6096339849177944,16,0.760162353515625
physicist,0.75537109375,0.42364880684205436,11,0.75537109375
historian,0.725390625,0.45898218256538004,30,0.725390625
economist,0.6612870065789473,0.6963027789178146,19,0.6612870065789473
astronomer,0.6467447916666667,0.7343482355653475,15,0.6467447916666667
archaeologist,0.640380859375,1.2129123637211818,12,0.640380859375
engineer,0.6312120225694444,0.49410280465497836,36,0.6312120225694444
linguist,0.61328125,0.6420470409514175,14,0.61328125
astronaut,0.57470703125,0.5031041111371148,4,0.57470703125
director,0.5392578125,0.1729899913560753,5,0.5392578125
geneticist,0.4993489583333333,0.5227264585224791,9,0.4993489583333333
critic,0.4900716145833333,0.46055518205661045,3,0.4900716145833333
conductor,0.45703125,1.0307393977406158,3,0.45703125
neuroscientist,0.45703125,0.5138463641376672,4,0.45703125
sociologist,0.4552951388888889,1.0227274028807962,9,0.4552951388888889
musician,0.4318976151315789,0.23272345678017056,19,0.4318976151315789
mathematician,0.399658203125,0.5875145606001918,8,0.399658203125
chef,0.374702785326087,0.25592178924584497,23,0.374702785326087
expert,0.3676120923913043,0.7733521119839198,23,0.3676120923913043
strategist,0.3430989583333333,0.3576637103079148,3,0.3430989583333333
architect,0.33428955078125,0.3281850063616932,16,0.33428955078125
pilot,0.32393973214285715,0.6502441520613029,7,0.32393973214285715
analyst,0.32016225961538464,0.3864321373999966,13,0.32016225961538464
coach,0.31689453125,0.5087145496361143,6,0.31689453125
lawyer,0.30517578125,0.2876618966082472,4,0.30517578125
ecologist,0.3,0.528170647990247,5,0.3
scientist,0.2863456530448718,0.5117183919163947,39,0.2863456530448718
photographer,0.27113560267857145,0.2575273133710916,7,0.27113560267857145
biologist,0.2493227066532258,0.37127926501171893,31,0.2493227066532258
artist,0.23618861607142858,0.2755367927845036,14,0.23618861607142858
physician,0.1923828125,0.2528398076709816,4,0.1923828125
novelist,0.169921875,0.22574159830595947,4,0.169921875
author,0.1459418402777778,0.26725319890565163,9,0.1459418402777778
entrepreneur,0.13462611607142858,0.3451254172808139,14,0.13462611607142858
consultant,0.13411458333333334,0.5241415119452674,3,0.13411458333333334
designer,0.1116711846713362,0.27631098885641825,29,0.1116711846713362
curator,0.0904296875,0.33736907554520035,10,0.0904296875
developer,0.08072916666666667,0.15954678570968375,9,0.08072916666666667
scholar,-0.067626953125,0.34949239979613117,4,0.067626953125
coordinator,-0.08235677083333333,0.6273913095070368,3,0.08235677083333333
specialist,-0.100830078125,0.34006486786800627,8,0.100830078125
manager,-0.152099609375,0.228338014967693,4,0.152099609375
planner,-0.23064313616071427,0.3367830692370007,21,0.23064313616071427
environmentalist,-0.2491455078125,0.4626463340685222,16,0.2491455078125
educator,-0.313232421875,0.6698009088886147,16,0.313232421875
advocate,-0.3170572916666667,0.2570444090159913,3,0.3170572916666667
teacher,-0.3337673611111111,0.8078724730459315,9,0.3337673611111111
psychologist,-0.38766381048387094,0.5338230716064196,31,0.38766381048387094
fitness,-0.3921875,0.2762874636555958,5,0.3921875
worker,-0.403564453125,0.15530815242939583,10,0.403564453125
researcher,-0.4298177083333333,0.4503607501201041,30,0.4298177083333333
humanitarian,-0.458984375,0.07815754530447355,4,0.458984375
demographer,-0.53818359375,0.8981637554261914,5,0.53818359375
anthropologist,-0.5426897321428571,0.7648061334397867,7,0.5426897321428571
athlete,-0.5450721153846154,0.7675799727378753,13,0.5450721153846154
activist,-0.55498046875,0.5356669641211839,5,0.55498046875
philanthropist,-0.60679931640625,0.3555472580705028,5,0.60679931640625
nutritionist,-0.7014973958333334,0.6712769901140878,18,0.7014973958333334
climatologist,-0.7457682291666666,0.5716839469470348,6,0.7457682291666666
therapist,-0.9598958333333333,0.47548286542276147,15,0.9598958333333333
criminologist,-1.01123046875,0.8059875455387876,4,1.01123046875
