Context,mean_delta,std_delta,count,mean_abs_delta
conductor,2.335752328236898,0.730389313409792,3,2.335752328236898
explorer,2.0578198432922363,0.9859622402957001,4,2.0578198432922363
filmmaker,1.3931728154420853,0.5308990893453691,8,1.3931728154420853
physicist,1.3618142997676677,0.7967104521736803,11,1.3618142997676677
mathematician,1.0241070240736008,0.5041977352839998,8,1.0241070240736008
historian,1.0113338112831116,0.6314711925353522,30,1.0113338112831116
astronomer,0.9623461802800496,0.4425818420579978,15,0.9623461802800496
economist,0.9606572326860929,0.39105088713987013,19,0.9606572326860929
director,0.9048134326934815,0.37451757409142494,5,0.9048134326934815
chef,0.8339087658602259,0.47860362558421166,23,0.8339087658602259
journalist,0.7344158962368965,0.7949616393836209,16,0.7344158962368965
trainer,0.7291118303934733,0.5470568419313829,3,0.7291118303934733
musician,0.682903672519483,0.37679764049938363,19,0.682903672519483
engineer,0.6646703779697418,0.7652453442089158,36,0.6646703779697418
lawyer,0.628281831741333,0.33930264847009034,4,0.628281831741333
athlete,0.6187824744444627,1.2906704373891984,13,0.6187824744444627
physician,0.6026746034622192,0.15057833573919044,4,0.6026746034622192
pilot,0.5820305049419403,0.6492074289739118,7,0.5820305049419403
poet,0.5399810791015625,0.2760290165508724,5,0.5399810791015625
architect,0.46510598063468933,0.3571991333376453,16,0.46510598063468933
photographer,0.44033739609377726,0.3003864241252651,7,0.44033739609377726
analyst,0.40301979046601516,0.3075402456963533,13,0.40301979046601516
expert,0.3428107448246168,0.32027571491296586,23,0.3428107448246168
entrepreneur,0.31088962725230623,0.6784604948227986,14,0.31088962725230623
coach,0.3012346426645915,0.4495546559906411,6,0.3012346426645915
developer,0.2568493253654904,0.28692607976611323,9,0.2568493253654904
novelist,0.2441069483757019,0.3444654601494894,4,0.2441069483757019
scientist,0.22094017076186645,0.46972760491416415,39,0.22094017076186645
artist,0.20987267792224884,0.3080476439800651,14,0.20987267792224884
geneticist,0.14483592493666542,0.30409886828888105,9,0.14483592493666542
linguist,0.11642474365154547,0.21839587333745192,14,0.11642474365154547
strategist,0.11333163579305013,0.4014228127671399,3,0.11333163579305013
designer,0.10035956728047338,0.19597204805782706,29,0.10035956728047338
astronaut,0.06280720233917236,0.4272457870586916,4,0.06280720233917236
planner,0.06254944888254006,0.2168599201391158,21,0.06254944888254006
environmentalist,0.05027686711400747,0.3447203554401247,16,0.05027686711400747
geologist,0.04046287281172616,0.026919174057989666,14,0.04046287281172616
critic,0.03479299942652384,0.2526482357179479,3,0.03479299942652384
demographer,0.018758738273754717,0.10926713351122401,5,0.018758738273754717
geographer,0.014479391276836395,0.1274388064908216,4,0.014479391276836395
sociologist,0.01276002793585778,0.020589366610638017,9,0.01276002793585778
manager,0.008789584040641785,0.24915782437196166,4,0.008789584040641785
choreographer,0.002492620221649607,0.0013041898210272083,3,0.002492620221649607
climatologist,-0.00017467568977735937,0.0008588463878338756,6,0.00017467568977735937
criminologist,-0.004780943098012358,0.005181932047137941,4,0.004780943098012358
neuroscientist,-0.007040626980597153,0.004713654609062761,4,0.007040626980597153
scholar,-0.010457217693328857,0.619076342782992,4,0.010457217693328857
archaeologist,-0.014915840389827887,0.0501534878147578,12,0.014915840389827887
researcher,-0.018327732880910236,0.34245881200291267,30,0.018327732880910236
specialist,-0.020930826663970947,0.2958425170113917,8,0.020930826663970947
philanthropist,-0.028548899898305537,0.2960678612295067,5,0.028548899898305537
author,-0.042440699206458196,0.26635274255103547,9,0.042440699206458196
anthropologist,-0.09428928246987718,0.0793000040400661,7,0.09428928246987718
biologist,-0.11677134878212406,0.2706920556064379,31,0.11677134878212406
ecologist,-0.1369723286945373,0.11502728394615298,5,0.1369723286945373
fitness,-0.1503890872001648,0.1611288471392735,5,0.1503890872001648
psychologist,-0.1815578245347546,0.3784288444478244,31,0.1815578245347546
nutritionist,-0.19299913208103842,0.17999286137683487,18,0.19299913208103842
worker,-0.22327705938369036,0.14777079883443636,10,0.22327705938369036
coordinator,-0.25306224822998047,0.12664069744474604,3,0.25306224822998047
consultant,-0.32645098368326825,1.5953588025301515,3,0.32645098368326825
curator,-0.4101870059967041,0.2198524396253552,10,0.4101870059967041
advocate,-0.4345164696375529,0.03254933351025449,3,0.4345164696375529
educator,-0.4651259183883667,0.39992093870380196,16,0.4651259183883667
humanitarian,-0.5115715265274048,0.3408621601003507,4,0.5115715265274048
teacher,-0.7735331919458177,0.44742197277943696,9,0.7735331919458177
activist,-0.8644880294799805,0.593026948692946,5,0.8644880294799805
therapist,-0.9748805125554403,0.29162278159152716,15,0.9748805125554403
