Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
historian,30,1.0113338112831116,0.6314711925353522,8.772060359292189,1.1807839138926474e-09,7.948372303471567e-08,1.6015517781937347,True,male
economist,19,0.9606572326860929,0.39105088713987013,10.70808923945076,3.085220993590593e-09,7.948372303471567e-08,2.4566041512200623,True,male
therapist,15,-0.9748805125554403,0.29162278159152716,-12.947191467907837,3.506634839766868e-09,7.948372303471567e-08,-3.3429504623577206,True,female
chef,23,0.8339087658602259,0.4786036255842116,8.356154724063183,2.8431007082681543e-08,4.833271204055863e-07,1.742378706058292,True,male
musician,19,0.682903672519483,0.3767976404993836,7.900017878933853,2.9300732969900976e-07,3.984899683906533e-06,1.8123883992861687,True,male
astronomer,15,0.9623461802800496,0.4425818420579979,8.421381935101012,7.496606633824103e-07,8.49615418500065e-06,2.1743914657798804,True,male
engineer,36,0.6646703779697418,0.7652453442089155,5.211429638871089,8.461011340902658e-06,8.219268159734011e-05,0.8685716064785148,True,male
expert,23,0.3428107448246168,0.3202757149129658,5.133272677283635,3.817517206163111e-05,0.00032448896252386443,1.0703613444989886,True,male
geologist,14,0.04046287281172616,0.02691917405798967,5.624177273045061,8.281193328882454e-05,0.0006256901626266743,1.5031246027296552,True,male
architect,16,0.46510598063468933,0.3571991333376453,5.2083662834091395,0.00010604327661071957,0.0007210942809528931,1.3020915708522849,True,male
filmmaker,8,1.3931728154420853,0.5308990893453691,7.422291466941999,0.0001466202556538848,0.0009063797622240153,2.624176314108868,True,male
physicist,11,1.3618142997676677,0.7967104521736803,5.6690947811053904,0.00020692762943844161,0.001172589900151169,1.7092963899898688,True,male
curator,10,-0.4101870059967041,0.2198524396253552,-5.899980949791266,0.00022907679969267302,0.0011982478753155205,-1.865737795294394,True,female
nutritionist,18,-0.19299913208103842,0.17999286137683485,-4.549213585928946,0.0002842354236145826,0.0013805720575565442,-1.0722599252254428,True,female
educator,16,-0.4651259183883667,0.39992093870380196,-4.652178702079495,0.0003129209840264787,0.0014185751275867034,-1.1630446755198738,True,female
analyst,13,0.40301979046601516,0.30754024569635324,4.724937759810087,0.0004927929353323483,0.0020943699751624803,1.3104619512593245,True,male
mathematician,8,1.0241070240736008,0.5041977352839998,5.74499225765323,0.0007020191925151774,0.0028080767700607097,2.031161491625406,True,male
teacher,9,-0.7735331919458177,0.4474219727794369,-5.1866017250373755,0.0008359760617513967,0.0031581317888386097,-1.728867241679125,True,female
worker,10,-0.22327705938369036,0.14777079883443636,-4.77810272723918,0.0010039326110065174,0.003593021976233852,-1.5109687512338066,True,female
advocate,3,-0.4345164696375529,0.0325493335102545,-23.121966595739874,0.0018652370954519663,0.006341806124536685,-13.349473638243952,True,female
journalist,16,0.7344158962368965,0.7949616393836209,3.6953526301285735,0.0021595475261525585,0.006992820560874951,0.9238381575321434,True,male
physician,4,0.6026746034622192,0.15057833573919044,8.004798306525092,0.004069513876721502,0.012578497437139187,4.002399153262546,True,male
scientist,39,0.22094017076186645,0.46972760491416415,2.937385220154964,0.005597012494413699,0.016104156214517835,0.4703580723177639,True,male
director,5,0.9048134326934815,0.37451757409142494,5.402214695440856,0.0056838198404180595,0.016104156214517835,2.415943857610815,True,male
photographer,7,0.44033739609377726,0.3003864241252651,3.878415099545407,0.008185699900997922,0.022265103730714348,1.4659031192107095,True,male
designer,29,0.10035956728047338,0.19597204805782706,2.7578055908186303,0.010131565401555236,0.026497940280990617,0.5121116418136298,True,male
poet,5,0.5399810791015625,0.2760290165508724,4.374302435745023,0.011927884688888613,0.02936554777873368,1.956247520093756,True,male
psychologist,31,-0.1815578245347546,0.37842884444782443,-2.671231857900636,0.012091696144184457,0.02936554777873368,-0.4797674046217868,True,female
anthropologist,7,-0.09428928246987718,0.0793000040400661,-3.1458509458331814,0.019919342759161688,0.046707424400792924,-1.1890198949074176,True,female
biologist,31,-0.11677134878212406,0.27069205560643794,-2.401826506847962,0.022711631009630064,0.05147969695516148,-0.431380775178342,False,female
artist,14,0.20987267792224884,0.3080476439800651,2.5491889679267548,0.02422975128452888,0.05314913184993432,0.6812994094375558,False,male
explorer,4,2.0578198432922363,0.9859622402957001,4.174236617165127,0.02503641540416692,0.053202382733854706,2.0871183085825633,False,male
developer,9,0.2568493253654904,0.28692607976611323,2.6855278430060476,0.027687812837567015,0.05705367493801688,0.8951759476686825,False,male
conductor,3,2.335752328236898,0.730389313409792,5.539020946947725,0.031082098527342197,0.06040613699402082,3.1979552347672446,False,male
