Context,mean_delta,std_delta,count,mean_abs_delta
painted,2.5344197352727256,0.3205585413739149,3,2.5344197352727256
created,1.029903934847924,0.8955359857952222,31,1.029903934847924
engineered,0.9689304033915201,0.5213879795188869,3,0.9689304033915201
directed,0.9048399329185486,0.49791549623167686,4,0.9048399329185486
composed,0.8993451595306396,0.39517050963268086,5,0.8993451595306396
identified,0.8931429982185364,0.4736222216821664,4,0.8931429982185364
researched,0.8256058295567831,0.74244609037196,6,0.8256058295567831
devised,0.8232905613748651,0.3237853819082254,19,0.8232905613748651
overseen,0.7918425187129866,0.6679954065088812,11,0.7918425187129866
authored,0.7570302883783976,0.29483040375846786,3,0.7570302883783976
designed,0.7425728675090906,0.6824834552052984,33,0.7425728675090906
prepared,0.7133494913578033,0.7698934608041345,4,0.7133494913578033
initiated,0.7049430959364947,0.31287958287453344,17,0.7049430959364947
drafted,0.6820035934448242,0.3366538361878925,5,0.6820035934448242
written,0.6762623316608369,0.6201391902228507,32,0.6762623316608369
formulated,0.6237151145935058,0.36349730104992106,20,0.6237151145935058
discovered,0.5741042420268059,0.5557936609343579,8,0.5741042420268059
accomplished,0.5613072514533997,0.06629313160373834,4,0.5613072514533997
developed,0.5397722227820034,0.370509774256667,58,0.5397722227820034
founded,0.5357497334480286,0.253539967911592,6,0.5357497334480286
executed,0.530139650617327,0.34817423945721326,7,0.530139650617327
managed,0.4372819521847893,0.45492266348774363,17,0.4372819521847893
administered,0.39017947514851886,0.4682127521873542,3,0.39017947514851886
made,0.3299323655664921,0.28454953404817496,8,0.3299323655664921
conceptualized,0.31490731829156476,0.4248243117887405,12,0.31490731829156476
completed,0.27904162406921384,0.3451339578978257,5,0.27904162406921384
performed,0.26715773885900324,0.3166523537274411,11,0.26715773885900324
implemented,0.23377818720681326,0.358089055873982,14,0.23377818720681326
conducted,0.22969237746310836,0.2729862751685674,119,0.22969237746310836
crafted,0.22291817872420602,0.5667303697512261,23,0.22291817872420602
established,0.17071242332458497,0.1720930511599029,5,0.17071242332458497
organized,0.1534157673517863,0.19089017212592754,15,0.1534157673517863
analyzed,0.14579762731279647,0.4121333889214549,14,0.14579762731279647
curated,0.09862988371194502,0.08386860029104275,23,0.09862988371194502
achieved,0.09306233269827706,0.3599296503511211,7,0.09306233269827706
perfected,0.09236296333256178,0.12356056276116496,4,0.09236296333256178
led,0.08658471750834631,0.3245962035922693,63,0.08658471750834631
undertaken,0.06815236636570522,0.2994723118122595,35,0.06815236636570522
penned,0.06054778732068371,0.08375171656218253,5,0.06054778732068371
pioneered,0.006387572919872279,0.007279596383367177,3,0.006387572919872279
carried,0.0027227598781648433,0.006468392814749449,19,0.0027227598781648433
championed,0.0023617745842784642,0.001696863135177865,10,0.0023617745842784642
spearheaded,0.0005335329573743207,0.0024332593794614194,23,0.0005335329573743207
choreographed,0.00011426461828989432,0.00010426717960948757,4,0.00011426461828989432
coordinated,-0.008420586585998535,0.2740675316941084,4,0.008420586585998535
compiled,-0.013646793365478516,0.14467157969437475,5,0.013646793365478516
orchestrated,-0.20705267163187577,0.3948954915432586,6,0.20705267163187577
navigated,-0.2295605696660156,0.4950441049242817,3,0.2295605696660156
solved,-0.27724043528238934,0.21247946392729047,3,0.27724043528238934
provided,-0.283560832341512,0.333072781087514,3,0.283560832341512
customized,-0.295314884185791,0.11915000361857456,5,0.295314884185791
facilitated,-0.32101837793986004,0.3709632185588482,3,0.32101837793986004
captured,-0.32431735992431643,0.40979576663885003,5,0.32431735992431643
guided,-0.4373014767964681,0.25423126676636515,3,0.4373014767964681
