Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
developed,58,0.5397722227820034,0.370509774256667,11.094937470415717,7.275043678520146e-16,3.928523586400879e-14,1.4568366620419615,True,male
conducted,119,0.22969237746310836,0.27298627516856744,9.178659326825375,1.7547109402897637e-15,4.737719538782362e-14,0.8414063209634794,True,male
devised,19,0.8232905613748651,0.3237853819082255,11.083392144062516,1.7935392096885981e-09,3.2283705774394765e-08,2.542704542505321,True,male
initiated,17,0.7049430959364947,0.31287958287453344,9.289691637570476,7.579943159057414e-08,1.0232923264727508e-06,2.2530811677129505,True,male
formulated,20,0.6237151145935058,0.36349730104992095,7.673616232069976,3.093858145924888e-07,3.341366797598879e-06,1.715872752815427,True,male
created,31,1.029903934847924,0.8955359857952223,6.4031624820668105,4.544089481721779e-07,4.064438699746229e-06,1.1500419315181232,True,male
designed,33,0.7425728675090906,0.6824834552052983,6.250343981953627,5.26871683300437e-07,4.064438699746229e-06,1.08804522929529,True,male
written,32,0.6762623316608369,0.6201391902228507,6.168804527984287,7.597200564879796e-07,5.128110381293862e-06,1.0905008783879924,True,male
curated,23,0.09862988371194502,0.08386860029104276,5.639921303145103,1.1361551811736158e-05,6.816931087041695e-05,1.1760048858533148,True,male
accomplished,4,0.5613072514533997,0.06629313160373834,16.934099743803532,0.0004484964699859334,0.0024218809379240405,8.467049871901766,True,male
managed,17,0.4372819521847893,0.45492266348774363,3.963222371054179,0.0011150229866392727,0.0054737492071382475,0.9612226149216029,True,male
championed,10,0.0023617745842784642,0.001696863135177865,4.4014080165837255,0.0017168651522455245,0.00772589318510486,1.391847424412873,True,male
overseen,11,0.7918425187129866,0.6679954065088812,3.931530818971334,0.002813236137434916,0.011685750109345036,1.1854011434769631,True,male
founded,6,0.5357497334480286,0.253539967911592,5.175962936294779,0.0035372166726256346,0.01364355002298459,2.11307802024666,True,male
customized,5,-0.295314884185791,0.11915000361857454,-5.5421245132380665,0.005183322900560438,0.017854724567659415,-2.47851343027365,True,female
painted,3,2.5344197352727256,0.3205585413739148,13.694047054192255,0.005290288760787975,0.017854724567659415,7.9062617530333,True,male
executed,7,0.530139650617327,0.34817423945721326,4.028493543504913,0.006892054403675815,0.021110055704740508,1.5226274391919086,True,male
composed,5,0.8993451595306396,0.39517050963268086,5.0889346824366175,0.007036685234913503,0.021110055704740508,2.2758407765969166,True,male
organized,15,0.1534157673517863,0.19089017212592754,3.112662665562111,0.007637832635946645,0.021707524333743095,0.8036860444055762,True,male
drafted,5,0.6820035934448242,0.3366538361878925,4.529894603638568,0.010578193679365248,0.02856112293428617,2.025830452929061,True,male
made,8,0.3299323655664921,0.28454953404817496,3.2795332286221592,0.013495738945382514,0.03470332871669789,1.1594900925426703,True,male
performed,11,0.26715773885900324,0.31665235372744116,2.798216937928537,0.01885212736012681,0.046273403520311264,0.8436941513751056,True,male
discovered,8,0.5741042420268059,0.5557936609343578,2.921609447381319,0.022288882305126843,0.05233041932508042,1.0329449261110062,False,male
conceptualized,12,0.31490731829156476,0.4248243117887406,2.5678166706593384,0.026151919859984493,0.05884181968496511,0.7412648230173887,False,male
implemented,14,0.23377818720681326,0.358089055873982,2.442738382199604,0.029614225280988875,0.06396672660693598,0.6528492936938124,False,male
identified,4,0.8931429982185364,0.4736222216821664,3.7715417787888246,0.03263136558579337,0.06777283621664777,1.8857708893944123,False,male
directed,4,0.9048399329185486,0.49791549623167686,3.6345120397599855,0.03587960322013661,0.07175920644027323,1.8172560198799927,False,male
led,63,0.08658471750834631,0.3245962035922694,2.117230214007226,0.03825911521724461,0.07378543649040033,0.2667459340254848,False,male
researched,6,0.8256058295567831,0.74244609037196,2.7238516537519555,0.04158364868071978,0.07743162168134028,1.112007781121402,False,male
authored,3,0.7570302883783976,0.29483040375846786,4.447353141415098,0.047021402054069225,0.08463852369732461,2.5676805333773345,False,male
crafted,23,0.22291817872420602,0.5667303697512261,1.886396222447532,0.07251121277709402,0.12630985451493798,0.3933408030031264,False,male
