Context,mean_delta,std_delta,count,mean_abs_delta
formulated,0.9554145216941834,0.24377433982047703,20,0.9554145216941834
researched,0.6932124296824137,0.9929238567759511,6,0.6932124296824137
achieved,0.690544605255127,0.22466848672042802,7,0.690544605255127
discovered,0.48409944772720337,0.6323729888136002,8,0.48409944772720337
devised,0.45939606114437703,0.301856312384169,19,0.45939606114437703
choreographed,0.45309942960739136,0.6338593355715677,4,0.45309942960739136
initiated,0.4237209067625158,0.3324672215422436,17,0.4237209067625158
made,0.4184898901730776,0.31249236056059937,8,0.4184898901730776
developed,0.38936500302676497,0.29154080536952914,58,0.38936500302676497
accomplished,0.36773133277893066,0.11923374501799985,4,0.36773133277893066
prepared,0.364216685295105,0.35313118004709476,4,0.364216685295105
conducted,0.31301667059169097,0.40125346365275716,119,0.31301667059169097
composed,0.3105860948562622,0.13122793233480062,5,0.3105860948562622
created,0.30964046524417016,0.40861208223673545,31,0.30964046524417016
directed,0.2906152307987213,0.43993256694887733,4,0.2906152307987213
designed,0.2732214891549313,0.3752399748495293,33,0.2732214891549313
conceptualized,0.25778028182685375,0.4515357434362234,12,0.25778028182685375
organized,0.2539020299911499,0.1898847971956468,15,0.2539020299911499
executed,0.25071634565080914,0.2836068039993922,7,0.25071634565080914
undertaken,0.24835789544241768,0.23833122559736125,35,0.24835789544241768
compiled,0.24147844314575195,0.17336883778425727,5,0.24147844314575195
drafted,0.22095074653625488,0.27547284289639773,5,0.22095074653625488
pioneered,0.21455462773640951,0.24543723060641343,3,0.21455462773640951
analyzed,0.20971465110778809,0.491575368819701,14,0.20971465110778809
founded,0.2008874217669169,0.1804206315085204,6,0.2008874217669169
authored,0.1797792116800944,0.09087483152599854,3,0.1797792116800944
completed,0.16237998008728027,0.45708329177315987,5,0.16237998008728027
perfected,0.1392567417351529,0.329001875076058,4,0.1392567417351529
written,0.12283547432161868,0.2475229287146397,32,0.12283547432161868
established,0.09285714626312255,0.31473140299782415,5,0.09285714626312255
painted,0.08904910087585449,0.4803409759866852,3,0.08904910087585449
customized,0.08310012817382813,0.3678150873789986,5,0.08310012817382813
implemented,0.07529464789799281,0.35030999514434713,14,0.07529464789799281
managed,0.07285735186408548,0.23303122769785445,17,0.07285735186408548
captured,0.026636219024658202,0.26539155877724957,5,0.026636219024658202
navigated,0.024687210254342062,0.514690144694811,3,0.024687210254342062
penned,0.015716552734375,0.38238595310450696,5,0.015716552734375
crafted,0.011346381643544073,0.25793821040899645,23,0.011346381643544073
identified,0.01040959358215332,0.5013727707225234,4,0.01040959358215332
carried,0.0022171925949422936,0.008384791177096555,19,0.0022171925949422936
administered,-0.034571170806884766,0.06904321742394241,3,0.034571170806884766
performed,-0.09011021527377042,0.1658516022284375,11,0.09011021527377042
championed,-0.10363979339599609,0.13389696745725657,10,0.10363979339599609
engineered,-0.1513854662577311,0.33721311201177756,3,0.1513854662577311
curated,-0.20985320340032163,0.28560982287807435,23,0.20985320340032163
spearheaded,-0.23013618718022885,0.32165799817257706,23,0.23013618718022885
provided,-0.2953344980875651,0.18127612887470945,3,0.2953344980875651
led,-0.3578175646918161,0.3295257327406833,63,0.3578175646918161
coordinated,-0.42433494329452515,0.1734513981976372,4,0.42433494329452515
orchestrated,-0.4309646288553874,0.09640183450935082,6,0.4309646288553874
overseen,-0.6067289872602983,0.21678605941429516,11,0.6067289872602983
facilitated,-0.6285876433054606,0.4982407489894608,3,0.6285876433054606
guided,-0.6787257194519043,0.27291355744017437,3,0.6787257194519043
solved,-0.8907879988352457,0.6215683580343905,3,0.8907879988352457
