Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
developed,58,0.38936500302676497,0.29154080536952914,10.17118517820278,2.01118115446043e-14,1.0860378234086322e-12,1.3355420437054883,True,male
conducted,119,0.31301667059169097,0.4012534636527572,8.50985488195437,6.421169125499966e-14,1.7337156638849907e-12,0.7800971180215757,True,male
formulated,20,0.9554145216941834,0.243774339820477,17.527454438165496,3.455618933700381e-13,6.220114080660686e-12,3.9192579596268433,True,male
led,63,-0.3578175646918161,0.3295257327406833,-8.618716508403644,3.363537324778075e-12,4.540775388450401e-11,-1.08585621437157,True,female
undertaken,35,0.24835789544241768,0.23833122559736125,6.164971125866284,5.264109064676349e-07,5.6852377898504575e-06,1.0420703154608686,True,male
overseen,11,-0.6067289872602983,0.21678605941429513,-9.282388386095818,3.13178015561171e-06,2.4376471350105914e-05,-2.798745403184767,True,female
devised,19,0.45939606114437703,0.301856312384169,6.633821866347003,3.1599129527915074e-06,2.4376471350105914e-05,1.5219031118345774,True,male
initiated,17,0.4237209067625158,0.3324672215422437,5.254791874700235,7.857729941879257e-05,0.0005303967710768499,1.2744742317662654,True,male
orchestrated,6,-0.4309646288553874,0.09640183450935082,-10.950449680303906,0.00011043378338312924,0.0006626027002987754,-4.470502361794625,True,female
organized,15,0.2539020299911499,0.18988479719564674,5.178710187687021,0.00013993232525889764,0.0007556345563980472,1.3371372207831014,True,male
achieved,7,0.690544605255127,0.22466848672042802,8.132022970252246,0.00018577849974423495,0.00086823908678239,3.0736157764503207,True,male
created,31,0.30964046524417016,0.4086120822367354,4.219173202709583,0.00020839905000138921,0.00086823908678239,0.75778587737593,True,male
designed,33,0.2732214891549313,0.37523997484952937,4.182757877702916,0.00020902052089205684,0.00086823908678239,0.7281246867807531,True,male
curated,23,-0.20985320340032163,0.28560982287807435,-3.523760485524531,0.0019118849081008716,0.007374413216960504,-0.7347548529166208,True,female
spearheaded,23,-0.23013618718022885,0.3216579981725771,-3.4312667099973067,0.0023862758843296097,0.008590593183586596,-0.7154685675086349,True,female
composed,5,0.3105860948562622,0.13122793233480062,5.292254542218573,0.006119142248154601,0.02065210508752178,2.3667681821265516,True,male
made,8,0.4184898901730776,0.31249236056059937,3.7878306998421696,0.006822181260803178,0.02167045812255127,1.339200386922492,True,male
written,32,0.12283547432161868,0.24752292871463968,2.8072646785209248,0.008563502268394103,0.024377416208547952,0.49625897269190483,True,male
accomplished,4,0.36773133277893066,0.11923374501799984,6.16824260151213,0.008577239036340946,0.024377416208547952,3.084121300756065,True,male
coordinated,4,-0.42433494329452515,0.1734513981976372,-4.892839696927915,0.016332448704101256,0.04409761150107339,-2.4464198484639574,True,female
compiled,5,0.24147844314575195,0.17336883778425727,3.114528659681369,0.035715046656482105,0.09056408039979656,1.39285956018377,False,male
championed,10,-0.10363979339599609,0.1338969674572566,-2.4476865278166007,0.03689647719991712,0.09056408039979656,-0.7740264426009544,False,female
founded,6,0.2008874217669169,0.1804206315085204,2.7273581461163605,0.04141032944119268,0.09722425173149586,1.1134393006346948,False,male
guided,3,-0.6787257194519043,0.27291355744017437,-4.3075450026044955,0.04989484389817389,0.11226339877089125,-2.4869622668001328,False,female
executed,7,0.25071634565080914,0.28360680399939225,2.3389181460271766,0.057929593768881606,0.12512792254078428,0.8840279644748805,False,male
discovered,8,0.48409944772720337,0.6323729888136002,2.1652411365563133,0.06708675921775578,0.13933403837533892,0.7655283452815183,False,male
conceptualized,12,0.25778028182685375,0.45153574343622344,1.9776443030433029,0.07356489254990622,0.14586563606140687,0.5708967353616903,False,male
authored,3,0.1797792116800944,0.09087483152599854,3.4265453211378825,0.07563403351332208,0.14586563606140687,1.978316863549409,False,male
performed,11,-0.09011021527377042,0.16585160222843753,-1.801983036797005,0.10172308581851243,0.189415401179299,-0.5433183283309866,False,female
provided,3,-0.2953344980875651,0.18127612887470942,-2.8218517192027397,0.10598983700620444,0.190781706611168,-1.62919684969491,False,female
solved,3,-0.8907879988352457,0.6215683580343906,-2.482253243447578,0.13112173218987644,0.21999940409972385,-1.4331295783012807,False,female
prepared,4,0.364216685295105,0.35313118004709476,2.062784063681558,0.1311454400344223,0.21999940409972385,1.031392031840779,False,male
analyzed,14,0.20971465110778809,0.49157536881970093,1.5962564912807478,0.13444408028316457,0.21999940409972385,0.42661749227046164,False,male
drafted,5,0.22095074653625488,0.27547284289639773,1.7935012531170014,0.14734870496740063,0.22824196703069857,0.8020781439401342,False,male
researched,6,0.6932124296824137,0.992923856775951,1.7101177743783709,0.14793460826063795,0.22824196703069857,0.6981526578818361,False,male
facilitated,3,-0.6285876433054606,0.4982407489894608,-2.1851800307848173,0.16047777832666218,0.2407166674899933,-1.2616142790014089,False,female
managed,17,0.07285735186408548,0.23303122769785442,1.2890914248107102,0.21569247016689333,0.3147944159192497,0.31265059444544263,False,male
choreographed,4,0.45309942960739136,0.6338593355715677,1.4296529345862508,0.24816515719811572,0.3526557497025855,0.7148264672931253,False,male
carried,19,0.0022171925949422936,0.008384791177096555,1.15262482458946,0.2641425516089379,0.36341417194868586,0.2644302700106185,False,male
pioneered,3,0.21455462773640951,0.24543723060641345,1.5141122449935973,0.2691956829249525,0.36341417194868586,0.874173112230362,False,male
directed,4,0.2906152307987213,0.43993256694887733,1.3211808019318219,0.27817111854252996,0.36637171710479555,0.6605904009659109,False,male
implemented,14,0.07529464789799281,0.3503099951443471,0.804221345086031,0.43572976199512203,0.560223979708014,0.2149371954601731,False,male
perfected,4,0.1392567417351529,0.32900187507605794,0.8465407177570634,0.45943438010315746,0.5726664858258123,0.4232703588785317,False,male
completed,5,0.16237998008728027,0.45708329177315987,0.7943687292783732,0.4714484309818226,0.5726664858258123,0.355252495573314,False,male
administered,3,-0.034571170806884766,0.06904321742394241,-0.8672687419387535,0.47722207152151025,0.5726664858258123,-0.5007178416180873,False,female
engineered,3,-0.1513854662577311,0.33721311201177756,-0.7775715408027678,0.5181982425717024,0.6083196760624333,-0.44893113839667004,False,female
established,5,0.09285714626312255,0.3147314029978242,0.6597209215961778,0.5454831619713664,0.6267253350309316,0.2950361653735725,False,male
customized,5,0.08310012817382813,0.36781508737899854,0.5051928045141819,0.6399881994562943,0.7199867243883311,0.22592909052749469,False,male
painted,3,0.08904910087585449,0.4803409759866852,0.32110016591543417,0.7785834806857811,0.8580307746333097,0.18538726722810941,False,male
captured,5,0.026636219024658202,0.26539155877724957,0.22442460746349346,0.8334246701552253,0.8839675736931369,0.1003657356224156,False,male
crafted,23,0.011346381643544073,0.25793821040899645,0.21096267464739896,0.8348582640435183,0.8839675736931369,0.043988758492015695,False,male
penned,5,0.015716552734375,0.38238595310450696,0.09190525959623301,0.931192081476936,0.9591174167439984,0.04110128158938838,False,male
navigated,3,0.024687210254342062,0.514690144694811,0.08307814497402194,0.9413559831005911,0.9591174167439984,0.047965189364526324,False,male
identified,4,0.01040959358215332,0.5013727707225234,0.041524367456781335,0.9694869119964993,0.9694869119964993,0.020762183728390667,False,male
