Context,mean_delta,std_delta,count,mean_abs_delta
directed,2.0213684141635895,1.404209648830329,4,2.0213684141635895
choreographed,1.9138057753443718,0.817281146230351,4,1.9138057753443718
painted,1.758976658185323,0.7738851027257504,3,1.758976658185323
penned,1.7333427906036376,0.626340756666553,5,1.7333427906036376
prepared,1.4840613007545471,0.7223859864565162,4,1.4840613007545471
formulated,1.3000099539756775,0.32629011802576,20,1.3000099539756775
composed,1.2493346095085145,0.6717729176232616,5,1.2493346095085145
devised,1.2408246931276823,0.40093623508799575,19,1.2408246931276823
championed,1.1928493976593018,0.29244411173558943,10,1.1928493976593018
founded,1.1722184618314107,0.35022550528538043,6,1.1722184618314107
pioneered,1.127733548482259,0.797451486346189,3,1.127733548482259
written,1.0977693600580096,0.783764969592613,32,1.0977693600580096
undertaken,0.9462770530155726,0.2870901980214709,35,0.9462770530155726
made,0.9432748705148697,0.37808069696693697,8,0.9432748705148697
initiated,0.8655637292300954,0.2894068615776837,17,0.8655637292300954
developed,0.8626864305857954,0.350323831437782,58,0.8626864305857954
drafted,0.8408877372741699,0.23118577801667253,5,0.8408877372741699
authored,0.8387680848439535,0.4701158848780912,3,0.8387680848439535
curated,0.8367898904758951,0.6395418212102807,23,0.8367898904758951
spearheaded,0.8327593285104503,0.4772513068163878,23,0.8327593285104503
conducted,0.8133826696572184,0.35795201569736274,119,0.8133826696572184
created,0.8025218056094262,0.5765816766163122,31,0.8025218056094262
organized,0.7700029055277506,0.22871247746862955,15,0.7700029055277506
compiled,0.739247179031372,0.11738259259497018,5,0.739247179031372
designed,0.5938165097525625,0.4169047453707358,33,0.5938165097525625
achieved,0.4965483120509556,0.31541755135236665,7,0.4965483120509556
discovered,0.48925164341926575,0.5890423030673622,8,0.48925164341926575
researched,0.47830522060394287,0.4684535944311578,6,0.47830522060394287
engineered,0.46362098058064777,0.46558587236500826,3,0.46362098058064777
conceptualized,0.440387025475502,0.30563247515265307,12,0.440387025475502
established,0.3989652156829834,0.5100682978080666,5,0.3989652156829834
completed,0.38576793670654297,0.21621554665771114,5,0.38576793670654297
captured,0.3515320301055908,0.1878269492319599,5,0.3515320301055908
performed,0.294316367669539,0.34078965541686496,11,0.294316367669539
crafted,0.28869129263836407,0.47634361944548786,23,0.28869129263836407
overseen,0.2834499099037864,0.3976491555048119,11,0.2834499099037864
managed,0.23339233678929946,0.1761081235011395,17,0.23339233678929946
led,0.22342688318282838,0.2836682028621757,63,0.22342688318282838
executed,0.18952104023524693,0.1599284087749867,7,0.18952104023524693
administered,0.17124032974243164,0.2977162681651503,3,0.17124032974243164
orchestrated,0.1293843388557434,0.39512252097260075,6,0.1293843388557434
accomplished,0.12105301022529602,0.37316122591390255,4,0.12105301022529602
identified,0.10195207595825195,0.24334493100838386,4,0.10195207595825195
provided,0.059528350830078125,0.12842854440328483,3,0.059528350830078125
carried,0.02750136961204637,0.05062495325131079,19,0.02750136961204637
solved,-0.010208845138549805,0.055195473158859594,3,0.010208845138549805
analyzed,-0.010346480778285436,0.39374924495470326,14,0.010346480778285436
implemented,-0.13318238939557756,0.34420451993529505,14,0.13318238939557756
coordinated,-0.2490689754486084,0.2374816899521697,4,0.2490689754486084
navigated,-0.255766635062173,0.1267770159812774,3,0.255766635062173
perfected,-0.25720153748989105,0.09402225234234254,4,0.25720153748989105
facilitated,-0.6025873025258383,0.4291029959871408,3,0.6025873025258383
customized,-0.6666688919067383,0.14666508808966736,5,0.6666688919067383
guided,-1.0303337574005127,0.11534477198766845,3,1.0303337574005127
