Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
conducted,119,0.8133826696572184,0.3579520156973628,24.788119617200998,1.3232415789323855e-48,7.145504526234882e-47,2.2723231997243674,True,male
developed,58,0.8626864305857954,0.350323831437782,18.754145528394854,4.6814914706793876e-26,1.2640026970834346e-24,2.462539950665645,True,male
undertaken,35,0.9462770530155726,0.28709019802147095,19.49997102352422,4.923011933634732e-20,8.861421480542519e-19,3.2960966955228557,True,male
formulated,20,1.3000099539756775,0.32629011802576,17.817950761760383,2.5721548727295125e-13,3.4724090781848417e-12,3.9842149123040373,True,male
devised,19,1.2408246931276823,0.4009362350879957,13.489999083785413,7.502462425547009e-11,8.102659419590769e-10,3.0948180397198364,True,male
initiated,17,0.8655637292300954,0.28940686157768364,12.331465335217198,1.3850222113508066e-09,1.2465199902157258e-08,2.9908196526907767,True,male
designed,33,0.5938165097525625,0.4169047453707358,8.182243494946801,2.4026986259436406e-09,1.8535103685850942e-08,1.4243457680590959,True,male
organized,15,0.7700029055277506,0.22871247746862955,13.039115585853178,3.1986343683461967e-09,2.1590781986336827e-08,3.3666851675521947,True,male
written,32,1.0977693600580096,0.783764969592613,7.923193189706461,6.056660610690536e-09,3.633996366414322e-08,1.4006359082731275,True,male
created,31,0.8025218056094262,0.5765816766163122,7.749556551793746,1.2032245762083676e-08,6.497412711525185e-08,1.391861445058488,True,male
spearheaded,23,0.8327593285104503,0.47725130681638783,8.36828182963922,2.774067561638717e-08,1.361814984804461e-07,1.7449073823716874,True,male
led,63,0.22342688318282838,0.2836682028621757,6.251655594214626,4.161464576658268e-08,1.8726590594962206e-07,0.7876345707008394,True,male
championed,10,1.1928493976593018,0.29244411173558943,12.89860472750378,4.152910171460909e-07,1.7250549942991469e-06,4.078896957712745,True,male
curated,23,0.8367898904758951,0.6395418212102807,6.274966236827524,2.578014726133554e-06,9.943771086515137e-06,1.3084209081000184,True,male
managed,17,0.23339233678929946,0.1761081235011395,5.464263871880878,5.196753805551624e-05,0.00018708313699985845,1.3252786535300816,True,male
compiled,5,0.739247179031372,0.11738259259497018,14.082215326362933,0.00014757291704771446,0.0004980585950360363,6.297758148707381,True,male
made,8,0.9432748705148697,0.37808069696693697,7.056652855485564,0.00020120048657672649,0.0006391074279496018,2.494903543296628,True,male
conceptualized,12,0.440387025475502,0.30563247515265307,4.991437527944108,0.00040800409434382453,0.0012240122830314737,1.440903900200866,True,male
founded,6,1.1722184618314107,0.35022550528538043,8.198537956901262,0.00043931128760602315,0.0012485689226697499,3.347039105208032,True,male
customized,5,-0.6666688919067383,0.14666508808966733,-10.164088674439954,0.0005276657948944471,0.0014246976462150072,-4.545518641076694,True,female
drafted,5,0.8408877372741699,0.2311857780166725,8.133208530913294,0.001243238798677444,0.003196899768027713,3.637281430060664,True,male
penned,5,1.7333427906036376,0.626340756666553,6.188120870062313,0.003466180297630073,0.008507897094182907,2.767411783688895,True,male
guided,3,-1.0303337574005127,0.11534477198766845,-15.471792833071142,0.0041515251302950895,0.009747059001562385,-8.932643757019747,True,female
achieved,7,0.4965483120509556,0.31541755135236665,4.165092722275577,0.005910755655657396,0.01329920022522914,1.5742570758094558,True,male
crafted,23,0.28869129263836407,0.47634361944548786,2.906546335925899,0.008181501552561891,0.017672043353533683,0.6060568061653264,True,male
perfected,4,-0.25720153748989105,0.09402225234234254,-5.471077985951659,0.012004336780342227,0.024932084082249242,-2.7355389929758296,True,female
captured,5,0.3515320301055908,0.1878269492319599,4.184966634441042,0.01386264964798902,0.027312176482055608,1.8715739756357366,True,male
composed,5,1.2493346095085145,0.6717729176232616,4.158543817735262,0.014161869286991797,0.027312176482055608,1.859757332773508,True,male
completed,5,0.38576793670654297,0.21621554665771114,3.9895527558027353,0.01627098949761191,0.030296278460881825,1.784182232359307,True,male
performed,11,0.294316367669539,0.3407896554168649,2.864338590401476,0.016831265811601014,0.030296278460881825,0.8636305797179252,True,male
choreographed,4,1.9138057753443718,0.817281146230351,4.683347423763927,0.018396982275642366,0.0320463562220867,2.3416737118819637,True,male
executed,7,0.18952104023524693,0.1599284087749867,3.135312509625582,0.020187792096207312,0.03406689916234984,1.185036740419871,True,male
prepared,4,1.4840613007545471,0.7223859864565162,4.108776550426286,0.026102991961251223,0.04271398684568382,2.054388275213143,True,male
carried,19,0.02750136961204637,0.05062495325131079,2.3679170695286844,0.029289558194805027,0.0465187100741021,0.5432374322505532,True,male
overseen,11,0.2834499099037864,0.39764915550481184,2.3641367899234145,0.039672230839901464,0.061208584724419396,0.7128140622955665,False,male
discovered,8,0.48925164341926575,0.589042303067362,2.3492584689888587,0.05114326393150428,0.07671489589725641,0.8305882970909741,False,male
researched,6,0.47830522060394287,0.4684535944311578,2.5010027582597143,0.05442330767963787,0.07942861120812013,1.0210301005049345,False,male
painted,3,1.758976658185323,0.7738851027257504,3.936807842112399,0.05888140945682076,0.08367358185969265,2.272917067391423,False,male
directed,4,2.0213684141635895,1.404209648830329,2.8790122840237395,0.0635802767709277,0.08803422937513067,1.4395061420118698,False,male
navigated,3,-0.255766635062173,0.1267770159812774,-3.4943306038535726,0.07303857844680946,0.09860208090319277,-2.0174527147724075,False,female
authored,3,0.8387680848439535,0.47011588487809114,3.090278345080176,0.09069414829392367,0.1194508294602897,1.784173034402911,False,male
coordinated,4,-0.2490689754486084,0.2374816899521697,-2.097584664306309,0.12685662823023727,0.16310137915316222,-1.0487923321531545,False,female
pioneered,3,1.127733548482259,0.797451486346189,2.449417722350637,0.13398096219315989,0.1663016866216013,1.4141719813569804,False,male
facilitated,3,-0.6025873025258383,0.4291029959871408,-2.4323107359565186,0.13550507798797143,0.1663016866216013,-1.4042952581573127,False,female
established,5,0.3989652156829834,0.5100682978080667,1.7490076265447667,0.15519599770490128,0.18623519724588153,0.7821799892239328,False,male
implemented,14,-0.13318238939557756,0.3442045199352951,-1.4477522583487366,0.1713707032113101,0.2011743037697988,-0.3869280665478004,False,female
engineered,3,0.46362098058064777,0.46558587236500826,1.724741108963549,0.22671590995806523,0.2604821093135217,0.9957797435425187,False,male
administered,3,0.17124032974243164,0.2977162681651503,0.9962403238717548,0.4240995534097409,0.47711199758595857,0.5751796191649177,False,male
