Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
conducted,119,0.3203837821463577,0.24811432758450716,14.08614520434094,4.895533296902946e-27,2.643587980327591e-25,1.2912748137740484,True,male
developed,58,0.6426461503423494,0.2618511790385234,18.690949898851514,5.526514313341851e-26,1.4921588646022999e-24,2.454241957977984,True,male
created,31,0.37364427505000947,0.22120074762935357,9.404865495684403,1.8723828619106437e-10,3.3702891514391587e-09,1.6891637078735917,True,male
devised,19,0.6691520088597348,0.25907772600529216,11.258266117509605,1.399583048672755e-09,1.8894371157082193e-08,2.5828233834585457,True,male
formulated,20,0.8231280684471131,0.36892178059249653,9.978105994608658,5.4521031634792724e-09,5.888271416557614e-08,2.2311723290643104,True,male
designed,33,0.3088689085209008,0.23591895584471584,7.520874226545877,1.4544105408935461e-08,1.3089694868041914e-07,1.3092161560947284,True,male
crafted,23,0.30682667441990064,0.2122709925970549,6.9321249190624625,5.841949473561121e-07,4.50664673674715e-06,1.4454479656687562,True,male
undertaken,35,-0.11532846518925258,0.12422474858291908,-5.492403157222894,3.936265611840243e-06,2.656979287992164e-05,-0.9283855794022533,True,female
led,63,0.13598727044605075,0.2287484196463541,4.718570291680723,1.3959519264580619e-05,8.375711558748371e-05,0.5944839778840334,True,male
initiated,17,0.4040179042255177,0.2766737847085826,6.020839652434243,1.7807310450020272e-05,9.615947643010947e-05,1.460268108346677,True,male
implemented,14,0.26178508145468576,0.15244529007422492,6.42532205025963,2.251947900467237e-05,0.00011055016965930072,1.7172395508396738,True,male
written,32,0.19324915623292327,0.2333044958868969,4.685646140214075,5.277740625767391e-05,0.00023749832815953258,0.8283130399964862,True,male
championed,10,-0.301826548576355,0.14158860244151636,-6.741074742954513,8.449936600045827e-05,0.00035099736646344203,-2.1317150065170356,True,female
customized,5,-0.3883374214172363,0.05711337718974041,-15.203948973479884,0.0001091197232020898,0.0004208903609223464,-6.799412686227834,True,female
executed,7,0.662447418485369,0.20385670073310802,8.597564463989043,0.00013614168047385695,0.000490110049705885,3.249573921794478,True,male
organized,15,0.31935505867004393,0.24993341188065843,4.948745405623333,0.00021394652957724218,0.0007220695373231923,1.2777605693733092,True,male
conceptualized,12,0.7515914471199115,0.5432590450141253,4.792537132675099,0.0005600167713618584,0.0017788768031494326,1.3834863018256225,True,male
curated,23,0.26156225670938904,0.3168603562081142,3.9588686039720447,0.0006667239589504736,0.002000171876851421,0.8254811672861805,True,male
analyzed,14,0.4460552079336984,0.38401734214933686,4.3461208140570715,0.000792657406329776,0.0022528157864109425,1.16154964626633,True,male
composed,5,0.4059083700180054,0.12782915847046045,7.100404311948439,0.002078101475956393,0.005610873985082261,3.175397341849866,True,male
achieved,7,0.20479931150163924,0.10874313723710793,4.982825221688428,0.002494686619203356,0.006414908449380058,1.8833309090125525,True,male
compiled,5,0.2833683967590332,0.11187879808940628,5.663548488624024,0.004792071320208987,0.011762356876876606,2.5328158828859024,True,male
pioneered,3,1.0958515008290608,0.14519047955688158,13.07296788866194,0.005800429211237366,0.01361839901768773,7.547681529626305,True,male
penned,5,0.42260262966156004,0.1807741660704288,5.227340985355518,0.006395291143048457,0.014389405071859027,2.337737956965134,True,male
navigated,3,0.76132622299095,0.13631449169361973,9.6736281151871,0.010517853064402434,0.022718562619109255,5.585071796343604,True,male
carried,19,0.003761664867756496,0.006329678516741975,2.590450206064748,0.018466235755628623,0.03835295118476714,0.5942900350794922,True,male
