Context,mean_delta,std_delta,count,mean_abs_delta
conceptualized,1.2653829778234165,0.1662536679365859,12,1.2653829778234165
pioneered,1.0958515008290608,0.14519047955688158,3,1.0958515008290608
formulated,0.8231280684471131,0.36892178059249653,20,0.8231280684471131
devised,0.6691520088597348,0.25907772600529216,19,0.6691520088597348
executed,0.662447418485369,0.20385670073310802,7,0.662447418485369
developed,0.6426461503423494,0.2618511790385234,58,0.6426461503423494
researched,0.5126794179280599,0.6266411708460135,6,0.5126794179280599
drafted,0.4959557294845581,0.3279984453826508,5,0.4959557294845581
choreographed,0.48160666204921654,0.2955056322195192,4,0.48160666204921654
analyzed,0.4460552079336984,0.38401734214933686,14,0.4460552079336984
penned,0.42260262966156004,0.18077416607042882,5,0.42260262966156004
navigated,0.41209339040021103,0.4997225585207685,3,0.41209339040021103
composed,0.4059083700180054,0.12782915847046045,5,0.4059083700180054
initiated,0.4040179042255177,0.2766737847085826,17,0.4040179042255177
created,0.37364427505000947,0.22120074762935357,31,0.37364427505000947
engineered,0.36054245630900067,0.26825528234594215,3,0.36054245630900067
identified,0.3388914465904236,0.2075203970192069,4,0.3388914465904236
conducted,0.3203837821463577,0.2481143275845072,119,0.3203837821463577
administered,0.3203400770823161,0.22119637940502984,3,0.3203400770823161
organized,0.31935505867004393,0.2499334118806584,15,0.31935505867004393
discovered,0.31406646966934204,0.33456642026372224,8,0.31406646966934204
designed,0.3088689085209008,0.23591895584471584,33,0.3088689085209008
crafted,0.30682667441990064,0.2122709925970549,23,0.30682667441990064
painted,0.30312315622965497,0.1527695259531252,3,0.30312315622965497
compiled,0.2833683967590332,0.11187879808940628,5,0.2833683967590332
established,0.27467169761657717,0.18218333793306057,5,0.27467169761657717
prepared,0.26190119981765747,0.354078631686031,4,0.26190119981765747
implemented,0.26178508145468576,0.15244529007422492,14,0.26178508145468576
curated,0.26156225670938904,0.31686035620811426,23,0.26156225670938904
made,0.25471577048301697,0.24772692199103988,8,0.25471577048301697
provided,0.22633020083109537,0.11601953060884838,3,0.22633020083109537
achieved,0.20479931150163924,0.10874313723710793,7,0.20479931150163924
written,0.19324915623292327,0.23330449588689686,32,0.19324915623292327
overseen,0.16367134180935947,0.2806749321528054,11,0.16367134180935947
led,0.13598727044605075,0.2287484196463541,63,0.13598727044605075
founded,0.11047693093617757,0.126535438290158,6,0.11047693093617757
orchestrated,0.09510175387064616,0.47127619901754836,6,0.09510175387064616
performed,0.06323577057231557,0.11993617041500894,11,0.06323577057231557
accomplished,0.06300044059753418,0.32086593313015616,4,0.06300044059753418
managed,0.051349787151112276,0.13956980655236198,17,0.051349787151112276
coordinated,0.043005406856536865,0.18955445161712128,4,0.043005406856536865
perfected,0.03883671760559082,0.15918544160466538,4,0.03883671760559082
spearheaded,0.015299636384715204,0.22065764712399463,23,0.015299636384715204
authored,0.014672497908274332,0.16213042927233454,3,0.014672497908274332
completed,0.007950139045715333,0.06790966193778113,5,0.007950139045715333
carried,0.003761664867756496,0.006329678516741975,19,0.003761664867756496
directed,-0.009163841605186462,0.1407601811667936,4,0.009163841605186462
captured,-0.012717986106872558,0.1736725991263367,5,0.012717986106872558
undertaken,-0.11532846518925258,0.12422474858291907,35,0.11532846518925258
facilitated,-0.2696714401245117,0.21948502857857333,3,0.2696714401245117
championed,-0.301826548576355,0.14158860244151636,10,0.301826548576355
guided,-0.3194790681203206,0.39487130809530596,3,0.3194790681203206
customized,-0.3883374214172363,0.05711337718974041,5,0.3883374214172363
solved,-0.5189769665400187,0.2029401250854419,3,0.5189769665400187
