Context,mean_delta,std_delta,count,mean_abs_delta
pioneered,0.53515625,0.34844538247810447,3,0.53515625
formulated,0.4119140625,0.19783009390687117,20,0.4119140625
authored,0.3548177083333333,0.13339047796837003,3,0.3548177083333333
devised,0.32781661184210525,0.2878806303783954,19,0.32781661184210525
prepared,0.28466796875,0.2819019813903698,4,0.28466796875
developed,0.2593278556034483,0.2237360839055945,58,0.2593278556034483
composed,0.25703125,0.21332739027010367,5,0.25703125
penned,0.225,0.2115442662009538,5,0.225
engineered,0.15755208333333334,0.16629495495736132,3,0.15755208333333334
executed,0.15457589285714285,0.21056169676273317,7,0.15457589285714285
perfected,0.15234375,0.054965809685430814,4,0.15234375
initiated,0.12614889705882354,0.2631406131774322,17,0.12614889705882354
conducted,0.11342075892857142,0.20288809341381334,119,0.11342075892857142
designed,0.11301491477272728,0.15180350593523512,33,0.11301491477272728
organized,0.11184895833333333,0.2049710959372952,15,0.11184895833333333
researched,0.10579427083333333,0.1730800117586592,6,0.10579427083333333
written,0.0908203125,0.12340568733792857,32,0.0908203125
curated,0.08746603260869565,0.27318116315285834,23,0.08746603260869565
painted,0.08658854166666667,0.1254619961730402,3,0.08658854166666667
achieved,0.08426339285714286,0.10458754028589791,7,0.08426339285714286
administered,0.07161458333333333,0.06180439732450947,3,0.07161458333333333
directed,0.06884765625,0.15627746340674864,4,0.06884765625
compiled,0.06484375,0.08867273540331465,5,0.06484375
drafted,0.0640625,0.10082174271312185,5,0.0640625
coordinated,0.05078125,0.21269044009379373,4,0.05078125
discovered,0.050537109375,0.14037069911795538,8,0.050537109375
founded,0.041666666666666664,0.21992800372603,6,0.041666666666666664
crafted,0.011379076086956522,0.1698694694669737,23,0.011379076086956522
established,0.004296875,0.3648801340262734,5,0.004296875
undertaken,-0.000390625,0.14803317248011225,35,0.000390625
created,-0.0057963709677419355,0.14908326831015264,31,0.0057963709677419355
captured,-0.006640625,0.07231311783984114,5,0.006640625
analyzed,-0.029575892857142856,0.24261223169719498,14,0.029575892857142856
completed,-0.034765625,0.25245377825703064,5,0.034765625
orchestrated,-0.0703125,0.21503542586048469,6,0.0703125
performed,-0.09721235795454546,0.15307028505948073,11,0.09721235795454546
accomplished,-0.1025390625,0.4159789449792088,4,0.1025390625
managed,-0.10903033088235294,0.19100004142006535,17,0.10903033088235294
made,-0.11138916015625,0.10343743015989959,8,0.11138916015625
implemented,-0.11941964285714286,0.2097669079746203,14,0.11941964285714286
guided,-0.12760416666666666,0.13103901693134506,3,0.12760416666666666
led,-0.14809647817460317,0.22645725330303443,63,0.14809647817460317
customized,-0.18984375,0.23173315763536356,5,0.18984375
identified,-0.22998046875,0.28032787472206794,4,0.22998046875
championed,-0.24140625,0.18026025865590686,10,0.24140625
overseen,-0.2507102272727273,0.20418756173998007,11,0.2507102272727273
spearheaded,-0.2712296195652174,0.24165302577971612,23,0.2712296195652174
facilitated,-0.2786458333333333,0.2791352059775797,3,0.2786458333333333
solved,-0.2923177083333333,0.008807128423482215,3,0.2923177083333333
conceptualized,-0.3216145833333333,0.22788318376463923,12,0.3216145833333333
choreographed,-0.332275390625,0.3470379191923862,4,0.332275390625
provided,-0.34765625,0.19629635014456617,3,0.34765625
navigated,-0.36658350626627606,0.06850920379933913,3,0.36658350626627606
carried,-1.4563630756578947,0.7580481829861475,19,1.4563630756578947
