Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
spearheaded,23,-0.5568415859471196,0.19235388677235066,-13.883360904150504,2.3049255005371773e-12,1.2446597702900758e-10,-2.8948808640718413,True,female
conducted,119,0.16194030767729303,0.2798105399930371,6.313415485532035,4.976566274349887e-09,1.3436728940744695e-07,0.5787498486701852,True,male
designed,33,0.23632594039945892,0.18356167714164198,7.39582025380573,2.05607933764114e-08,3.700942807754052e-07,1.2874470536521758,True,male
led,63,-0.1682818948276459,0.21913349055232173,-6.095353696230717,7.674970717997446e-08,1.0361210469296551e-06,-0.7679423825335627,True,female
written,32,0.1340876673348248,0.13968506840910716,5.430175174815397,6.254765881028524e-06,6.755147151510806e-05,0.9599284222857035,True,male
perfected,4,-0.43664681911468506,0.027768176709272053,-31.449441112846607,7.064045111474601e-05,0.0006357640600327141,-15.724720556423303,True,female
championed,10,-0.2561690330505371,0.15036677021528505,-5.38734461931206,0.0004402381741733165,0.003396123057908442,-1.7036279537278847,True,female
created,31,0.10994372829314202,0.17645641252252428,3.4690763773126374,0.0016029942538462328,0.010820211213462072,0.6230645105011864,True,male
painted,3,0.2565772533416748,0.02515123609104132,17.669304094861,0.0031877233481005514,0.019126340088603307,10.201377475561356,True,male
crafted,23,-0.14784695791161578,0.22340810042613318,-3.1737842093727178,0.004395065802734055,0.023733355334763895,-0.6617797547609485,True,female
achieved,7,-0.4041536365236555,0.25960416061737457,-4.118924793659177,0.0062237406942512044,0.03055290886268773,-1.556807239000031,True,female
orchestrated,6,-0.3988170623779297,0.29850378803712063,-3.272649603428734,0.022133604884638492,0.09059845650598382,-1.3360536058870198,False,female
carried,19,0.022703097710434935,0.03984563063619822,2.483597499777396,0.02308094356442212,0.09059845650598382,0.5697763430505237,False,male
coordinated,4,-0.29849088191986084,0.1396146069757318,-4.2759262570820455,0.02348848872377358,0.09059845650598382,-2.1379631285410228,False,female
curated,23,-0.11831788394762122,0.24218076080389747,-2.343012862475598,0.028577328369050626,0.10287838212858226,-0.48855195414728875,False,female
customized,5,-0.34952411651611326,0.24957034632998484,-3.131620786678714,0.03513029113007742,0.11690792258025738,-1.4005033917529943,False,female
directed,4,0.5825765132904053,0.3237994353195331,3.5983788094967166,0.036804345997488434,0.11690792258025738,1.7991894047483583,False,male
administered,3,-0.31815703709920246,0.11615951810660242,-4.744029262721888,0.04167504827916376,0.12502514483749128,-2.7389665718759435,False,female
initiated,17,0.10660077368511874,0.20405949253760677,2.1539122939615583,0.04683800809309255,0.1331185493172104,0.5224004644894084,False,male
undertaken,35,-0.08978601864406041,0.27298424027243556,-1.945831192214677,0.05997935800900589,0.1619442666243159,-0.32890550221673914,False,female
composed,5,0.18632333278656005,0.17443286499563446,2.388492775805125,0.07529094479673656,0.18819070389911172,1.0681664420934849,False,male
researched,6,-0.303460955619812,0.3341178018574412,-2.22473778407972,0.07667028677371218,0.18819070389911172,-0.9082453970809085,False,female
formulated,20,0.08470667600631714,0.20644168464356621,1.8349965126975483,0.08221227622884589,0.19302012679815989,0.41031769408667745,False,male
solved,3,-0.5552473862965902,0.3192182258727847,-3.012724856815607,0.09477200203370838,0.21323700457584385,-1.7393975070767675,False,female
authored,3,0.43309446175893146,0.27606682580573855,2.717246485715099,0.11294966953659186,0.24397128619903843,1.568802989982177,False,male
captured,5,-0.47692718505859377,0.5366725832958645,-1.9871363645209998,0.11783580226227672,0.24473589700626702,-0.8886743983261514,False,female
completed,5,0.18943395614624023,0.23601268067307712,1.794764594773858,0.14713215775932406,0.2942643155186481,0.8026431275048421,False,male
performed,11,0.0791395523331382,0.17734253269409234,1.4800521746155164,0.16966054538001896,0.32720248037575084,0.44625252121356734,False,male
pioneered,3,0.33694903055826825,0.31308383933624484,1.8640784581065906,0.20332623728320667,0.37860747632045383,1.0762261995784226,False,male
accomplished,4,-0.3174312114715576,0.4060420643709697,-1.5635385558553605,0.21587398426730411,0.3885731716811474,-0.7817692779276803,False,female
guided,3,-0.25779183705647785,0.26052879815982194,-1.7138549086017938,0.22868930409133809,0.395953796709093,-0.9894945928332073,False,female
drafted,5,-0.07257258892059326,0.11607350207194596,-1.3980558803938745,0.23463928693872177,0.395953796709093,-0.6252295969808037,False,female
executed,7,-0.06729214532034737,0.14696743513697683,-1.2114131374730903,0.2712787542614181,0.44391068879141143,-0.4578711281014712,False,female
identified,4,0.16766291856765747,0.28104756257108293,1.1931284301763119,0.31857681656087095,0.49628548384083776,0.5965642150881559,False,male
facilitated,3,-0.32117319107055664,0.42607271118552237,-1.3056181969865925,0.3216665173042467,0.49628548384083776,-0.7537990174890832,False,female
penned,5,0.10699291229248047,0.22143838532485957,1.0804062929093294,0.3407522897715566,0.5061877864572485,0.48317238285276193,False,male
choreographed,4,0.00014755249139852822,0.0002651236007248156,1.1130845461900614,0.3468323722021888,0.5061877864572485,0.5565422730950307,False,male
managed,17,-0.06798565037110273,0.30695503302035776,-0.9132022197133295,0.3746921679845205,0.5161290901606305,-0.22148407114273902,False,female
