Context,mean_delta,std_delta,count,mean_abs_delta
directed,0.5825765132904053,0.3237994353195331,4,0.5825765132904053
authored,0.43309446175893146,0.27606682580573855,3,0.43309446175893146
pioneered,0.33694903055826825,0.31308383933624484,3,0.33694903055826825
painted,0.2565772533416748,0.02515123609104132,3,0.2565772533416748
designed,0.23632594039945892,0.18356167714164198,33,0.23632594039945892
completed,0.18943395614624023,0.23601268067307712,5,0.18943395614624023
composed,0.18632333278656005,0.17443286499563446,5,0.18632333278656005
identified,0.16766291856765747,0.28104756257108293,4,0.16766291856765747
conducted,0.16194030767729303,0.2798105399930371,119,0.16194030767729303
written,0.1340876673348248,0.13968506840910716,32,0.1340876673348248
created,0.10994372829314202,0.17645641252252428,31,0.10994372829314202
penned,0.10699291229248047,0.22143838532485957,5,0.10699291229248047
initiated,0.10660077368511874,0.20405949253760677,17,0.10660077368511874
formulated,0.08470667600631714,0.20644168464356621,20,0.08470667600631714
prepared,0.08413821458816528,0.2619847861660075,4,0.08413821458816528
performed,0.0791395523331382,0.17734253269409234,11,0.0791395523331382
analyzed,0.04746416636875698,0.32121122010699166,14,0.04746416636875698
made,0.033353185281157494,0.13985877519987008,8,0.033353185281157494
founded,0.027646938959757488,0.09283546058627513,6,0.027646938959757488
carried,0.022703097710434935,0.03984563063619823,19,0.022703097710434935
organized,0.01891591548919678,0.32665566134146123,15,0.01891591548919678
devised,0.010137401129070082,0.2578531891708878,19,0.010137401129070082
overseen,0.008788759058172052,0.3204936964181703,11,0.008788759058172052
established,0.004546117782592773,0.329015148542331,5,0.004546117782592773
compiled,0.0025821208953857424,0.23225788403354383,5,0.0025821208953857424
developed,-0.0005821852848447602,0.28466083295926436,58,0.0005821852848447602
executed,-0.06729214532034737,0.14696743513697683,7,0.06729214532034737
managed,-0.06798565037110273,0.30695503302035776,17,0.06798565037110273
implemented,-0.07245277506964547,0.34603564354756977,14,0.07245277506964547
drafted,-0.07257258892059326,0.11607350207194596,5,0.07257258892059326
discovered,-0.08362697064876556,0.345155037286797,8,0.08362697064876556
undertaken,-0.08978601864406041,0.27298424027243556,35,0.08978601864406041
engineered,-0.10105403264363606,0.22523315096498203,3,0.10105403264363606
curated,-0.11831788394762122,0.2421807608038975,23,0.11831788394762122
provided,-0.13806891441345215,0.21503795954901256,3,0.13806891441345215
crafted,-0.14784695791161578,0.22340810042613318,23,0.14784695791161578
led,-0.1682818948276459,0.21913349055232179,63,0.1682818948276459
championed,-0.2561690330505371,0.15036677021528505,10,0.2561690330505371
guided,-0.25779183705647785,0.260528798159822,3,0.25779183705647785
choreographed,-0.2924024786334485,0.4109846880238907,4,0.2924024786334485
coordinated,-0.29849088191986084,0.1396146069757318,4,0.29849088191986084
researched,-0.303460955619812,0.3341178018574412,6,0.303460955619812
accomplished,-0.3174312114715576,0.4060420643709697,4,0.3174312114715576
administered,-0.31815703709920246,0.11615951810660244,3,0.31815703709920246
facilitated,-0.32117319107055664,0.42607271118552237,3,0.32117319107055664
customized,-0.34952411651611326,0.24957034632998484,5,0.34952411651611326
conceptualized,-0.3787711680245896,0.35949309919921796,12,0.3787711680245896
orchestrated,-0.3988170623779297,0.29850378803712063,6,0.3988170623779297
achieved,-0.4041536365236555,0.25960416061737457,7,0.4041536365236555
perfected,-0.43664681911468506,0.027768176709272063,4,0.43664681911468506
navigated,-0.4464096712569396,0.42669917704515176,3,0.4464096712569396
captured,-0.47692718505859377,0.5366725832958646,5,0.47692718505859377
solved,-0.5552473862965902,0.3192182258727847,3,0.5552473862965902
spearheaded,-0.5568415859471196,0.19235388677235063,23,0.5568415859471196
