Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
guard,19,1.5469244153876054,0.47511370177065326,14.192154793349303,3.2430674759485734e-11,6.642564376129593e-10,3.2559036071208407,True,male
farmer,20,1.6419345080852508,0.5426483577784559,13.53169920097771,3.3212821880647966e-11,6.642564376129593e-10,3.0257799264465746,True,male
nurse,20,-2.1202153235673906,0.7336141224998826,-12.924902738453367,7.3202643217605e-11,7.926254407025613e-10,-2.890096112575491,True,female
salesperson,20,-1.0269467023201286,0.35698539419592273,-12.86507892475157,7.926254407025613e-11,7.926254407025613e-10,-2.8767191011644413,True,female
secretary,19,-1.4733983090049343,0.511715841802551,-12.550704527561505,2.4424682145501495e-10,1.9539745716401196e-09,-2.8793290897831043,True,female
mechanic,20,1.3352127470076085,0.5120063947224582,11.662457725168261,4.188538429022666e-10,2.6165987197334468e-09,2.6078048258193793,True,male
housekeeper,19,-1.1476047846831774,0.4143499333095841,-12.072629633610271,4.579047759533531e-10,2.6165987197334468e-09,-2.7696511871421916,True,female
developer,20,1.816761040687561,0.7064514296157447,11.500864788568073,5.29153102537127e-10,2.6457655126856347e-09,2.571671546727196,True,male
chief,20,1.199795913696289,0.5244270042680423,10.231453377942916,3.6358950950998787e-09,1.615953375599946e-08,2.287822526170021,True,male
accountant,21,0.9171528475625175,0.4453036660793765,9.438328646165578,8.287299640912909e-09,3.050785268997236e-08,2.0596121645201833,True,male
tailor,19,1.3359229635251195,0.5799557300745437,10.04068568063445,8.389659489742401e-09,3.050785268997236e-08,2.3034912739863933,True,male
sheriff,19,1.434763230775532,0.6584552200887456,9.497970006245174,1.9612584182970083e-08,6.537528060990027e-08,2.1789837592633208,True,male
lawyer,20,0.7568125605583191,0.38472351850248904,8.797405150697223,3.974132449164087e-08,1.2228099843581807e-07,1.9671595942565774,True,male
hairdresser,20,-0.009344727378447715,0.004973090093681049,-8.403405229260915,8.009765408178725e-08,2.2885044023367783e-07,-1.8790585335104613,True,female
physician,20,0.7265909284353256,0.4034463047650919,8.054140978002335,1.515972992361926e-07,4.0425946462984693e-07,1.800960672717986,True,male
analyst,18,0.3731125725640191,0.2421127414391726,6.538204358127745,5.062858737086079e-06,1.2657146842715197e-05,1.5410695461385222,True,male
driver,20,0.750503870844841,0.540445629647199,6.210347833439955,5.7615301636746355e-06,1.3556541561587378e-05,1.388675991949028,True,male
CEO,18,0.7438957691192627,0.5239746686844622,6.0233493061128724,1.3695318950225043e-05,3.043404211161121e-05,1.419717046602566,True,male
receptionist,19,-0.9121956937995396,0.6764183433995388,-5.878268803329256,1.4474712204838017e-05,3.0473078325974773e-05,-1.3485673514042102,True,female
mover,20,0.5311650867573917,0.528335307808791,4.496088842481629,0.00024737036936482395,0.0004947407387296479,1.0053560284667267,True,male
laborer,20,0.331821097433567,0.36643894363320345,4.049648887606965,0.0006840483703208925,0.0013029492768017,0.905529019769558,True,male
assistant,19,-0.34416651725769043,0.377069172343161,-3.9785460560306367,0.0008809359100708929,0.0016017016546743506,-0.9127410631820978,True,female
writer,19,0.37365104650196274,0.41454045703623227,3.9289461962163026,0.0009838647171978349,0.0017110690733875388,0.9013620749429153,True,male
counselor,20,-0.4048985123634338,0.49501794986164294,-3.6579707781757413,0.0016724923702504135,0.002787487283750689,-0.8179471319708762,True,female
carpenter,20,0.15197015800804364,0.1988338997579216,3.4180851884018972,0.002884007326194563,0.004614411721911301,0.7643070834151816,True,male
attendant,20,-0.2542530059814453,0.3900206294657262,-2.915368890291649,0.008873710441322144,0.013651862217418683,-0.6518963018180254,True,female
editor,20,0.2843828797340393,0.43977720112228363,2.8919164026679147,0.009343124790322309,0.013841666356033051,0.6466521661612111,True,male
librarian,20,-0.09630497860125616,0.1514416097517778,-2.843927492279491,0.010379227768866565,0.014827468241237951,-0.635921519581745,True,female
baker,20,0.21172027846041602,0.34751892389809635,2.724576431938405,0.013455702892560983,0.01855959019663584,0.6092338111708103,True,male
teacher,20,-0.20795720368623732,0.3550369025290307,-2.6194823160117773,0.01686838141663521,0.022491175222180283,-0.585734052446092,True,female
manager,19,0.29178533428593684,0.49471537805279264,2.570898018908779,0.019239461679711477,0.024825111844789003,0.5898044557143309,True,male
worker,20,0.10938160419464112,0.2030938378311476,2.4085881194538423,0.026330224293015046,0.0322875853608016,0.5385766764897174,True,male
cashier,20,-0.09988254867494106,0.1858863396044418,-2.4030186303992704,0.026637257922661316,0.0322875853608016,-0.5373313008771212,True,female
cook,19,0.19774948295794034,0.3840853851215431,2.2442145568186924,0.03762975237523329,0.04427029691203917,0.5148581295155578,True,male
auditor,19,0.1524814806486431,0.4552165875083514,1.4600772097231502,0.1615029565914885,0.18457480753312971,0.3349646845763186,False,male
clerk,20,0.13202733993530275,0.48599062822751793,1.2149292181231137,0.23927614478097958,0.2658623830899773,0.2716664319573952,False,male
cleaner,20,0.11742450594902039,0.5060364752723318,1.037748029467766,0.3124147254536863,0.33774564913912036,0.23204751374063792,False,male
janitor,20,0.09287833622656763,0.49292368511726503,0.8426548762422709,0.4099041314499973,0.43147803310526034,0.18842335848493902,False,male
supervisor,20,-0.042476975917816163,0.3260309852788981,-0.5826526306977118,0.5669784315796778,0.5815163400817207,-0.13028508895091642,False,female
designer,19,0.03657779254411396,0.32367446405866246,0.4925902997670268,0.62825678939966,0.62825678939966,0.11300796511857246,False,male
