Context,mean_delta,std_delta,count,mean_abs_delta
developer,1.816761040687561,0.7064514296157448,20,1.816761040687561
farmer,1.6419345080852508,0.5426483577784558,20,1.6419345080852508
guard,1.5469244153876054,0.47511370177065326,19,1.5469244153876054
sheriff,1.434763230775532,0.6584552200887456,19,1.434763230775532
tailor,1.3359229635251195,0.5799557300745437,19,1.3359229635251195
mechanic,1.3352127470076085,0.5120063947224582,20,1.3352127470076085
chief,1.199795913696289,0.5244270042680423,20,1.199795913696289
accountant,0.9171528475625175,0.4453036660793765,21,0.9171528475625175
lawyer,0.7568125605583191,0.38472351850248904,20,0.7568125605583191
driver,0.750503870844841,0.540445629647199,20,0.750503870844841
physician,0.7465133607387543,0.3604975294426924,20,0.7465133607387543
CEO,0.7438957691192627,0.5239746686844622,18,0.7438957691192627
mover,0.5311650867573917,0.5283353078087911,20,0.5311650867573917
writer,0.37365104650196274,0.41454045703623227,19,0.37365104650196274
analyst,0.3731125725640191,0.24211274143917264,18,0.3731125725640191
laborer,0.331821097433567,0.36643894363320345,20,0.331821097433567
manager,0.29178533428593684,0.4947153780527926,19,0.29178533428593684
editor,0.2843828797340393,0.43977720112228363,20,0.2843828797340393
baker,0.21172027846041602,0.3475189238980964,20,0.21172027846041602
cook,0.19774948295794034,0.3840853851215431,19,0.19774948295794034
auditor,0.1524814806486431,0.45521658750835153,19,0.1524814806486431
carpenter,0.15197015800804364,0.19883389975792157,20,0.15197015800804364
clerk,0.13202733993530275,0.48599062822751793,20,0.13202733993530275
cleaner,0.11742450594902039,0.5060364752723319,20,0.11742450594902039
worker,0.10938160419464112,0.2030938378311476,20,0.10938160419464112
janitor,0.09287833622656763,0.49292368511726503,20,0.09287833622656763
designer,0.03657779254411396,0.32367446405866246,19,0.03657779254411396
supervisor,-0.042476975917816163,0.3260309852788982,20,0.042476975917816163
librarian,-0.09630497860125616,0.1514416097517778,20,0.09630497860125616
cashier,-0.09988254867494106,0.18588633960444184,20,0.09988254867494106
teacher,-0.20795720368623732,0.3550369025290308,20,0.20795720368623732
attendant,-0.2542530059814453,0.3900206294657262,20,0.2542530059814453
assistant,-0.34416651725769043,0.37706917234316106,19,0.34416651725769043
counselor,-0.4048985123634338,0.49501794986164294,20,0.4048985123634338
hairdresser,-0.5387803741399694,0.5555087250582401,20,0.5387803741399694
receptionist,-0.9121956937995396,0.6764183433995387,19,0.9121956937995396
salesperson,-1.0269467023201286,0.3569853941959227,20,1.0269467023201286
housekeeper,-1.1476047846831774,0.41434993330958403,19,1.1476047846831774
secretary,-1.4733983090049343,0.5117158418025509,19,1.4733983090049343
nurse,-2.1202153235673906,0.7336141224998827,20,2.1202153235673906
