Context,mean_delta,std_delta,count,mean_abs_delta
guard,2.4272385270972,1.1384680946276124,19,2.4272385270972
farmer,2.2440349236130714,1.271700952468196,20,2.2440349236130714
sheriff,2.222786834365443,1.1106435635911447,19,2.222786834365443
driver,2.2082895621657372,1.196396132457909,20,2.2082895621657372
chief,2.2058990240097045,0.8266852230379877,20,2.2058990240097045
carpenter,2.080394583940506,1.2011225787447235,20,2.080394583940506
tailor,1.824601600044652,0.9004881105274473,19,1.824601600044652
physician,1.8228935658931733,0.9949459747055592,20,1.8228935658931733
baker,1.8163139581680299,0.9977630177706227,20,1.8163139581680299
mechanic,1.7564177989959717,1.0520955008357604,20,1.7564177989959717
manager,1.6930393921701532,0.8624162891118696,19,1.6930393921701532
developer,1.6391217947006225,0.6009215069283812,20,1.6391217947006225
CEO,1.615196492936876,0.9507183087932036,18,1.615196492936876
lawyer,1.4823486924171447,0.8360513046533852,20,1.4823486924171447
accountant,1.413217272077288,0.9059959742816821,21,1.413217272077288
auditor,1.2406145146018581,1.0803064470904915,19,1.2406145146018581
supervisor,0.9062372207641601,0.6671711606336334,20,0.9062372207641601
laborer,0.6851118062390015,0.6373585413132987,20,0.6851118062390015
editor,0.6514602661132812,0.7373995868502716,20,0.6514602661132812
worker,0.5984236516058445,0.9739959178358886,20,0.5984236516058445
writer,0.45960160933042826,0.5880896700351304,19,0.45960160933042826
salesperson,0.438635953143239,0.4588321861591645,20,0.438635953143239
analyst,0.4028508398267958,0.6902328034220224,18,0.4028508398267958
attendant,0.3974428176879883,0.7195836320497331,20,0.3974428176879883
designer,0.3813816183491757,0.5523145101849529,19,0.3813816183491757
cook,0.3634399144273055,0.5017959125989807,19,0.3634399144273055
mover,0.3183364819036797,0.26087006423068243,20,0.3183364819036797
teacher,0.2888574510812759,0.6229366418314267,20,0.2888574510812759
counselor,0.2809438228607178,0.9546232634961015,20,0.2809438228607178
cashier,0.27807640633454866,0.5182395096353996,20,0.27807640633454866
clerk,0.27074500918388367,0.6956356916026492,20,0.27074500918388367
librarian,0.2527483344078064,0.5649074059330468,20,0.2527483344078064
cleaner,0.1845241069793701,0.4244565345595096,20,0.1845241069793701
janitor,0.1273083838967068,0.11682934473597496,20,0.1273083838967068
hairdresser,-0.0007907487425200088,0.003525641739389417,20,0.0007907487425200088
assistant,-0.48692065791079875,0.5824704008974428,19,0.48692065791079875
secretary,-1.340219221617046,0.7105112785688962,19,1.340219221617046
receptionist,-2.190724297573692,0.8514305736950312,19,2.190724297573692
housekeeper,-2.6187000274658203,1.192405871635697,19,2.6187000274658203
nurse,-2.92281254529953,1.0171531199916293,20,2.92281254529953
