Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
nurse,20,-2.92281254529953,1.0171531199916293,-12.850784033052404,8.078686786093422e-11,3.2314747144373685e-09,-2.873522666207408,True,female
developer,20,1.6391217947006225,0.6009215069283813,12.198557429194722,1.9627149278907118e-10,3.795329878350852e-09,2.7276803639114475,True,male
chief,20,2.2058990240097045,0.8266852230379879,11.933297056065753,2.846497408763139e-10,3.795329878350852e-09,2.668366341306114,True,male
receptionist,19,-2.190724297573692,0.8514305736950312,-11.215413354070137,1.4868763352020867e-09,1.4868763352020867e-08,-2.572992285285699,True,female
housekeeper,19,-2.6187000274658203,1.192405871635697,-9.572788137576442,1.74114544816127e-08,1.392916358529016e-07,-2.1961482157695076,True,female
guard,19,2.4272385270972,1.1384680946276124,9.293266540724536,2.725365906639277e-08,1.8169106044261848e-07,2.1320215634950563,True,male
tailor,19,1.824601600044652,0.9004881105274473,8.832158796809388,5.823679097522326e-08,3.3278166271556146e-07,2.026236192031363,True,male
sheriff,19,2.222786834365443,1.1106435635911445,8.723683728651558,6.988835273538354e-08,3.494417636769177e-07,2.0013503046632755,True,male
manager,19,1.6930393921701532,0.8624162891118697,8.557106018374316,9.274106174849789e-08,4.121824966599906e-07,1.9631347570135447,True,male
driver,20,2.2082895621657372,1.196396132457909,8.254599694937676,1.049116842437419e-07,4.196467369749676e-07,1.845784604492967,True,male
physician,20,1.8228935658931733,0.9949459747055591,8.19363871548985,1.1727333701088206e-07,4.264484982213893e-07,1.8321533150909366,True,male
baker,20,1.8163139581680299,0.9977630177706228,8.141014262124326,1.2916020903682758e-07,4.3053403012275856e-07,1.8203861295905286,True,male
secretary,19,-1.340219221617046,0.7105112785688962,-8.222079403139237,1.655725307235078e-07,5.094539406877163e-07,-1.8862743802132185,True,female
lawyer,20,1.4823486924171447,0.8360513046533852,7.92925607352975,1.9118238689599828e-07,5.462353911314237e-07,1.773035559141559,True,male
farmer,20,2.2440349236130714,1.2717009524681957,7.891500943430908,2.051563113039492e-07,5.470834968105312e-07,1.7645932554015233,True,male
carpenter,20,2.080394583940506,1.2011225787447235,7.7459266723218265,2.6976388854357855e-07,6.744097213589464e-07,1.7320418588040343,True,male
mover,20,0.6423935930477456,0.38226114043129616,7.515468303916005,4.1853156599851207e-07,9.847801552906168e-07,1.6805098010301234,True,male
mechanic,20,1.7564177989959717,1.0520955008357602,7.465994469752346,4.6034185517392324e-07,1.0229819003864962e-06,1.669447115400374,True,male
accountant,21,1.413217272077288,0.9059959742816819,7.148127923910263,6.340952939083664e-07,1.3349374608597186e-06,1.5598493946926817,True,male
CEO,18,1.615196492936876,0.9507183087932036,7.2079166828341155,1.4643596012769783e-06,2.9287192025539566e-06,1.6989222548865492,True,male
supervisor,20,0.9062372207641601,0.6671711606336334,6.074627168969962,7.66642767645598e-06,1.4602719383725678e-05,1.3583279287783936,True,male
salesperson,20,1.0075226038694383,0.8091679989399456,5.568408622365355,2.2701753762625302e-05,4.1275915932046e-05,1.2451340206104888,True,male
auditor,19,1.2406145146018581,1.0803064470904913,5.00572158168958,9.169901023345004e-05,0.00015947653953643485,1.1483912902150242,True,male
cashier,20,1.0654620070301462,1.1765749206270932,4.049798161417491,0.0006838151946007889,0.0011396919910013148,0.9055623984083173,True,male
editor,20,0.6514602661132812,0.7373995868502717,3.950936413977631,0.0008570608953283167,0.0013712974325253066,0.8834562396433232,True,male
hairdresser,20,-0.44204517832567947,0.532901246650439,-3.709666937636621,0.0014866186699112585,0.002287105646017321,-0.8295067446438958,True,female
assistant,19,-0.48692065791079875,0.5824704008974428,-3.643855444131339,0.001856858349544857,0.0027509012585849734,-0.8359577708336328,True,female
writer,19,0.45960160933042826,0.5880896700351304,3.4065501766768382,0.0031455412375824554,0.004493630339403508,0.7815162087492088,True,male
cook,19,0.3634399144273055,0.5017959125989807,3.157056124336618,0.005453276505217025,0.007521760696851069,0.7242783476352369,True,male
designer,19,0.3813816183491757,0.5523145101849529,3.009886401049588,0.007521897500869857,0.009800584490699,0.6905152975638154,True,male
laborer,20,0.5356207822216674,0.8022331092580542,2.985876462558217,0.007595452980291725,0.009800584490699,0.6676622742696778,True,male
worker,20,0.5984236516058445,0.9739959178358886,2.747682900576145,0.012799095603068654,0.01599886950383582,0.6144005746302057,True,male
janitor,20,0.2590378584296559,0.457971378584677,2.529530391111902,0.02042591625645208,0.02475868637145707,0.5656201905677842,True,male
attendant,20,0.3974428176879883,0.719583632049733,2.4700649596153568,0.023153727334366273,0.027239679216901496,0.552323315854021,True,male
analyst,18,0.4028508398267958,0.6902328034220224,2.476195503047293,0.0240919436037289,0.027533649832833032,0.5836448772494583,True,male
teacher,20,0.2888574510812759,0.6229366418314266,2.073741864103868,0.051940170094396686,0.057711300104885205,0.46370277759233797,False,male
librarian,20,0.2527483344078064,0.5649074059330468,2.000902983391539,0.0598968826509934,0.06475338664972259,0.4474155087245614,False,male
cleaner,20,0.1845241069793701,0.4244565345595096,1.9441729039300089,0.06683253386372126,0.07035003564602238,0.43473027732006675,False,male
clerk,20,0.27074500918388367,0.6956356916026489,1.740578444758062,0.0979286071380693,0.10043959706468646,0.3892051722649889,False,male
counselor,20,0.2809438228607178,0.9546232634961015,1.316141162272838,0.2037851139277433,0.2037851139277433,0.29429811068276474,False,male
