Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
developer,20,0.9519230842590332,0.3176797482490334,13.400695118190841,3.929405928705129e-11,1.5717623714820516e-09,2.9964865230024293,True,male
chief,20,0.6828168630599976,0.29207459585065787,10.455034047302137,2.55787536608456e-09,5.11575073216912e-08,2.337816683684233,True,male
nurse,20,-1.566151201725006,0.6889058261870138,-10.166906468140173,4.0285244590360075e-09,5.371365945381344e-08,-2.2733893983643725,True,female
manager,19,0.7933763077384547,0.3414368067467631,10.128513040470954,7.3349372904740514e-09,7.334937290474051e-08,2.3236402521971984,True,male
auditor,19,0.5945184858221757,0.2667229535497611,9.715871713613918,1.3891098863580735e-08,1.1112879090864587e-07,2.228973839370969,True,male
receptionist,19,-1.6450152459897494,0.7523591806633465,-9.530627660489118,1.8618034786100645e-08,1.2412023190733764e-07,-2.186475938978186,True,female
accountant,21,0.7052114350455148,0.37503916873996707,8.616926047756866,3.6310626588504985e-08,2.0748929479145704e-07,1.8803674224610716,True,male
housekeeper,19,-1.8344432303780003,0.9023902790419577,-8.861080227248564,5.5486253935013574e-08,2.7743126967506786e-07,-2.0328712232201536,True,female
sheriff,19,0.5837838775233218,0.3112715448591993,8.17503227975283,1.798189551880583e-07,7.991953563913702e-07,1.8754810298750273,True,male
farmer,20,0.9792437493801117,0.5715556100619263,7.6620911477658495,3.162382743672291e-07,1.2649530974689163e-06,1.7132956656203822,True,male
CEO,18,0.520202530754937,0.2786125429023467,7.921511355994043,4.1732330316649793e-07,1.396584925599809e-06,1.8671181323565438,True,male
carpenter,20,0.7774312496185303,0.46265027952141646,7.514916553289015,4.189754776799427e-07,1.396584925599809e-06,1.6803864258392658,True,male
baker,20,0.43766083717346194,0.2683793889408877,7.29295484926288,6.439345971480065e-07,1.9813372219938663e-06,1.6307542799788532,True,male
driver,20,0.7151752710342407,0.4567333910390389,7.002687139739735,1.1410353763659171e-06,3.260101075331192e-06,1.5658484469621614,True,male
editor,20,0.5163626194000244,0.34496261538033973,6.694185784423473,2.1221827765779246e-06,5.659154070874465e-06,1.4968654467983638,True,male
analyst,18,0.37508312861124676,0.2330476552567396,6.828401430363889,2.9355528585112477e-06,7.3388821462781194e-06,1.6094696520247422,True,male
lawyer,20,0.4356419801712036,0.3040612449278376,6.40742677842166,3.821557654127843e-06,8.991900362653749e-06,1.4327441837403312,True,male
mover,20,0.2113826960325241,0.15141742178441253,6.243219201934092,5.378318596931645e-06,1.1951819104292544e-05,1.396026253395662,True,male
mechanic,20,0.7402899622917175,0.5474111404881651,6.047880857042312,8.112612454907261e-06,1.707918411559423e-05,1.3523472716166294,True,male
tailor,19,0.7971280123058119,0.5894558546442545,5.894589770091357,1.399555304033321e-05,2.743533369118308e-05,1.3523116379714144,True,male
guard,19,0.29911841844257553,0.22171449749305167,5.88065720954382,1.4403550187871119e-05,2.743533369118308e-05,1.3491152893687055,True,male
librarian,20,-0.4675477623939514,0.3644868818260562,-5.73665957031465,1.5771440544151186e-05,2.8675346443911247e-05,-1.2827560762998294,True,female
salesperson,20,0.4726763468235731,0.3838011911582173,5.507728830461431,2.590939961458783e-05,4.505982541667449e-05,1.2315656066547176,True,male
physician,20,0.6395463109016418,0.5329386221315876,5.366730676097212,3.527887936701013e-05,5.879813227835021e-05,1.2000374608686772,True,male
cleaner,20,-0.2900479793548584,0.2953696377489704,-4.39156172934149,0.0003136818470386132,0.0005018909552617811,-0.9819830554194104,True,female
attendant,20,-0.27130181789398194,0.31516271839922294,-3.8497529803747765,0.0010798799358426744,0.0016613537474502683,-0.8608309360700414,True,female
supervisor,20,0.2278266191482544,0.28141297362173834,3.62055665695222,0.0018212244326917882,0.0026981102706545006,0.809581080133455,True,male
writer,19,0.4167208671569824,0.5026559627025632,3.613692629518789,0.001985777053871934,0.0028368243626741914,0.8290379465836931,True,male
worker,20,0.28476017266511916,0.4034845273587531,3.1562206736003633,0.005199705692762771,0.007172007852086581,0.7057523978160587,True,male
clerk,20,0.13413487672805785,0.21904013090499347,2.738627860367612,0.013052680134062735,0.01740357351208365,0.6123758060856782,True,male
counselor,20,-0.2110534906387329,0.3914374245946558,-2.4112663854025644,0.026183755609273315,0.03378549110873977,-0.5391755549620341,True,female
secretary,19,-0.17259524997911954,0.31553509372827354,-2.384283928310033,0.02832504407234655,0.03540630509043319,-0.5469922471690322,True,female
janitor,20,0.13428811714984476,0.2646955864764544,2.2688505125053826,0.03511918535500678,0.042568709521220334,0.5073303976747272,True,male
teacher,20,0.12455171942710877,0.25234037417338734,2.2073844684254142,0.03978397985677676,0.046804682184443246,0.49358617238764646,True,male
designer,19,0.20282084063479774,0.4309834577496503,2.0512980999019987,0.05508180874679896,0.06295063856777024,0.4706000589763061,False,male
assistant,19,-0.0983103074525532,0.3202114407914783,-1.338255417217114,0.19747399786755374,0.21941555318617081,-0.30701684864711903,False,female
cashier,20,0.06719988454133272,0.31201155357414073,0.9631919599980542,0.3475508068411532,0.3757306019904359,0.2153762697936907,False,male
laborer,20,-0.059725576639175416,0.33640268949714014,-0.7939915674289222,0.43700530107047414,0.4600055800741833,-0.17754191183326778,False,female
cook,19,-0.020459664495367753,0.22091863478544624,-0.4036853207999738,0.6911995370170759,0.7057038227649247,-0.09261176412409915,False,female
hairdresser,20,0.00019039023727600578,0.002220984186775473,0.3833665411364781,0.7057038227649247,0.7057038227649247,0.08572336462801343,False,male
