Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
developer,20,0.9519230842590332,0.3176797482490334,13.400695118190841,3.929405928705129e-11,1.5717623714820516e-09,2.9964865230024293,True,male
chief,20,0.6828168630599976,0.29207459585065787,10.455034047302137,2.55787536608456e-09,3.956884426378903e-08,2.337816683684233,True,male
hairdresser,20,-0.438237253506486,0.18917277440816074,-10.360140799108962,2.967663319784177e-09,3.956884426378903e-08,-2.316597908327663,True,female
nurse,20,-1.566151201725006,0.6889058261870138,-10.166906468140173,4.0285244590360075e-09,4.028524459036008e-08,-2.2733893983643725,True,female
manager,19,0.7933763077384547,0.3414368067467631,10.128513040470954,7.3349372904740514e-09,5.867949832379241e-08,2.3236402521971984,True,male
auditor,19,0.5945184858221757,0.2667229535497611,9.715871713613918,1.3891098863580735e-08,9.26073257572049e-08,2.228973839370969,True,male
receptionist,19,-1.6450152459897494,0.7523591806633465,-9.530627660489118,1.8618034786100645e-08,1.0638877020628941e-07,-2.186475938978186,True,female
accountant,21,0.7052114350455148,0.37503916873996707,8.616926047756866,3.6310626588504985e-08,1.8155313294252491e-07,1.8803674224610716,True,male
housekeeper,19,-1.8344432303780003,0.9023902790419577,-8.861080227248564,5.5486253935013574e-08,2.4660557304450474e-07,-2.0328712232201536,True,female
sheriff,19,0.5837838775233218,0.3112715448591993,8.17503227975283,1.798189551880583e-07,7.192758207522332e-07,1.8754810298750273,True,male
farmer,20,0.9792437493801117,0.5715556100619263,7.6620911477658495,3.162382743672291e-07,1.1499573613353785e-06,1.7132956656203822,True,male
CEO,18,0.520202530754937,0.2786125429023467,7.921511355994043,4.1732330316649793e-07,1.2891553159382852e-06,1.8671181323565438,True,male
carpenter,20,0.7774312496185303,0.46265027952141646,7.514916553289015,4.189754776799427e-07,1.2891553159382852e-06,1.6803864258392658,True,male
baker,20,0.43766083717346194,0.2683793889408877,7.29295484926288,6.439345971480065e-07,1.8398131347085902e-06,1.6307542799788532,True,male
driver,20,0.7151752710342407,0.4567333910390389,7.002687139739735,1.1410353763659171e-06,3.042761003642446e-06,1.5658484469621614,True,male
editor,20,0.5163626194000244,0.34496261538033973,6.694185784423473,2.1221827765779246e-06,5.3054569414448116e-06,1.4968654467983638,True,male
analyst,18,0.37508312861124676,0.2330476552567396,6.828401430363889,2.9355528585112477e-06,6.9071831964970535e-06,1.6094696520247422,True,male
lawyer,20,0.4356419801712036,0.3040612449278376,6.40742677842166,3.821557654127843e-06,8.492350342506319e-06,1.4327441837403312,True,male
mechanic,20,0.7402899622917175,0.5474111404881651,6.047880857042312,8.112612454907261e-06,1.707918411559423e-05,1.3523472716166294,True,male
tailor,19,0.7971280123058119,0.5894558546442545,5.894589770091357,1.399555304033321e-05,2.743533369118308e-05,1.3523116379714144,True,male
guard,19,0.29911841844257553,0.22171449749305167,5.88065720954382,1.4403550187871119e-05,2.743533369118308e-05,1.3491152893687055,True,male
librarian,20,-0.4675477623939514,0.3644868818260562,-5.73665957031465,1.5771440544151186e-05,2.8675346443911247e-05,-1.2827560762998294,True,female
physician,20,0.6395463109016418,0.5329386221315876,5.366730676097212,3.527887936701013e-05,6.135457281219153e-05,1.2000374608686772,True,male
salesperson,20,0.4278984397649765,0.36378370556568385,5.260323561181755,4.4595981039136296e-05,7.432663506522716e-05,1.1762441066446179,True,male
mover,20,0.19311365783214568,0.1654906187386513,5.218607188583306,4.890312726053037e-05,7.82450036168486e-05,1.1669160421541336,True,male
cleaner,20,-0.2900479793548584,0.2953696377489704,-4.39156172934149,0.0003136818470386132,0.00048258745698248184,-0.9819830554194104,True,female
attendant,20,-0.27130181789398194,0.31516271839922294,-3.8497529803747765,0.0010798799358426744,0.0015998221271743326,-0.8608309360700414,True,female
janitor,20,0.2023998208809644,0.24223291006744374,3.7367322053606022,0.0013976422165635726,0.001996631737947961,0.835558722489901,True,male
supervisor,20,0.2278266191482544,0.28141297362173834,3.62055665695222,0.0018212244326917882,0.002512033700264535,0.809581080133455,True,male
writer,19,0.4167208671569824,0.5026559627025632,3.613692629518789,0.001985777053871934,0.0025938225957838766,0.8290379465836931,True,male
laborer,20,-0.19067466855049134,0.2383798721180142,-3.5771604093743457,0.0020102125117325044,0.0025938225957838766,-0.7998773841782013,True,female
cashier,20,0.1593195812776685,0.22027330840747683,3.2346126406260236,0.004361930942719436,0.005452413678399296,0.7232813745319886,True,male
worker,20,0.28476017266511916,0.4034845273587531,3.1562206736003633,0.005199705692762771,0.006302673566985177,0.7057523978160587,True,male
clerk,20,0.13413487672805785,0.21904013090499347,2.738627860367612,0.013052680134062735,0.015356094275367924,0.6123758060856782,True,male
counselor,20,-0.2110534906387329,0.3914374245946558,-2.4112663854025644,0.026183755609273315,0.029924292124883792,-0.5391755549620341,True,female
secretary,19,-0.17259524997911954,0.31553509372827354,-2.384283928310033,0.02832504407234655,0.03147227119149617,-0.5469922471690322,True,female
teacher,20,0.12455171942710877,0.25234037417338734,2.2073844684254142,0.03978397985677676,0.04300970795327217,0.49358617238764646,True,male
designer,19,0.20282084063479774,0.4309834577496503,2.0512980999019987,0.05508180874679896,0.05798085131241995,0.4706000589763061,False,male
assistant,19,-0.0983103074525532,0.3202114407914783,-1.338255417217114,0.19747399786755374,0.20253743371031152,-0.30701684864711903,False,female
cook,19,-0.020459664495367753,0.22091863478544624,-0.4036853207999738,0.6911995370170759,0.6911995370170759,-0.09261176412409915,False,female
