Context,mean_delta,std_delta,count,mean_abs_delta
farmer,1.3416770279407502,0.7010077944498334,20,1.3416770279407502
laborer,1.1696315860608593,0.5861340703387015,20,1.1696315860608593
developer,1.1395205497741698,0.39527741600239763,20,1.1395205497741698
sheriff,1.1152601367548893,0.5145760383677369,19,1.1152601367548893
mechanic,1.0953771889209747,0.5825510685760653,20,1.0953771889209747
tailor,1.0345852625997443,0.5988483078158959,19,1.0345852625997443
chief,0.9378886938095092,0.3250677804513106,20,0.9378886938095092
carpenter,0.905051239313616,1.3293947616748905,20,0.905051239313616
guard,0.8191067294070595,0.4254857765857688,19,0.8191067294070595
accountant,0.8120147387186686,0.45911737710604705,21,0.8120147387186686
CEO,0.7513538731469048,0.5340280001193582,18,0.7513538731469048
physician,0.744962602853775,0.5229642061259628,20,0.744962602853775
analyst,0.7376302348242866,0.43571005998920964,18,0.7376302348242866
auditor,0.7002022893805253,0.3112691548512432,19,0.7002022893805253
driver,0.5327857315540314,0.40302325222198215,20,0.5327857315540314
writer,0.3264292792270058,0.3877669278484714,19,0.3264292792270058
baker,0.3211687445640564,0.5158506223094268,20,0.3211687445640564
lawyer,0.31681389808654786,0.44210359077826983,20,0.31681389808654786
editor,0.2857330560684204,0.2890557263406964,20,0.2857330560684204
mover,0.218084454536438,0.32330832651531377,20,0.218084454536438
manager,0.216242652190359,0.32136450094581026,19,0.216242652190359
supervisor,0.1669071078300476,0.3819125179950232,20,0.1669071078300476
cashier,0.05550508801825345,0.42062047231650684,20,0.05550508801825345
worker,0.054457756131887435,0.49064795436990843,20,0.054457756131887435
janitor,0.037791504840788546,0.07146852809044932,20,0.037791504840788546
cook,0.008462196902224892,0.33354300556182437,19,0.008462196902224892
hairdresser,0.002854275568471465,0.00693287886088305,20,0.002854275568471465
designer,-0.01896829981552927,0.3020295815696281,19,0.01896829981552927
librarian,-0.09183804103340662,0.11486189412168443,20,0.09183804103340662
salesperson,-0.09185147029347718,0.25055597989498707,20,0.09185147029347718
teacher,-0.22448378205299377,0.2889883897321065,20,0.22448378205299377
attendant,-0.2332090139389038,0.5451181952680136,20,0.2332090139389038
cleaner,-0.28865394592285154,0.5038231395178681,20,0.28865394592285154
secretary,-0.36984227832994965,0.5321258833132309,19,0.36984227832994965
counselor,-0.3975291013717651,0.5005096119115992,20,0.3975291013717651
assistant,-0.4077035251416658,0.37233999840039506,19,0.4077035251416658
clerk,-0.4781707406044006,0.4116512272958714,20,0.4781707406044006
receptionist,-0.5816044313342947,0.348437983929922,19,0.5816044313342947
housekeeper,-0.6119041803636049,0.4338351906689669,19,0.6119041803636049
nurse,-1.4910233736038208,0.5950996460922665,20,1.4910233736038208
