Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
chief,20,0.9378886938095092,0.3250677804513106,12.903049768727666,7.535799468244924e-11,1.5285635740384032e-09,2.8852096399937994,True,male
developer,20,1.1395205497741698,0.3952774160023977,12.892441145878774,7.642817870192016e-11,1.5285635740384032e-09,2.8828374798100223,True,male
nurse,20,-1.4910233736038208,0.5950996460922665,-11.204945730726543,8.172136450468376e-10,1.0896181933957834e-08,-2.50550203381006,True,female
auditor,19,0.7002022893805253,0.31126915485124323,9.805375739540105,1.2074895825950211e-08,1.2074895825950212e-07,2.2495074711631955,True,male
sheriff,19,1.1152601367548893,0.5145760383677369,9.44720676713638,2.1270221108613816e-08,1.7016176886891053e-07,2.1673378735095303,True,male
laborer,20,1.1696315860608593,0.5861340703387015,8.924155299662633,3.1851545882986336e-08,2.123436392199089e-07,1.9955017891810656,True,male
farmer,20,1.3416770279407502,0.7010077944498335,8.559337177356015,6.055249227940266e-08,3.460142415965866e-07,1.9139259770909225,True,male
mechanic,20,1.0953771889209747,0.5825510685760653,8.409006480468285,7.929254273577211e-08,3.964627136788606e-07,1.8803110113563344,True,male
accountant,21,0.8120147387186686,0.45911737710604705,8.104940460004812,9.525254008506328e-08,4.2334462260028125e-07,1.7686430076705835,True,male
guard,19,0.8191067294070595,0.42548577658576886,8.391357958213137,1.2331869665383201e-07,4.932747866153281e-07,1.9251095441540456,True,male
tailor,19,1.0345852625997443,0.5988483078158959,7.530542458400299,5.735414896800915e-07,2.0856054170185145e-06,1.7276249245373287,True,male
receptionist,19,-0.5816044313342947,0.3484379839299219,-7.275770892450989,9.211200987728657e-07,3.070400329242886e-06,-1.6691763187657158,True,female
analyst,18,0.7376302348242866,0.4357100599892097,7.182528781622285,1.5331623692327182e-06,4.7174226745622095e-06,1.692938269184223,True,male
physician,20,0.744962602853775,0.5229642061259628,6.370558448028823,4.12503414931709e-06,1.1785811855191685e-05,1.424500174442801,True,male
housekeeper,19,-0.6119041803636049,0.43383519066896686,-6.148022435022424,8.334560773109172e-06,2.2225495394957794e-05,-1.4104530787833476,True,female
driver,20,0.5327857315540314,0.40302325222198204,5.912041583846807,1.0827734371908968e-05,2.706933592977242e-05,1.3219726867286983,True,male
CEO,18,0.7513538731469048,0.5340280001193581,5.969208565703009,1.5237583615512456e-05,3.5853137918852835e-05,1.4069559517084744,True,male
clerk,20,-0.4781707406044006,0.4116512272958715,-5.194797002630397,5.154951103982666e-05,0.00011455446897739258,-1.161591922719372,True,female
assistant,19,-0.4077035251416658,0.37233999840039506,-4.772891638428739,0.00015214323361885157,0.00032030154446074016,-1.094976437914797,True,female
editor,20,0.2857330560684204,0.28905572634069643,4.4207291436578116,0.0002935522671255868,0.0005871045342511737,0.9885050875333301,True,male
writer,19,0.3264292792270058,0.3877669278484714,3.6694007100042283,0.0017542087459871253,0.003341349992356429,0.8418182567507804,True,male
librarian,20,-0.09183804103340662,0.11486189412168445,-3.5757046188626913,0.002016878112626738,0.003667051113866796,-0.7995518595236955,True,female
counselor,20,-0.3975291013717651,0.5005096119115993,-3.5519881039114627,0.0021285993161314814,0.0037019118541417066,-0.7942486855616616,True,female
teacher,20,-0.22448378205299377,0.28898838973210655,-3.473918083574648,0.002541344005830849,0.004235573343051415,-0.7767916983138706,True,female
lawyer,20,0.31681389808654786,0.44210359077826994,3.2047575596078213,0.004664172300980025,0.007462675681568041,0.7166055754689422,True,male
carpenter,20,0.905051239313616,1.3293947616748902,3.0446277547776206,0.006668054005066897,0.01025854462317984,0.6807994625865319,True,male
mover,20,0.218084454536438,0.32330832651531377,3.016635361269236,0.007095349171645101,0.010295094914533563,0.6745401731127646,True,male
secretary,19,-0.36984227832994965,0.5321258833132309,-3.0295559130698084,0.007206566440173494,0.010295094914533563,-0.6950277930988098,True,female
manager,19,0.216242652190359,0.32136450094581026,2.9330553480763286,0.00888692994829603,0.012257834411442799,0.672889045161907,True,male
baker,20,0.3211687445640564,0.5158506223094268,2.784353120980513,0.011819462813282946,0.015759283751043927,0.6226002851876123,True,male
cleaner,20,-0.28865394592285154,0.503823139517868,-2.562208022738716,0.0190586811779207,0.024591846681188,-0.5729271311339096,True,female
janitor,20,0.037791504840788546,0.07146852809044932,2.3647996133086244,0.028835864112334034,0.03604483014041754,0.5287852688523301,True,male
supervisor,20,0.1669071078300476,0.3819125179950232,1.9544561722940819,0.06552460418024474,0.0794237626427209,0.4370296860293609,False,male
attendant,20,-0.2332090139389038,0.5451181952680137,-1.913240881187969,0.07090770785285458,0.08342083276806422,-0.42781366676678967,False,female
hairdresser,20,0.002854275568471465,0.006932878860883049,1.8411843984841023,0.08126389391712144,0.09287302161956736,0.4117013474122513,False,male
salesperson,20,-0.09185147029347718,0.25055597989498707,-1.6394430617509022,0.11757355312901074,0.1306372812544564,-0.36659061313154023,False,female
cashier,20,0.05550508801825345,0.4206204723165068,0.5901431721684324,0.5620484544049414,0.6076199507080449,0.13196002494259768,False,male
worker,20,0.054457756131887435,0.4906479543699084,0.496369111614397,0.6253276752876493,0.6582396581975256,0.11099150755009721,False,male
designer,19,-0.01896829981552927,0.3020295815696281,-0.2737510067622715,0.7873925404520904,0.8075820927713747,-0.06280278811417163,False,female
cook,19,0.008462196902224892,0.33354300556182437,0.11058802170056062,0.913166766561236,0.913166766561236,0.025370632155727723,False,male
