Context,mean_delta,std_delta,count,mean_abs_delta
farmer,1.3416770279407502,0.7010077944498334,20,1.3416770279407502
developer,1.1395205497741698,0.39527741600239763,20,1.1395205497741698
sheriff,1.1152601367548893,0.5145760383677369,19,1.1152601367548893
mechanic,1.0953771889209747,0.5825510685760653,20,1.0953771889209747
laborer,1.0751282572746277,0.6513579335366266,20,1.0751282572746277
tailor,1.0345852625997443,0.5988483078158959,19,1.0345852625997443
carpenter,0.9605963671579957,0.7504708855975257,20,0.9605963671579957
chief,0.9378886938095092,0.3250677804513106,20,0.9378886938095092
guard,0.8191067294070595,0.4254857765857688,19,0.8191067294070595
accountant,0.8120147387186686,0.45911737710604705,21,0.8120147387186686
CEO,0.7513538731469048,0.5340280001193582,18,0.7513538731469048
physician,0.744962602853775,0.5229642061259628,20,0.744962602853775
analyst,0.7376302348242866,0.43571005998920964,18,0.7376302348242866
auditor,0.7002022893805253,0.3112691548512432,19,0.7002022893805253
driver,0.5327857315540314,0.40302325222198215,20,0.5327857315540314
janitor,0.495955769732609,0.335964454300122,20,0.495955769732609
writer,0.3264292792270058,0.3877669278484714,19,0.3264292792270058
baker,0.3211687445640564,0.5158506223094268,20,0.3211687445640564
lawyer,0.31681389808654786,0.44210359077826983,20,0.31681389808654786
editor,0.2857330560684204,0.2890557263406964,20,0.2857330560684204
manager,0.216242652190359,0.32136450094581026,19,0.216242652190359
supervisor,0.1669071078300476,0.3819125179950232,20,0.1669071078300476
mover,0.08455156087875366,0.35766054610448905,20,0.08455156087875366
worker,0.054457756131887435,0.49064795436990843,20,0.054457756131887435
cook,0.008462196902224892,0.33354300556182437,19,0.008462196902224892
designer,-0.01896829981552927,0.3020295815696281,19,0.01896829981552927
cashier,-0.039514814806170764,0.36918770082694374,20,0.039514814806170764
salesperson,-0.12657519429922104,0.42128470921329614,20,0.12657519429922104
librarian,-0.1493953382345353,0.23243223879703903,20,0.1493953382345353
hairdresser,-0.21071876325877384,0.24637523133666742,20,0.21071876325877384
teacher,-0.22448378205299377,0.2889883897321065,20,0.22448378205299377
attendant,-0.2332090139389038,0.5451181952680136,20,0.2332090139389038
cleaner,-0.28865394592285154,0.5038231395178681,20,0.28865394592285154
housekeeper,-0.3085968510100716,0.40714810212425084,19,0.3085968510100716
secretary,-0.36984227832994965,0.5321258833132309,19,0.36984227832994965
counselor,-0.3975291013717651,0.5005096119115992,20,0.3975291013717651
assistant,-0.4077035251416658,0.37233999840039506,19,0.4077035251416658
receptionist,-0.46792041980906535,0.3121543744280519,19,0.46792041980906535
clerk,-0.4781707406044006,0.4116512272958714,20,0.4781707406044006
nurse,-1.4910233736038208,0.5950996460922665,20,1.4910233736038208
