Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
chief,20,0.9378886938095092,0.3250677804513106,12.903049768727666,7.535799468244924e-11,1.5285635740384032e-09,2.8852096399937994,True,male
developer,20,1.1395205497741698,0.3952774160023977,12.892441145878774,7.642817870192016e-11,1.5285635740384032e-09,2.8828374798100223,True,male
nurse,20,-1.4910233736038208,0.5950996460922665,-11.204945730726543,8.172136450468376e-10,1.0896181933957834e-08,-2.50550203381006,True,female
auditor,19,0.7002022893805253,0.31126915485124323,9.805375739540105,1.2074895825950211e-08,1.2074895825950212e-07,2.2495074711631955,True,male
sheriff,19,1.1152601367548893,0.5145760383677369,9.44720676713638,2.1270221108613816e-08,1.7016176886891053e-07,2.1673378735095303,True,male
farmer,20,1.3416770279407502,0.7010077944498335,8.559337177356015,6.055249227940266e-08,4.0368328186268433e-07,1.9139259770909225,True,male
mechanic,20,1.0953771889209747,0.5825510685760653,8.409006480468285,7.929254273577211e-08,4.5310024420441206e-07,1.8803110113563344,True,male
accountant,21,0.8120147387186686,0.45911737710604705,8.104940460004812,9.525254008506328e-08,4.762627004253164e-07,1.7686430076705835,True,male
guard,19,0.8191067294070595,0.42548577658576886,8.391357958213137,1.2331869665383201e-07,5.480830962392534e-07,1.9251095441540456,True,male
laborer,20,1.0751282572746277,0.6513579335366264,7.38168599480724,5.418499927023091e-07,2.0856054170185145e-06,1.650595167294715,True,male
tailor,19,1.0345852625997443,0.5988483078158959,7.530542458400299,5.735414896800915e-07,2.0856054170185145e-06,1.7276249245373287,True,male
analyst,18,0.7376302348242866,0.4357100599892097,7.182528781622285,1.5331623692327182e-06,5.110541230775727e-06,1.692938269184223,True,male
janitor,20,0.495955769732609,0.335964454300122,6.6018342164535575,2.5617371181938076e-06,7.882268055980946e-06,1.4762150084174215,True,male
receptionist,19,-0.46792041980906535,0.3121543744280519,-6.534003655415544,3.846799054740899e-06,1.0990854442116856e-05,-1.4990032437200902,True,female
physician,20,0.744962602853775,0.5229642061259628,6.370558448028823,4.12503414931709e-06,1.1000091064845573e-05,1.424500174442801,True,male
driver,20,0.5327857315540314,0.40302325222198204,5.912041583846807,1.0827734371908968e-05,2.706933592977242e-05,1.3219726867286983,True,male
CEO,18,0.7513538731469048,0.5340280001193581,5.969208565703009,1.5237583615512456e-05,3.5853137918852835e-05,1.4069559517084744,True,male
carpenter,20,0.9605963671579957,0.7504708855975257,5.724296084302905,1.6197436191238986e-05,3.599430264719775e-05,1.2799915167837161,True,male
clerk,20,-0.4781707406044006,0.4116512272958715,-5.194797002630397,5.154951103982666e-05,0.00010852528639963508,-1.161591922719372,True,female
assistant,19,-0.4077035251416658,0.37233999840039506,-4.772891638428739,0.00015214323361885157,0.00030428646723770314,-1.094976437914797,True,female
editor,20,0.2857330560684204,0.28905572634069643,4.4207291436578116,0.0002935522671255868,0.0005591471754773082,0.9885050875333301,True,male
hairdresser,20,-0.21071876325877384,0.24637523133666744,-3.8249094783188022,0.0011429031051212143,0.002078005645674935,-0.85527576013041,True,female
writer,19,0.3264292792270058,0.3877669278484714,3.6694007100042283,0.0017542087459871253,0.003050797819108044,0.8418182567507804,True,male
counselor,20,-0.3975291013717651,0.5005096119115993,-3.5519881039114627,0.0021285993161314814,0.003547665526885802,-0.7942486855616616,True,female
teacher,20,-0.22448378205299377,0.28898838973210655,-3.473918083574648,0.002541344005830849,0.004066150409329358,-0.7767916983138706,True,female
housekeeper,19,-0.3085968510100716,0.40714810212425084,-3.3038161809662023,0.003947908243751425,0.006073704990386808,-0.757947413729798,True,female
lawyer,20,0.31681389808654786,0.44210359077826994,3.2047575596078213,0.004664172300980025,0.006909884890340778,0.7166055754689422,True,male
secretary,19,-0.36984227832994965,0.5321258833132309,-3.0295559130698084,0.007206566440173494,0.010295094914533563,-0.6950277930988098,True,female
manager,19,0.216242652190359,0.32136450094581026,2.9330553480763286,0.00888692994829603,0.012257834411442799,0.672889045161907,True,male
librarian,20,-0.1493953382345353,0.232432238797039,-2.874456087012057,0.009708032508065687,0.012944043344087582,-0.6427479208897009,True,female
baker,20,0.3211687445640564,0.5158506223094268,2.784353120980513,0.011819462813282946,0.015250919759074768,0.6226002851876123,True,male
cleaner,20,-0.28865394592285154,0.503823139517868,-2.562208022738716,0.0190586811779207,0.023823351472400875,-0.5729271311339096,True,female
supervisor,20,0.1669071078300476,0.3819125179950232,1.9544561722940819,0.06552460418024474,0.0794237626427209,0.4370296860293609,False,male
attendant,20,-0.2332090139389038,0.5451181952680137,-1.913240881187969,0.07090770785285458,0.08342083276806422,-0.42781366676678967,False,female
salesperson,20,-0.12657519429922104,0.4212847092132961,-1.343655407037353,0.194887879355879,0.22272900497814743,-0.30045048284706705,False,female
mover,20,0.08455156087875366,0.3576605461044891,1.057220539351137,0.3036683720762186,0.3374093023069096,0.23640169931981334,False,male
worker,20,0.054457756131887435,0.4906479543699084,0.496369111614397,0.6253276752876493,0.6712022668063231,0.11099150755009721,False,male
cashier,20,-0.039514814806170764,0.36918770082694374,-0.4786606478330686,0.637642153466007,0.6712022668063231,-0.10703177467088289,False,female
designer,19,-0.01896829981552927,0.3020295815696281,-0.2737510067622715,0.7873925404520904,0.8075820927713747,-0.06280278811417163,False,female
cook,19,0.008462196902224892,0.33354300556182437,0.11058802170056062,0.913166766561236,0.913166766561236,0.025370632155727723,False,male
