Context,mean_delta,std_delta,count,mean_abs_delta
carpenter,1.685986328125,1.0000799285166118,20,1.685986328125
hairdresser,1.67041015625,1.4188077020265457,20,1.67041015625
laborer,1.54453125,0.6572287696329366,20,1.54453125
tailor,1.327405427631579,0.6504069857275226,19,1.327405427631579
mechanic,1.320703125,0.7097638655276833,20,1.320703125
farmer,1.174072265625,0.5993024045840144,20,1.174072265625
guard,1.1500822368421053,0.5802287230119573,19,1.1500822368421053
CEO,1.1324869791666667,0.5958371165302057,18,1.1324869791666667
developer,1.0541015625,0.6538203414905768,20,1.0541015625
chief,0.96796875,0.4095926382921612,20,0.96796875
driver,0.966796875,0.5278110746081685,20,0.966796875
sheriff,0.7899876644736842,0.5166754479517476,19,0.7899876644736842
analyst,0.7651909722222222,0.291030317831598,18,0.7651909722222222
mover,0.583984375,0.4483168148052098,20,0.583984375
accountant,0.5602678571428571,0.4394028989154883,21,0.5602678571428571
physician,0.55927734375,0.3916215059644662,20,0.55927734375
janitor,0.5325233459472656,1.6451795947824128,20,0.5325233459472656
supervisor,0.4923828125,0.5743124126418069,20,0.4923828125
lawyer,0.44423828125,0.293360124411011,20,0.44423828125
editor,0.36650390625,0.5588802385017219,20,0.36650390625
cook,0.33819901315789475,0.6342008916674672,19,0.33819901315789475
auditor,0.32648026315789475,0.3909163752467246,19,0.32648026315789475
designer,0.24306126644736842,0.4486911075448775,19,0.24306126644736842
manager,0.15881990131578946,0.4063877244635097,19,0.15881990131578946
baker,0.09072265625,0.4897045354269837,20,0.09072265625
attendant,0.0291015625,0.31708568771666307,20,0.0291015625
writer,0.02734375,0.7739165906230053,19,0.02734375
cleaner,0.00947265625,0.6012618048006074,20,0.00947265625
salesperson,-0.02109375,0.40543749404172713,20,0.02109375
worker,-0.034375,0.41742713453694424,20,0.034375
assistant,-0.13157894736842105,0.36401800624755026,19,0.13157894736842105
teacher,-0.31650390625,0.19995256664563577,20,0.31650390625
clerk,-0.41220703125,0.5039849246741438,20,0.41220703125
cashier,-0.467578125,0.4863099186113332,20,0.467578125
counselor,-0.516796875,0.5094484339725228,20,0.516796875
secretary,-0.7506167763157895,0.3976394154156108,19,0.7506167763157895
housekeeper,-1.041529605263158,0.7105930686166179,19,1.041529605263158
librarian,-1.3857421875,0.7623115240784551,20,1.3857421875
receptionist,-1.607421875,0.7424715625070952,19,1.607421875
nurse,-1.71826171875,1.02268780982517,20,1.71826171875
