Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
chief,20,0.96796875,0.40959263829216125,10.568763804546741,2.143320161764739e-09,4.065723355743481e-08,2.3632474305105813,True,male
laborer,20,1.54453125,0.6572287696329366,10.509816453414253,2.3486289594001157e-09,4.065723355743481e-08,2.3500664020880024,True,male
analyst,18,0.7651909722222222,0.291030317831598,11.15495586973478,3.0492925168076106e-09,4.065723355743481e-08,2.629248313108715,True,male
receptionist,19,-1.607421875,0.7424715625070952,-9.436845620191294,2.162619353470672e-08,2.162619353470672e-07,-2.1649608633793824,True,female
farmer,20,1.174072265625,0.5993024045840144,8.761204281357612,4.2349925785237736e-08,3.387994062819019e-07,1.9590648337877816,True,male
tailor,19,1.327405427631579,0.6504069857275228,8.896008565592814,5.2344189121385816e-08,3.489612608092388e-07,2.040884333594279,True,male
guard,19,1.1500822368421053,0.5802287230119573,8.63985536795399,8.05468474021252e-08,4.602676994407154e-07,1.982118759774677,True,male
mechanic,20,1.320703125,0.7097638655276833,8.321590064044244,9.287652190475237e-08,4.6438260952376184e-07,1.8607641064089757,True,male
driver,20,0.966796875,0.5278110746081685,8.191656586740782,1.1769980129314343e-07,5.231102279695264e-07,1.8317100976286294,True,male
librarian,20,-1.3857421875,0.7623115240784551,-8.129520891829934,1.319189625958661e-07,5.276758503834644e-07,-1.8178161338636447,True,female
secretary,19,-0.7506167763157895,0.3976394154156108,-8.228215177982458,1.6380317544648973e-07,5.956479107145081e-07,-1.8876820235017406,True,female
CEO,18,1.1324869791666667,0.5958371165302057,8.063840271356673,3.2750016666253737e-07,1.091667222208458e-06,1.9006653794271575,True,male
carpenter,20,1.685986328125,1.0000799285166118,7.539357467986909,3.997715805222757e-07,1.1995798105384586e-06,1.6858515805089425,True,male
nurse,20,-1.71826171875,1.02268780982517,-7.5138277181918225,4.198529336884605e-07,1.1995798105384586e-06,-1.680142954909905,True,female
developer,20,1.0541015625,0.6538203414905769,7.2100624571122,7.573371916811256e-07,2.0195658444830018e-06,1.6122189776122042,True,male
teacher,20,-0.31650390625,0.19995256664563582,-7.078921380123904,9.807681481750684e-07,2.451920370437671e-06,-1.5828949413333677,True,female
lawyer,20,0.44423828125,0.293360124411011,6.772201894017098,1.8117902220710073e-06,4.263035816637663e-06,1.5143103792375059,True,male
sheriff,19,0.7899876644736842,0.5166754479517476,6.6646797515451,2.9743037973277354e-06,6.609563994061634e-06,1.5289823962129923,True,male
physician,20,0.55927734375,0.3916215059644662,6.386687859854095,3.989321750325362e-06,8.398572105948131e-06,1.4281068205706406,True,male
housekeeper,19,-1.041529605263158,0.710593068616618,-6.38892003954701,5.13217348186668e-06,1.026434696373336e-05,-1.4657187795130158,True,female
accountant,21,0.5602678571428571,0.4394028989154883,5.843088134249331,1.0236879250319945e-05,1.949881761965704e-05,1.2750663651188499,True,male
mover,20,0.583984375,0.44831681480520985,5.8254730457304005,1.3030359528420702e-05,2.3691562778946733e-05,1.3026153731345915,True,male
hairdresser,20,1.67041015625,1.4188077020265457,5.265196480602643,4.411878246358143e-05,7.67283173279677e-05,1.1773337245520161,True,male
counselor,20,-0.516796875,0.5094484339725228,-4.536643420604916,0.00022562996774312533,0.0003760499462385422,-1.0144243078149762,True,female
cashier,20,-0.467578125,0.48630991861133316,-4.299877227581302,0.00038648588981822886,0.0006183774237091662,-0.9614817775775124,True,female
supervisor,20,0.4923828125,0.5743124126418069,3.8341551234735967,0.001119031465836396,0.0017215868705175324,0.8573431492366062,True,male
clerk,20,-0.41220703125,0.5039849246741438,-3.6577401328991286,0.0016733712975650391,0.002479068588985243,-0.8178955581191568,True,female
auditor,19,0.32648026315789475,0.3909163752467246,3.6404063996235783,0.0018711680083193516,0.002673097154741931,0.8351665057567328,True,male
editor,20,0.36650390625,0.558880238501722,2.932748706918844,0.008540592758405404,0.011780127942628145,0.6557825469595142,True,male
designer,19,0.24306126644736842,0.44869110754487757,2.361266982379686,0.029690137014439972,0.03958684935258663,0.5417117976269625,True,male
cook,19,0.33819901315789475,0.6342008916674673,2.324461129791986,0.03200102725132523,0.04129164806622611,0.5332679559448236,True,male
manager,19,0.15881990131578946,0.4063877244635097,1.7034960910114543,0.10567824539497524,0.13209780674371904,0.3908088058650261,False,male
assistant,19,-0.13157894736842105,0.36401800624755026,-1.5755795725290833,0.13253500402599108,0.16064848972847404,-0.36146274390322564,False,female
janitor,20,0.5325233459472656,1.645179594782413,1.4475725384877622,0.1640364750265904,0.19298408826657695,0.32368705984205676,False,male
baker,20,0.09072265625,0.48970453542698383,0.828507852382729,0.4176695341729123,0.4773366104833283,0.18525998778201427,False,male
attendant,20,0.0291015625,0.31708568771666307,0.41044471272134997,0.6860712949093813,0.7623014387882016,0.09177822786503112,False,male
worker,20,-0.034375,0.4174271345369443,-0.3682790617424626,0.7167363769083668,0.7748501371982344,-0.08234970167459885,False,female
salesperson,20,-0.02109375,0.40543749404172713,-0.2326724074292538,0.8185038015054209,0.8615829489530746,-0.052027131950033854,False,female
writer,19,0.02734375,0.7739165906230053,0.15400709124415213,0.8793176990023415,0.9018643066690682,0.03533164985904772,False,male
cleaner,20,0.00947265625,0.6012618048006074,0.07045683971065658,0.9445663620801157,0.9445663620801156,0.015754628307283473,False,male
