Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
laborer,20,1.5734375,0.6470980339506242,10.87412733080807,1.3422483630552362e-09,4.065723355743481e-08,2.4315287907675187,True,male
chief,20,0.96796875,0.40959263829216125,10.568763804546741,2.143320161764739e-09,4.065723355743481e-08,2.3632474305105813,True,male
analyst,18,0.7651909722222222,0.291030317831598,11.15495586973478,3.0492925168076106e-09,4.065723355743481e-08,2.629248313108715,True,male
receptionist,19,-1.5029810855263157,0.6974702592571651,-9.39300648150894,2.3202681094964328e-08,2.3202681094964328e-07,-2.1549034752063165,True,female
farmer,20,1.174072265625,0.5993024045840144,8.761204281357612,4.2349925785237736e-08,3.387994062819019e-07,1.9590648337877816,True,male
tailor,19,1.327405427631579,0.6504069857275228,8.896008565592814,5.2344189121385816e-08,3.489612608092388e-07,2.040884333594279,True,male
guard,19,1.1500822368421053,0.5802287230119573,8.63985536795399,8.05468474021252e-08,4.602676994407154e-07,1.982118759774677,True,male
mechanic,20,1.320703125,0.7097638655276833,8.321590064044244,9.287652190475237e-08,4.6438260952376184e-07,1.8607641064089757,True,male
driver,20,0.966796875,0.5278110746081685,8.191656586740782,1.1769980129314343e-07,5.231102279695264e-07,1.8317100976286294,True,male
secretary,19,-0.7506167763157895,0.3976394154156108,-8.228215177982458,1.6380317544648973e-07,6.552127017859589e-07,-1.8876820235017406,True,female
CEO,18,1.1324869791666667,0.5958371165302057,8.063840271356673,3.2750016666253737e-07,1.1909096969546812e-06,1.9006653794271575,True,male
nurse,20,-1.71826171875,1.02268780982517,-7.5138277181918225,4.198529336884605e-07,1.399509778961535e-06,-1.680142954909905,True,female
carpenter,20,1.644677734375,1.0028379363247797,7.334407847833568,5.939686828202924e-07,1.8275959471393612e-06,1.6400234522463795,True,male
developer,20,1.0541015625,0.6538203414905769,7.2100624571122,7.573371916811256e-07,2.1638205476603588e-06,1.6122189776122042,True,male
teacher,20,-0.31650390625,0.19995256664563582,-7.078921380123904,9.807681481750684e-07,2.615381728466849e-06,-1.5828949413333677,True,female
lawyer,20,0.44423828125,0.293360124411011,6.772201894017098,1.8117902220710073e-06,4.366631689605815e-06,1.5143103792375059,True,male
librarian,20,-1.288671875,0.8524903212944485,-6.760329920970041,1.8558184680824715e-06,4.366631689605815e-06,-1.511655725361479,True,female
sheriff,19,0.7899876644736842,0.5166754479517476,6.6646797515451,2.9743037973277354e-06,6.609563994061634e-06,1.5289823962129923,True,male
physician,20,0.55927734375,0.3916215059644662,6.386687859854095,3.989321750325362e-06,8.398572105948131e-06,1.4281068205706406,True,male
housekeeper,19,-1.0377261513157894,0.7164949588838112,-6.313154570831309,5.972704203293843e-06,1.1945408406587686e-05,-1.4483369889055562,True,female
accountant,21,0.5602678571428571,0.4394028989154883,5.843088134249331,1.0236879250319945e-05,1.9481631733148576e-05,1.2750663651188499,True,male
mover,20,0.5794921875,0.4379903469071676,5.916951973166187,1.0714897453231716e-05,1.9481631733148576e-05,1.3230706831601105,True,male
cashier,20,-0.49453125,0.47650629589303334,-4.641304853802709,0.00017802751682885823,0.0003096130727458404,-1.0378273157402582,True,female
counselor,20,-0.516796875,0.5094484339725228,-4.536643420604916,0.00022562996774312533,0.0003760499462385422,-1.0144243078149762,True,female
supervisor,20,0.4923828125,0.5743124126418069,3.8341551234735967,0.001119031465836396,0.0017904503453382336,0.8573431492366062,True,male
clerk,20,-0.41220703125,0.5039849246741438,-3.6577401328991286,0.0016733712975650391,0.002574417380869291,-0.8178955581191568,True,female
auditor,19,0.32648026315789475,0.3909163752467246,3.6404063996235783,0.0018711680083193516,0.002772100753065706,0.8351665057567328,True,male
editor,20,0.36650390625,0.558880238501722,2.932748706918844,0.008540592758405404,0.012200846797722006,0.6557825469595142,True,male
designer,19,0.24306126644736842,0.44869110754487757,2.361266982379686,0.029690137014439972,0.04095191312336548,0.5417117976269625,True,male
cook,19,0.33819901315789475,0.6342008916674673,2.324461129791986,0.03200102725132523,0.04266803633510031,0.5332679559448236,True,male
hairdresser,20,-0.47622032165527345,1.1148579144670043,-1.9103080270046784,0.07130529941586033,0.09200683795594881,-0.42715786063459643,False,female
manager,19,0.15881990131578946,0.4063877244635097,1.7034960910114543,0.10567824539497524,0.13209780674371904,0.3908088058650261,False,male
assistant,19,-0.13157894736842105,0.36401800624755026,-1.5755795725290833,0.13253500402599108,0.16064848972847404,-0.36146274390322564,False,female
janitor,20,0.5309608459472657,1.6580735009074712,1.4321012238348718,0.1683616710087613,0.19807255412795446,0.3202275687155415,False,male
baker,20,0.09072265625,0.48970453542698383,0.828507852382729,0.4176695341729123,0.4773366104833283,0.18525998778201427,False,male
salesperson,20,0.0705078125,0.40602947226445013,0.7765951610139475,0.44695857121175175,0.49662063467972417,0.17365195710245812,False,male
attendant,20,0.0291015625,0.31708568771666307,0.41044471272134997,0.6860712949093813,0.7416986971993312,0.09177822786503112,False,male
worker,20,-0.034375,0.4174271345369443,-0.3682790617424626,0.7167363769083668,0.7544593441140703,-0.08234970167459885,False,female
writer,19,0.02734375,0.7739165906230053,0.15400709124415213,0.8793176990023415,0.9018643066690682,0.03533164985904772,False,male
cleaner,20,0.00947265625,0.6012618048006074,0.07045683971065658,0.9445663620801157,0.9445663620801156,0.015754628307283473,False,male
