Context,mean_delta,std_delta,count,mean_abs_delta
farmer,2.107379013299942,0.6588239274078153,20,2.107379013299942
sheriff,1.5687004265032316,0.6326745640357233,19,1.5687004265032316
mechanic,1.5637405276298524,0.40290142314931376,20,1.5637405276298524
developer,1.5265985369682311,0.6474146333065128,20,1.5265985369682311
chief,1.415334939956665,0.7395785379354328,20,1.415334939956665
CEO,1.3914988040924072,0.8011550508555721,18,1.3914988040924072
driver,1.3415524631738662,0.9893323624104234,20,1.3415524631738662
guard,1.2441296201003225,0.45164942833975624,19,1.2441296201003225
mover,1.175010456237942,0.6341782478258211,20,1.175010456237942
laborer,1.1578395700315014,0.470254032151907,20,1.1578395700315014
tailor,1.1080200138844942,0.5480401294356763,19,1.1080200138844942
physician,1.058466863632202,0.5246518167780482,20,1.058466863632202
carpenter,0.9527052431625634,0.5213816829347399,20,0.9527052431625634
lawyer,0.7586323142051696,0.38758055545241404,20,0.7586323142051696
analyst,0.41582775115966797,0.2701840677999002,18,0.41582775115966797
accountant,0.4056890578497024,0.4836361425245192,21,0.4056890578497024
baker,0.3171607494354248,0.7148434704679207,20,0.3171607494354248
writer,0.31570708124261154,0.5938244124521314,19,0.31570708124261154
auditor,0.2941350685922723,0.6413582296256998,19,0.2941350685922723
editor,0.28611007928848264,0.8201312519449877,20,0.28611007928848264
cook,0.22319431053964714,0.5466080330466969,19,0.22319431053964714
janitor,0.2228016834735172,0.5314292977431606,20,0.2228016834735172
manager,0.20198868764074226,0.6025724298299273,19,0.20198868764074226
designer,0.1966595398752313,0.40618619197390926,19,0.1966595398752313
supervisor,0.19639005661010742,0.727015706325002,20,0.19639005661010742
worker,0.12317574070766568,0.22918551925663513,20,0.12317574070766568
salesperson,0.036484006140381095,0.4173526391114643,20,0.036484006140381095
hairdresser,-0.002076581370556596,0.0029066774546438723,20,0.002076581370556596
cashier,-0.0392862102295112,0.1916206284292618,20,0.0392862102295112
attendant,-0.05642743110656738,0.5762230225902376,20,0.05642743110656738
clerk,-0.41833513379096987,0.5287573467939908,20,0.41833513379096987
teacher,-0.581389993429184,0.5661934101649305,20,0.581389993429184
librarian,-0.6098796681300882,1.0800037691673197,20,0.6098796681300882
assistant,-0.8343620049326044,0.5212594833322507,19,0.8343620049326044
counselor,-0.8393505454063416,0.3890047767344976,20,0.8393505454063416
cleaner,-0.9366789519786834,0.7031545668030998,20,0.9366789519786834
housekeeper,-1.5238538443993188,0.9212493218508033,19,1.5238538443993188
receptionist,-1.728836040343403,0.893004671903422,19,1.728836040343403
secretary,-1.7942110111838894,0.47706432778179886,19,1.7942110111838894
nurse,-2.1710423171520232,0.8736823065916169,20,2.1710423171520232
