Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
mechanic,20,1.5637405276298524,0.4029014231493137,17.357248786167233,4.1165940293882094e-13,1.6466376117552838e-11,3.8811988188245645,True,male
secretary,19,-1.7942110111838894,0.47706432778179886,-16.393563772631502,2.8896492399817073e-12,5.7792984799634146e-11,-3.7609414636521117,True,female
farmer,20,2.107379013299942,0.6588239274078153,14.305013925756228,1.2641263983008265e-11,1.685501864401102e-10,3.1986983557072053,True,male
guard,19,1.2441296201003225,0.45164942833975624,12.007178458340572,4.998155480541844e-10,4.9981554805418444e-09,2.754635657735003,True,male
nurse,20,-2.1710423171520232,0.8736823065916169,-11.112959863223494,9.37075121422033e-10,7.276631046487558e-09,-2.48493336853945,True,female
laborer,20,1.1578395700315014,0.470254032151907,11.011103823106545,1.0914946569731338e-09,7.276631046487558e-09,2.4621576655774056,True,male
developer,20,1.5265985369682311,0.6474146333065128,10.545260880430428,2.2228363713323757e-09,1.270192212189929e-08,2.3579920169111723,True,male
sheriff,19,1.5687004265032316,0.6326745640357233,10.807778628240616,2.6675668890750038e-09,1.333783444537502e-08,2.4794744655083947,True,male
counselor,20,-0.8393505454063416,0.3890047767344976,-9.64946956299759,9.321752587478963e-09,4.1430011499906505e-08,-2.1576869889677797,True,female
physician,20,1.058466863632202,0.5246518167780482,9.022379350737562,2.686857394749378e-08,1.0747429578997514e-07,2.01746535470396,True,male
lawyer,20,0.7586323142051696,0.38758055545241404,8.753552780843835,4.292374205551149e-08,1.560863347473145e-07,1.9573539062599135,True,male
tailor,19,1.1080200138844942,0.5480401294356763,8.812762074405564,6.016092764296337e-08,1.8664455219953743e-07,2.021786278726407,True,male
chief,20,1.415334939956665,0.7395785379354329,8.558347692209479,6.065947946484967e-08,1.8664455219953743e-07,1.913704721485884,True,male
mover,20,1.175010456237942,0.6341782478258211,8.2860087473158,9.907892807857091e-08,2.830826516530597e-07,1.8528078821156004,True,male
receptionist,19,-1.728836040343403,0.893004671903422,-8.438725828550755,1.1363375958661239e-07,3.0302335889763303e-07,-1.935976478889436,True,female
carpenter,20,0.9527052431625634,0.52138168293474,8.171801027764932,1.2206179498176004e-07,3.051544874544001e-07,1.827270259668503,True,male
housekeeper,19,-1.5238538443993188,0.9212493218508033,-7.210127329177357,1.0421873261257708e-06,2.4371075934963218e-06,-1.654116652523417,True,female
CEO,18,1.3914988040924072,0.801155050855572,7.368897488714141,1.0966984170733447e-06,2.4371075934963218e-06,1.736865794712763,True,male
assistant,19,-0.8343620049326044,0.5212594833322507,-6.977138600110702,1.6230843161902642e-06,3.417019613032135e-06,-1.6006653722610207,True,female
analyst,18,0.41582775115966797,0.2701840677999001,6.529651249495226,5.145742134932754e-06,1.0291484269865508e-05,1.5390535591004293,True,male
driver,20,1.3415524631738662,0.9893323624104234,6.06429672578442,7.835691991821934e-06,1.492512760347035e-05,1.3560179714583365,True,male
cleaner,20,-0.9366789519786834,0.7031545668031,-5.957375258871357,9.830697544845533e-06,1.7873995536082787e-05,-1.3321096046311762,True,female
teacher,20,-0.581389993429184,0.5661934101649305,-4.592167705968592,0.00019895988640794427,0.0003460171937529465,-1.0268399154625036,True,female
accountant,21,0.4056890578497024,0.4836361425245192,3.8440072044808518,0.0010129462928180376,0.0016882438213633962,0.8388311422137664,True,male
clerk,20,-0.41833513379096987,0.5287573467939908,-3.538204441809976,0.002196319069370291,0.0035141105109924658,-0.7911665650178804,True,female
hairdresser,20,-0.002076581370556596,0.002906677454643872,-3.194972388804756,0.004767613923559883,0.007334790651630589,-0.7144175447602321,True,female
librarian,20,-0.6098796681300882,1.0800037691673197,-2.525421549380932,0.020604226729314442,0.0305247803397251,-0.5647014256258606,True,female
worker,20,0.12317574070766568,0.22918551925663513,2.4035491447678328,0.026607868621677046,0.038011240888110066,0.5374499274962357,True,male
writer,19,0.31570708124261154,0.5938244124521314,2.317411063001153,0.03246232710639189,0.04477562359502329,0.5316505596981682,True,male
designer,19,0.1966595398752313,0.40618619197390937,2.1104091609652813,0.04907836966546934,0.0654378262206258,0.48416106643000645,False,male
auditor,19,0.2941350685922723,0.6413582296256998,1.999046680188953,0.0609330442444203,0.077337473476046,0.4586127611770588,False,male
baker,20,0.3171607494354248,0.7148434704679206,1.9841910147634585,0.0618699787808368,0.077337473476046,0.44367859893553824,False,male
janitor,20,0.2228016834735172,0.5314292977431606,1.8749425816901628,0.07625710319601997,0.09243285235881209,0.41924990665681566,False,male
cook,19,0.22319431053964714,0.5466080330466969,1.779852079730492,0.09198864540319814,0.10822193576846839,0.4083260710524164,False,male
editor,20,0.28611007928848264,0.8201312519449876,1.5601443910829422,0.13522765568132353,0.1545458922072269,0.3488588913176475,False,male
manager,19,0.20198868764074226,0.6025724298299274,1.4611492885807935,0.16121187414815843,0.17912430460906492,0.335210636334212,False,male
supervisor,20,0.19639005661010742,0.727015706325002,1.2080661060406863,0.24184411393718552,0.26145309614830864,0.27013179344204435,False,male
cashier,20,-0.0392862102295112,0.19162062842926186,-0.9168807906708631,0.3706972390822313,0.39020762008655924,-0.2050207775203805,False,female
attendant,20,-0.05642743110656738,0.5762230225902374,-0.43794005724653795,0.6663679532578737,0.6834543110337166,-0.09792637380734082,False,female
salesperson,20,0.036484006140381095,0.41735263911146425,0.3909438214891639,0.7001879515580819,0.7001879515580819,0.08741769602333135,False,male
