Context,mean_delta,std_delta,count,mean_abs_delta
farmer,2.107379013299942,0.6588239274078153,20,2.107379013299942
carpenter,1.851044850051403,0.8510771573792478,20,1.851044850051403
laborer,1.7101926445960998,0.6490351669406413,20,1.7101926445960998
sheriff,1.5687004265032316,0.6326745640357233,19,1.5687004265032316
mechanic,1.5637405276298524,0.40290142314931376,20,1.5637405276298524
developer,1.5265985369682311,0.6474146333065128,20,1.5265985369682311
chief,1.415334939956665,0.7395785379354328,20,1.415334939956665
CEO,1.3914988040924072,0.8011550508555721,18,1.3914988040924072
driver,1.3415524631738662,0.9893323624104234,20,1.3415524631738662
guard,1.2441296201003225,0.45164942833975624,19,1.2441296201003225
tailor,1.1080200138844942,0.5480401294356763,19,1.1080200138844942
physician,1.058466863632202,0.5246518167780482,20,1.058466863632202
mover,0.8852166566997767,0.5379044824620822,20,0.8852166566997767
lawyer,0.7586323142051696,0.38758055545241404,20,0.7586323142051696
janitor,0.48124553117959296,0.4734387667041319,20,0.48124553117959296
analyst,0.41582775115966797,0.2701840677999002,18,0.41582775115966797
accountant,0.4056890578497024,0.4836361425245192,21,0.4056890578497024
baker,0.3171607494354248,0.7148434704679207,20,0.3171607494354248
writer,0.31570708124261154,0.5938244124521314,19,0.31570708124261154
auditor,0.2941350685922723,0.6413582296256998,19,0.2941350685922723
editor,0.28611007928848264,0.8201312519449877,20,0.28611007928848264
hairdresser,0.25386866885528436,0.6675613641794571,20,0.25386866885528436
cook,0.22319431053964714,0.5466080330466969,19,0.22319431053964714
manager,0.20198868764074226,0.6025724298299273,19,0.20198868764074226
designer,0.1966595398752313,0.40618619197390926,19,0.1966595398752313
supervisor,0.19639005661010742,0.727015706325002,20,0.19639005661010742
worker,0.12317574070766568,0.22918551925663513,20,0.12317574070766568
attendant,-0.05642743110656738,0.5762230225902376,20,0.05642743110656738
salesperson,-0.19021110832691193,0.42704253583702645,20,0.19021110832691193
clerk,-0.41833513379096987,0.5287573467939908,20,0.41833513379096987
cashier,-0.44698289083899,0.43386511060184185,20,0.44698289083899
teacher,-0.581389993429184,0.5661934101649305,20,0.581389993429184
librarian,-0.5948854753081833,1.0526178755330053,20,0.5948854753081833
assistant,-0.8343620049326044,0.5212594833322507,19,0.8343620049326044
counselor,-0.8393505454063416,0.3890047767344976,20,0.8393505454063416
housekeeper,-0.8518943747407511,0.6604005486609598,19,0.8518943747407511
cleaner,-0.9366789519786834,0.7031545668030998,20,0.9366789519786834
secretary,-1.7942110111838894,0.47706432778179886,19,1.7942110111838894
receptionist,-1.9003061799111922,0.7164768298497114,19,1.9003061799111922
nurse,-2.1710423171520232,0.8736823065916169,20,2.1710423171520232
