Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
mechanic,20,1.5637405276298524,0.4029014231493137,17.357248786167233,4.1165940293882094e-13,1.6466376117552838e-11,3.8811988188245645,True,male
secretary,19,-1.7942110111838894,0.47706432778179886,-16.393563772631502,2.8896492399817073e-12,5.7792984799634146e-11,-3.7609414636521117,True,female
farmer,20,2.107379013299942,0.6588239274078153,14.305013925756228,1.2641263983008265e-11,1.685501864401102e-10,3.1986983557072053,True,male
laborer,20,1.7101926445960998,0.6490351669406413,11.783974745044155,3.51908328942877e-10,3.51908328942877e-09,2.6349768575059485,True,male
guard,19,1.2441296201003225,0.45164942833975624,12.007178458340572,4.998155480541844e-10,3.9985243844334755e-09,2.754635657735003,True,male
receptionist,19,-1.9003061799111922,0.7164768298497115,-11.561075327106117,9.172361879552077e-10,5.354714979554475e-09,-2.6522925805008954,True,female
nurse,20,-2.1710423171520232,0.8736823065916169,-11.112959863223494,9.37075121422033e-10,5.354714979554475e-09,-2.48493336853945,True,female
developer,20,1.5265985369682311,0.6474146333065128,10.545260880430428,2.2228363713323757e-09,1.1114181856661878e-08,2.3579920169111723,True,male
sheriff,19,1.5687004265032316,0.6326745640357233,10.807778628240616,2.6675668890750038e-09,1.185585284033335e-08,2.4794744655083947,True,male
carpenter,20,1.851044850051403,0.8510771573792478,9.726643649704814,8.209443099239189e-09,3.2837772396956756e-08,2.174943639365661,True,male
counselor,20,-0.8393505454063416,0.3890047767344976,-9.64946956299759,9.321752587478963e-09,3.3897282136287144e-08,-2.1576869889677797,True,female
physician,20,1.058466863632202,0.5246518167780482,9.022379350737562,2.686857394749378e-08,8.956191315831261e-08,2.01746535470396,True,male
lawyer,20,0.7586323142051696,0.38758055545241404,8.753552780843835,4.292374205551149e-08,1.3207305247849688e-07,1.9573539062599135,True,male
tailor,19,1.1080200138844942,0.5480401294356763,8.812762074405564,6.016092764296337e-08,1.6175861190626578e-07,2.021786278726407,True,male
chief,20,1.415334939956665,0.7395785379354329,8.558347692209479,6.065947946484967e-08,1.6175861190626578e-07,1.913704721485884,True,male
mover,20,0.8852166566997767,0.5379044824620822,7.359688136955902,5.654841657367165e-07,1.4137104143417913e-06,1.645676296743218,True,male
CEO,18,1.3914988040924072,0.801155050855572,7.368897488714141,1.0966984170733447e-06,2.5804668637019877e-06,1.736865794712763,True,male
assistant,19,-0.8343620049326044,0.5212594833322507,-6.977138600110702,1.6230843161902642e-06,3.606854035978365e-06,-1.6006653722610207,True,female
analyst,18,0.41582775115966797,0.2701840677999001,6.529651249495226,5.145742134932754e-06,1.0833141336700535e-05,1.5390535591004293,True,male
driver,20,1.3415524631738662,0.9893323624104234,6.06429672578442,7.835691991821934e-06,1.567138398364387e-05,1.3560179714583365,True,male
cleaner,20,-0.9366789519786834,0.7031545668031,-5.957375258871357,9.830697544845533e-06,1.8725138180658157e-05,-1.3321096046311762,True,female
housekeeper,19,-0.8518943747407511,0.6604005486609598,-5.6228322305226754,2.46213840794594e-05,4.476615287174436e-05,-1.2899661825964073,True,female
cashier,20,-0.44698289083899,0.4338651106018419,-4.607349631358473,0.0001922391600774817,0.00033159981067990707,-1.0302346971826142,True,female
teacher,20,-0.581389993429184,0.5661934101649305,-4.592167705968592,0.00019895988640794427,0.00033159981067990707,-1.0268399154625036,True,female
janitor,20,0.48124553117959296,0.4734387667041319,4.545879202401923,0.00022095512927134228,0.0003535282068341476,1.0164894914073224,True,male
accountant,21,0.4056890578497024,0.4836361425245192,3.8440072044808518,0.0010129462928180376,0.0015583789120277502,0.8388311422137664,True,male
clerk,20,-0.41833513379096987,0.5287573467939908,-3.538204441809976,0.002196319069370291,0.0032538060286967274,-0.7911665650178804,True,female
librarian,20,-0.5948854753081833,1.0526178755330051,-2.5274211896559446,0.020517266573277425,0.02931038081896775,-0.5651485587844081,True,female
worker,20,0.12317574070766568,0.22918551925663513,2.4035491447678328,0.026607868621677046,0.03670050844369248,0.5374499274962357,True,male
writer,19,0.31570708124261154,0.5938244124521314,2.317411063001153,0.03246232710639189,0.04328310280852252,0.5316505596981682,True,male
designer,19,0.1966595398752313,0.40618619197390937,2.1104091609652813,0.04907836966546934,0.06332692860060561,0.48416106643000645,False,male
auditor,19,0.2941350685922723,0.6413582296256998,1.999046680188953,0.0609330442444203,0.07278821033039623,0.4586127611770588,False,male
salesperson,20,-0.19021110832691193,0.42704253583702645,-1.9919559884632638,0.06094609138602916,0.07278821033039623,-0.44541489983916444,False,female
baker,20,0.3171607494354248,0.7148434704679206,1.9841910147634585,0.0618699787808368,0.07278821033039623,0.44367859893553824,False,male
cook,19,0.22319431053964714,0.5466080330466969,1.779852079730492,0.09198864540319814,0.10512988046079787,0.4083260710524164,False,male
hairdresser,20,0.25386866885528436,0.6675613641794571,1.7007203573428986,0.10530566871892456,0.11700629857658286,0.38029263297364546,False,male
editor,20,0.28611007928848264,0.8201312519449876,1.5601443910829422,0.13522765568132353,0.14619206019602543,0.3488588913176475,False,male
manager,19,0.20198868764074226,0.6025724298299274,1.4611492885807935,0.16121187414815843,0.16969670962964045,0.335210636334212,False,male
supervisor,20,0.19639005661010742,0.727015706325002,1.2080661060406863,0.24184411393718552,0.24804524506378,0.27013179344204435,False,male
attendant,20,-0.05642743110656738,0.5762230225902374,-0.43794005724653795,0.6663679532578737,0.6663679532578737,-0.09792637380734082,False,female
