Context,mean_delta,std_delta,count,mean_abs_delta
treated,1.1113662719726562,1.1290308599499783,3,1.1113662719726562
pay,0.648208498954773,0.8858799417655515,3,0.648208498954773
paid,0.6471925327046351,0.8285821755036121,11,0.6471925327046351
charged,0.4818881511688232,0.6515885077922756,5,0.4818881511688232
learned,0.4305202066898346,0.41807270275171293,3,0.4305202066898346
convince,0.3959418733914693,0.30376330453759703,3,0.3959418733914693
praised,0.3903491497039795,0.19540987363296147,3,0.3903491497039795
hated,0.3889853358268738,0.7617803290549405,4,0.3889853358268738
reported,0.3498869438966115,0.37245472998767953,3,0.3498869438966115
ask,0.28205248415470124,0.2590702750618256,10,0.28205248415470124
discussed,0.24456564585367838,0.1828594345563128,3,0.24456564585367838
called,0.22529493717269766,0.321246894632573,9,0.22529493717269766
give,0.21513936519622803,0.09931627231485746,5,0.21513936519622803
cut,0.19816923141479492,0.2568217489153768,3,0.19816923141479492
walked,0.1799370288848877,0.2961059266014692,5,0.1799370288848877
got,0.1783218632141749,0.34685426081271,6,0.1783218632141749
gave,0.17098608884859728,0.4394316941279011,37,0.17098608884859728
let,0.13297264277935028,0.32186411756150085,4,0.13297264277935028
handed,0.11724808286218082,0.3177438565944378,17,0.11724808286218082
thank,0.09921511014302571,0.11680608969057793,6,0.09921511014302571
invited,0.07072946855000087,0.11915955542288593,7,0.07072946855000087
wrote,0.06574910692870617,0.07743401275995049,4,0.06574910692870617
made,0.06500094160437583,0.16900383103859073,15,0.06500094160437583
issued,0.06434448560078938,0.33089653184067064,3,0.06434448560078938
waited,0.06263898738792964,0.14081146191670396,7,0.06263898738792964
went,0.06174355000257492,0.16519497410202605,4,0.06174355000257492
forgot,0.04947511355082194,0.08243828580196408,3,0.04947511355082194
led,0.02836453914642334,0.09108585092773464,5,0.02836453914642334
asked,0.024304474450949298,0.2531623112557899,173,0.024304474450949298
talked,0.013633355498313904,0.16037517686603986,5,0.013633355498313904
left,0.004501928885777791,0.08105298315943765,3,0.004501928885777791
wished,0.0008813664317131042,0.23956301049710635,10,0.0008813664317131042
bought,-0.022255510091781616,0.2677131293808803,4,0.022255510091781616
told,-0.03355301063507796,0.09045912448849296,50,0.03355301063507796
sent,-0.052589308470487595,0.09647208446013435,8,0.052589308470487595
showed,-0.07572826246420543,1.1649028654690374,12,0.07572826246420543
greeted,-0.07682041078805923,0.17770082220136568,8,0.07682041078805923
yelled,-0.08713817596435547,0.14981366586723552,3,0.08713817596435547
refused,-0.08903166922655972,0.23554751342542055,11,0.08903166922655972
returned,-0.09189810355504353,0.2684644332785192,3,0.09189810355504353
smiled,-0.09513547420501708,0.7000122434406619,5,0.09513547420501708
explained,-0.10214564651250839,0.26938577496367827,10,0.10214564651250839
sabotaged,-0.12652545142918825,0.22186792784735482,4,0.12652545142918825
thanked,-0.13104290603414961,0.838767400767652,19,0.13104290603414961
expressed,-0.14690499603748322,0.06792022490903916,5,0.14690499603748322
helped,-0.15665501977006593,0.40589392291115406,18,0.15665501977006593
provided,-0.17389930287996927,0.21449535882724707,6,0.17389930287996927
drove,-0.17825543880462646,0.3517412775770437,4,0.17825543880462646
fired,-0.20433679223060608,0.300633780509124,4,0.20433679223060608
reminded,-0.20498871803283691,0.3200713468936289,6,0.20498871803283691
hoped,-0.20653359095255533,0.17146454650575968,3,0.20653359095255533
recommended,-0.21087961196899413,0.5003042921360663,5,0.21087961196899413
liked,-0.2261047065258026,0.19938548488602043,3,0.2261047065258026
offered,-0.2680710107088089,0.5400062288879925,14,0.2680710107088089
complained,-0.320686678091685,0.6347753409068773,3,0.320686678091685
demanded,-0.34732377529144287,1.3014144946490207,4,0.34732377529144287
examined,-0.35251312255859374,0.19403404516043118,5,0.35251312255859374
rejected,-0.5948330561319987,0.685634772891242,3,0.5948330561319987
kissed,-0.7073314984639486,0.5201280447520069,3,0.7073314984639486
wanted,-0.7870912551879883,1.5712459948126305,3,0.7870912551879883
did,-0.900266687075297,1.7474021987254411,3,0.900266687075297
moved,-2.4787662823994956,2.3013559603007696,3,2.4787662823994956
