Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
ask,10,0.28205248415470124,0.25907027506182556,3.442804348837604,0.007357846257356258,0.1740553790351742,1.0887103280659702,False,male
give,5,0.21513936519622803,0.09931627231485746,4.84378072195277,0.008377084632476208,0.1740553790351742,2.166204592477881,False,male
expressed,5,-0.14690499603748322,0.06792022490903915,-4.836402674079377,0.008422034469443913,0.1740553790351742,-2.1629050291606498,False,female
told,50,-0.03355301063507796,0.09045912448849296,-2.622793607990981,0.011590468652458106,0.17965226411310065,-0.37091902917263075,False,female
examined,5,-0.35251312255859374,0.19403404516043118,-4.062396907460209,0.015318452631837625,0.18994881263478655,-1.81675912733319,False,female
gave,37,0.17098608884859728,0.4394316941279012,2.366847426685084,0.02343874342435876,0.2384689485641598,0.38910732005331866,False,male
paid,11,0.6471925327046351,0.8285821755036121,2.590563569384595,0.026923913547566427,0.2384689485641598,0.7810843050193199,False,male
called,9,0.22529493717269766,0.32124689463257305,2.103941930057061,0.06851607949751534,0.4554236505800015,0.701313976685687,False,male
praised,3,0.3903491497039795,0.19540987363296147,3.4599303884128703,0.07433940528755416,0.4554236505800015,1.997591741127537,False,male
offered,14,-0.2680710107088089,0.5400062288879924,-1.8574413103790672,0.08604178947923775,0.4554236505800015,-0.4964220713913504,False,female
thank,6,0.09921511014302571,0.11680608969057792,2.0805969557599897,0.09199211320533224,0.4554236505800015,0.8494001503333335,False,male
provided,6,-0.17389930287996927,0.21449535882724707,-1.985891727497463,0.10379348106313642,0.4554236505800015,-0.810736902797167,False,female
helped,18,-0.15665501977006593,0.40589392291115406,-1.6374498931915236,0.11991216531988749,0.4554236505800015,-0.3859506411096381,False,female
kissed,3,-0.7073314984639486,0.520128044752007,-2.3554470971037924,0.14265890895367586,0.4554236505800015,-1.359918015574797,False,female
discussed,3,0.24456564585367838,0.1828594345563128,2.316534147840303,0.14648116831569014,0.4554236505800015,1.3374516138425592,False,male
handed,17,0.11724808286218082,0.3177438565944377,1.5214337586988487,0.14766723969562687,0.4554236505800015,0.36900188761740266,False,male
convince,3,0.3959418733914693,0.30376330453759703,2.2576507145982396,0.1525389338328864,0.4554236505800015,1.3034552478094446,False,male
