Context,mean_delta,std_delta,count,mean_abs_delta
convince,0.7765818436940511,0.9429650490263982,3,0.7765818436940511
paid,0.7040999694304033,0.7459676757499353,11,0.7040999694304033
treated,0.5362974802652994,0.2361110142228287,3,0.5362974802652994
pay,0.5250797867774963,2.228831048519783,3,0.5250797867774963
drove,0.4770432710647583,0.7721589171759154,4,0.4770432710647583
returned,0.3932778040568034,0.1656305762520018,3,0.3932778040568034
charged,0.3679651260375977,0.11731558120629712,5,0.3679651260375977
did,0.3075919250647227,0.40419376484913044,3,0.3075919250647227
learned,0.2986510396003723,0.7886428076379631,3,0.2986510396003723
discussed,0.2672181924184163,0.07437660109640253,3,0.2672181924184163
sent,0.2604377567768097,0.3060171370402477,8,0.2604377567768097
left,0.2531355420748393,0.20068462211340804,3,0.2531355420748393
let,0.24904364347457886,0.16921837991644875,4,0.24904364347457886
thanked,0.22720096270112614,0.7605624166784823,19,0.22720096270112614
hoped,0.2185977300008138,0.3728090045083279,3,0.2185977300008138
talked,0.19168246388435364,0.27497196909905874,5,0.19168246388435364
went,0.18652670085430145,0.27519021058629634,4,0.18652670085430145
showed,0.14407364775737128,1.1034625490838041,12,0.14407364775737128
waited,0.14277088003499167,0.278784125493385,7,0.14277088003499167
ask,0.1316829204559326,0.3239177912007026,10,0.1316829204559326
invited,0.12317717767187528,0.1543959634628336,7,0.12317717767187528
bought,0.08823196589946747,1.059862399671914,4,0.08823196589946747
told,0.08539975926280022,0.29345914296597336,50,0.08539975926280022
refused,0.07974548502401872,0.33110929719315724,11,0.07974548502401872
give,0.06737946271896363,0.17108591966702896,5,0.06737946271896363
examined,0.040417718887329104,0.20174566782098113,5,0.040417718887329104
reminded,0.03556140263875326,0.472345728557667,6,0.03556140263875326
offered,0.03094476887157985,0.328092628729812,14,0.03094476887157985
helped,0.028753887448045943,0.5486827662919898,18,0.028753887448045943
liked,0.02143476406733195,0.139509852071686,3,0.02143476406733195
reported,0.016646862030029297,0.22473414532992916,3,0.016646862030029297
asked,0.01101873639696466,0.17492874871092357,173,0.01101873639696466
wrote,-0.007443366572260857,0.06674882920788551,4,0.007443366572260857
walked,-0.011811912059783936,0.14893123381412265,5,0.011811912059783936
led,-0.0492323637008667,0.07817945639567891,5,0.0492323637008667
demanded,-0.05508565902709961,0.5798205320809189,4,0.05508565902709961
thank,-0.06506176789601643,0.0922889916846459,6,0.06506176789601643
called,-0.0806595668093198,0.28496996586212353,9,0.0806595668093198
provided,-0.11498092611630757,0.14564993559756065,6,0.11498092611630757
gave,-0.1199636986932239,0.827053076492763,37,0.1199636986932239
expressed,-0.12202691435813903,0.22433848730160252,5,0.12202691435813903
handed,-0.13293026738307057,0.4093906016978849,17,0.13293026738307057
made,-0.14457551191250484,0.8716204622458353,15,0.14457551191250484
cut,-0.14835532506306967,0.2559824834167787,3,0.14835532506306967
hated,-0.16327440738677979,0.4540403820581354,4,0.16327440738677979
issued,-0.17124549547831217,0.0726511018845822,3,0.17124549547831217
explained,-0.18341402113437652,0.3245273634836369,10,0.18341402113437652
yelled,-0.18979438145955405,0.45825590441103375,3,0.18979438145955405
got,-0.2118121882279714,0.5792065547231917,6,0.2118121882279714
greeted,-0.21981504559516907,1.2785994555855311,8,0.21981504559516907
praised,-0.25685707728068036,0.9928013360098589,3,0.25685707728068036
fired,-0.2908228635787964,0.26194364006929866,4,0.2908228635787964
rejected,-0.31521133581797284,0.5128727148475462,3,0.31521133581797284
recommended,-0.3232847213745117,0.3039667801396435,5,0.3232847213745117
complained,-0.3560672402381897,0.8189934711731894,3,0.3560672402381897
wanted,-0.49635612964630127,1.0467707096635392,3,0.49635612964630127
forgot,-0.5215930938720703,0.5671946198549487,3,0.5215930938720703
sabotaged,-0.5377573629593826,0.579933813336631,4,0.5377573629593826
smiled,-0.5904914379119873,0.9649247401811197,5,0.5904914379119873
moved,-1.0388202667236328,1.2535922619014848,3,1.0388202667236328
wished,-1.0954168875701726,1.4246667533372734,10,1.0954168875701726
kissed,-1.5225067138671875,1.0076430741570264,3,1.5225067138671875
