Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
charged,5,0.3679651260375977,0.1173155812062971,7.013518807211786,0.0021763346530024536,0.1349327484861521,3.136540962879759,False,male
paid,11,0.7040999694304033,0.7459676757499353,3.130478021254338,0.010681801288422332,0.3311358399410923,0.9438746373595323,False,male
discussed,3,0.2672181924184163,0.07437660109640253,6.222864169008124,0.024864646777709713,0.3741186332020036,3.592772303107317,False,male
wished,10,-1.0954168875701726,1.4246667533372734,-2.43145447454284,0.03789205316388515,0.3741186332020036,-0.7688934166563268,False,female
told,50,0.08539975926280022,0.29345914296597325,2.0577566020298295,0.04495401478693641,0.3741186332020036,0.29101072946533607,False,male
sent,8,0.2604377567768097,0.3060171370402477,2.4071502096259962,0.04697018367150815,0.3741186332020036,0.8510561182805806,False,male
returned,3,0.3932778040568034,0.1656305762520018,4.1126291626197755,0.05434855874320602,0.3741186332020036,2.3744275541156323,False,male
issued,3,-0.17124549547831217,0.0726511018845822,-4.082607022353889,0.05508573963773202,0.3741186332020036,-2.357094263351474,False,female
treated,3,0.5362974802652994,0.2361110142228287,3.9341429574904367,0.05895428797075535,0.3741186332020036,2.271378495537574,False,male
let,4,0.24904364347457886,0.16921837991644875,2.9434585486227167,0.060341715032581233,0.3741186332020036,1.4717292743113584,False,male
recommended,5,-0.3232847213745117,0.3039667801396435,-2.378176367655671,0.0761401695362842,0.40964998869359537,-1.0635528041123226,False,female
invited,7,0.12317717767187528,0.1543959634628336,2.1107817329502283,0.07928709458585717,0.40964998869359537,0.7978005053320364,False,male
explained,10,-0.18341402113437652,0.32452736348363687,-1.787233148443381,0.10754032654187551,0.46591297598865133,-0.5651727458834901,False,female
provided,6,-0.11498092611630757,0.14564993559756065,-1.9337090537122272,0.11096160794290776,0.46591297598865133,-0.789433415432511,False,female
fired,4,-0.2908228635787964,0.26194364006929866,-2.220499520445372,0.11299062727885982,0.46591297598865133,-1.110249760222686,False,female
kissed,3,-1.5225067138671875,1.0076430741570264,-2.6170566254214664,0.12023560670674874,0.46591297598865133,-1.510958347171577,False,female
thank,6,-0.06506176789601643,0.09228899168464591,-1.726837948920252,0.1447803153105153,0.5243803979131011,-0.7049786405548164,False,female
left,3,0.2531355420748393,0.20068462211340804,2.184739495522203,0.1605277516417318,0.5243803979131011,1.2613599358489507,False,male
sabotaged,4,-0.5377573629593826,0.579933813336631,-1.8545473658982308,0.16069721871530518,0.5243803979131011,-0.9272736829491154,False,female
talked,5,0.19168246388435364,0.27497196909905874,1.558758955483402,0.19405844720531984,0.5750154396629452,0.6970981969994912,False,male
handed,17,-0.13293026738307057,0.4093906016978848,-1.3387838679952524,0.19935352853062963,0.5750154396629452,-0.3247027822127881,False,female
thanked,19,0.22720096270112614,0.7605624166784826,1.3021232900442121,0.20929104736252585,0.5750154396629452,0.29872757017544327,False,male
waited,7,0.14277088003499167,0.278784125493385,1.3549417219001139,0.22422603855752757,0.5750154396629452,0.5121198338761915,False,male
ask,10,0.1316829204559326,0.3239177912007026,1.2855667977974967,0.23068600788409505,0.5750154396629452,0.4065319165329224,False,male
led,5,-0.0492323637008667,0.07817945639567891,-1.4081309464594298,0.23186106438021986,0.5750154396629452,-0.6297353035008804,False,female
smiled,5,-0.5904914379119873,0.9649247401811198,-1.3683751077363406,0.24301711506636936,0.5791637344399498,-0.6119559519234111,False,female
forgot,3,-0.5215930938720703,0.5671946198549487,-1.592796736496735,0.2522164649980427,0.5791637344399498,-0.9196016245807475,False,female
went,4,0.18652670085430145,0.27519021058629634,1.3556201760004754,0.2682454465648245,0.5814764083624927,0.6778100880002377,False,male
