Context,mean_delta,std_delta,count,mean_abs_delta
treated,1.0364928245544434,1.1399948828761355,3,1.0364928245544434
learned,0.6561671098073324,0.6248648786273396,3,0.6561671098073324
left,0.59611443678538,0.897826079140767,3,0.59611443678538
greeted,0.594267763197422,0.1965444774134843,8,0.594267763197422
pay,0.5860349337259928,0.46597049422732184,3,0.5860349337259928
drove,0.5272320806980133,0.4305885303323744,4,0.5272320806980133
called,0.5119037628173828,0.7733059818541241,9,0.5119037628173828
showed,0.4467633267243703,0.8802634827613325,12,0.4467633267243703
provided,0.4427442053953807,0.524793635006691,6,0.4427442053953807
gave,0.4382407198081145,0.8738157224744728,37,0.4382407198081145
charged,0.39126834869384763,0.33246024322558565,5,0.39126834869384763
expressed,0.36131959557533266,0.4567861187541586,5,0.36131959557533266
got,0.34017471472422284,0.199336403752642,6,0.34017471472422284
paid,0.32702790607105603,0.15546966177284577,11,0.32702790607105603
yelled,0.30603845914204914,0.5212898705879606,3,0.30603845914204914
wished,0.26961912512779235,1.1561184057816796,10,0.26961912512779235
reminded,0.26958298683166504,0.10762215717577175,6,0.26958298683166504
bought,0.2691916823387146,0.7507167336320405,4,0.2691916823387146
thank,0.20986624558766684,0.13649720840133503,6,0.20986624558766684
thanked,0.20600617525020712,0.4012435066128626,19,0.20600617525020712
hated,0.19654011726379395,0.39129605827586433,4,0.19654011726379395
cut,0.1905193328857422,0.10567681668572974,3,0.1905193328857422
walked,0.189805006980896,0.07971459543505972,5,0.189805006980896
issued,0.1610809564590454,0.15315708410737036,3,0.1610809564590454
discussed,0.15526946385701498,0.13867396187678302,3,0.15526946385701498
did,0.1425944964090983,0.3922411397706397,3,0.1425944964090983
give,0.14086102247238158,0.22652739479943165,5,0.14086102247238158
let,0.1357184648513794,0.30007268756567274,4,0.1357184648513794
offered,0.10994115471839905,0.15777007095710902,14,0.10994115471839905
convince,0.10493379831314087,0.16679581182592304,3,0.10493379831314087
reported,0.10136222839355469,0.2737036484731579,3,0.10136222839355469
waited,0.09832838603428432,0.2351249958781221,7,0.09832838603428432
ask,0.07968267202377319,0.18139397392186707,10,0.07968267202377319
asked,0.07701535255922748,0.22636073318130315,173,0.07701535255922748
talked,0.07453405857086182,0.1809663433179635,5,0.07453405857086182
fired,0.07208096981048584,0.2605194045659938,4,0.07208096981048584
explained,0.06678295135498047,0.280757053973827,10,0.06678295135498047
told,0.05979147523641586,0.1364841142427902,50,0.05979147523641586
recommended,0.04088525772094727,0.15170379110955837,5,0.04088525772094727
sent,0.028906822204589844,0.10930322201957798,8,0.028906822204589844
refused,0.021239876747131348,0.08342326600828147,11,0.021239876747131348
led,0.01589179039001465,0.0743183796296814,5,0.01589179039001465
invited,0.003398744123322623,0.04031842832827916,7,0.003398744123322623
wanted,0.0026117960611979165,0.10300108402012668,3,0.0026117960611979165
wrote,-0.007181093096733093,0.2345904606996551,4,0.007181093096733093
made,-0.008249853551387788,0.32535753085177566,15,0.008249853551387788
demanded,-0.015249371528625488,0.3020568309502881,4,0.015249371528625488
returned,-0.028426408767700195,0.13672018643965483,3,0.028426408767700195
went,-0.028545022010803223,0.2463480283845474,4,0.028545022010803223
forgot,-0.06307363510131836,0.1361243303453097,3,0.06307363510131836
handed,-0.07944812844781314,0.134082533325795,17,0.07944812844781314
liked,-0.09891279538472493,0.13925346875886435,3,0.09891279538472493
kissed,-0.13541555404663086,0.29129839604297153,3,0.13541555404663086
examined,-0.23465566635131835,0.1600154364915857,5,0.23465566635131835
helped,-0.2549979214866956,0.2347324813713088,18,0.2549979214866956
smiled,-0.26129879951477053,0.39343124221032677,5,0.26129879951477053
praised,-0.2819235324859619,0.41361125361869283,3,0.2819235324859619
complained,-0.3172813256581624,0.34909416546593025,3,0.3172813256581624
rejected,-0.6290098826090494,0.828727067819073,3,0.6290098826090494
hoped,-0.8545424143473307,1.090315308472255,3,0.8545424143473307
sabotaged,-0.8936060257256031,0.10173248566768463,4,0.8936060257256031
moved,-0.9841667811075846,1.057741907909797,3,0.9841667811075846
