Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
asked,173,0.07701535255922748,0.2263607331813031,4.475064172465091,1.385391441097394e-05,0.0008589426934803842,0.3402328287103674,True,male
paid,11,0.32702790607105603,0.15546966177284577,6.9764663281895825,3.8226937937479084e-05,0.0011850350760618516,2.1034837430139346,True,male
greeted,8,0.594267763197422,0.19654447741348427,8.5519729829586,5.938765950465218e-05,0.0012273449630961452,3.0235790443870862,True,male
helped,18,-0.2549979214866956,0.2347324813713088,-4.608925660863138,0.00025025570906740614,0.0038789634905447954,-1.0863341962603383,True,female
sabotaged,4,-0.8936060257256031,0.10173248566768463,-17.56776156329497,0.00040204869900659,0.004985403867681716,-8.783880781647484,True,female
reminded,6,0.26958298683166504,0.10762215717577174,6.135732440249527,0.0016698897020932572,0.017255526921630324,2.504902279475536,True,male
told,50,0.05979147523641586,0.1364841142427902,3.097720041001078,0.0032247703130022995,0.028562251343734652,0.43808376944186644,True,male
gave,37,0.4382407198081145,0.8738157224744728,3.0506594939158864,0.004269238020583538,0.03308659465952242,0.5015253314132455,True,male
walked,5,0.189805006980896,0.07971459543505972,5.324205633394464,0.005988574041924871,0.04125462117770466,2.381057144491469,True,male
got,6,0.34017471472422284,0.199336403752642,4.180142005095914,0.008653766383815261,0.05365335157965462,1.7065358274765914,False,male
thank,6,0.20986624558766684,0.13649720840133503,3.766122559898283,0.01307492434605248,0.0736950281322958,1.5375130967558617,False,male
offered,14,0.10994115471839905,0.15777007095710904,2.6073521496633316,0.02170107820550358,0.11212223739510184,0.6968441736220513,False,male
handed,17,-0.07944812844781314,0.134082533325795,-2.4430700794713722,0.026538134449208044,0.12656648737314605,-0.5925315287321529,False,female
examined,5,-0.23465566635131835,0.1600154364915857,-3.2790962720315373,0.030526677103071026,0.13518957002788598,-1.466456433805732,False,female
thanked,19,0.20600617525020712,0.4012435066128626,2.2379430068319435,0.038106117883391355,0.1575052872513509,0.513419337272842,False,male
charged,5,0.39126834869384763,0.33246024322558565,2.6316007491153854,0.058088735173834574,0.22509384879860897,1.1768876329322742,False,male
called,9,0.5119037628173828,0.773305981854124,1.9859038006793075,0.08229324977044516,0.290324293702269,0.6619679335597691,False,male
cut,3,0.1905193328857422,0.10567681668572974,3.1226258959293025,0.08906711917270835,0.290324293702269,1.8028489015932792,False,male
drove,4,0.5272320806980133,0.4305885303323744,2.4488905001303176,0.09177007443477916,0.290324293702269,1.2244452500651586,False,male
provided,6,0.4427442053953807,0.524793635006691,2.0665216143081584,0.09365299796847386,0.290324293702269,0.8436539162479282,False,male
showed,12,0.4467633267243703,0.8802634827613325,1.758148090882262,0.10647556355476802,0.31435642573312467,0.5075336367730503,False,male
expressed,5,0.36131959557533266,0.4567861187541586,1.7687384623524542,0.15166258053096685,0.42741272695090654,0.7910038872477081,False,male
pay,3,0.5860349337259928,0.4659704942273218,2.17834024428271,0.16125607647220863,0.43469029309899715,1.2576653264232178,False,male
discussed,3,0.15526946385701498,0.13867396187678302,1.939330185888017,0.192016000435105,0.4687566334043544,1.1196728048700135,False,male
ask,10,0.07968267202377319,0.18139397392186704,1.3891240607134954,0.19820213387177657,0.4687566334043544,0.439279598439667,False,male
issued,3,0.1610809564590454,0.15315708410737036,1.8216617425496575,0.2100945034570042,0.4687566334043544,1.0517368974334875,False,male
learned,3,0.6561671098073324,0.6248648786273396,1.8188168535548743,0.2105590749235849,0.4687566334043544,1.0500944000065349,False,male
smiled,5,-0.26129879951477053,0.39343124221032677,-1.4850927315064655,0.21169654411809555,0.4687566334043544,-0.66415366010786,False,female
give,5,0.14086102247238158,0.22652739479943165,1.3904491415144327,0.23675874502072022,0.4961958695910448,0.6218277599364993,False,male
moved,3,-0.9841667811075846,1.057741907909797,-1.6115716464032013,0.24836904360835707,0.4961958695910448,-0.9304413238692565,False,female
treated,3,1.0364928245544434,1.1399948828761355,1.574794993184133,0.255977579041585,0.4961958695910448,0.9092083132333341,False,male
complained,3,-0.3172813256581624,0.34909416546593025,-1.5742095706448496,0.2561010939824747,0.4961958695910448,-0.9088703193726891,False,female
hoped,3,-0.8545424143473307,1.090315308472255,-1.3575071975702857,0.30750476006991945,0.5653483950651613,-0.7837571459440589,False,female
waited,7,0.09832838603428432,0.23512499587812213,1.106443214569683,0.31091217087261847,0.5653483950651613,0.41819622650946553,False,male
rejected,3,-0.6290098826090494,0.8287270678190731,-1.314639182727482,0.3191482875367846,0.5653483950651613,-0.7590072860349413,False,female
liked,3,-0.09891279538472493,0.13925346875886435,-1.2302888298005303,0.3436578938838648,0.5918552616888783,-0.7103075870663259,False,female
praised,3,-0.2819235324859619,0.41361125361869283,-1.1805913834374266,0.35914947929785956,0.601818046391008,-0.681614753030551,False,female
left,3,0.59611443678538,0.8978260791407671,1.1500005575976389,0.36909281650214343,0.602204069029813,0.6639531314972165,False,male
hated,4,0.19654011726379395,0.39129605827586433,1.004559658125832,0.38912111061719135,0.6029505400619158,0.502279829062916,False,male
convince,3,0.10493379831314087,0.16679581182592304,1.089659675023675,0.3896549280440488,0.6029505400619158,0.6291153066999988,False,male
talked,5,0.07453405857086182,0.1809663433179635,0.9209625311960102,0.4091876108036334,0.6029505400619158,0.41186696489690994,False,male
yelled,3,0.30603845914204914,0.5212898705879606,1.016851065427864,0.41621819447719777,0.6029505400619158,0.587079236350535,False,male
refused,11,0.021239876747131348,0.08342326600828147,0.8444251242409516,0.4181753745590707,0.6029505400619158,0.25460375460513446,False,male
let,4,0.1357184648513794,0.30007268756567274,0.9045705955606278,0.4323724058078724,0.6092520263656384,0.4522852977803139,False,male
explained,10,0.06678295135498047,0.280757053973827,0.7522027751781928,0.4711430482079946,0.6326863688195669,0.2378674031862657,False,male
sent,8,0.028906822204589844,0.10930322201957798,0.7480185716669238,0.47882071788276337,0.6326863688195669,0.2644645022395786,False,male
