Context,mean_delta,std_delta,count,mean_abs_delta
treated,0.8031566937764486,0.8886566065805812,3,0.8031566937764486
fired,0.7903512418270111,0.06225616950520603,4,0.7903512418270111
learned,0.7422858973344167,0.7372508009630052,3,0.7422858973344167
charged,0.6580974578857421,0.45916772993965743,5,0.6580974578857421
gave,0.35455461893532725,0.9967964402897461,37,0.35455461893532725
hated,0.339219331741333,0.573939491480828,4,0.339219331741333
pay,0.28697363535563153,0.4659307802348955,3,0.28697363535563153
showed,0.26390262444814044,0.9165319094483649,12,0.26390262444814044
got,0.19245813290278116,0.3301363743093103,6,0.19245813290278116
discussed,0.15568939844767252,0.20302833892312394,3,0.15568939844767252
walked,0.15148149728775023,0.37397252782094675,5,0.15148149728775023
let,0.13778790086507797,0.14348242385572255,4,0.13778790086507797
paid,0.13594611124558884,0.20558691075015162,11,0.13594611124558884
left,0.1314207265774409,0.16635351880037366,3,0.1314207265774409
give,0.12080577611923218,0.09285492991275963,5,0.12080577611923218
drove,0.1149148941040039,0.21194670551338654,4,0.1149148941040039
sabotaged,0.10781443407176994,0.23033106470100234,4,0.10781443407176994
called,0.06959379133250979,0.17420389089076668,9,0.06959379133250979
thanked,0.06003439835713882,0.2458152807595521,19,0.06003439835713882
forgot,0.05978743235270182,0.02938399379122631,3,0.05978743235270182
waited,0.05862232829843249,0.08809221006285367,7,0.05862232829843249
asked,0.05099119942075427,0.1344938168979685,173,0.05099119942075427
went,0.042732298374176025,0.13834179579892897,4,0.042732298374176025
invited,0.0361810994467565,0.06472264877933928,7,0.0361810994467565
handed,0.02769387820187737,0.2249053944759731,17,0.02769387820187737
led,0.01992039680480957,0.11872997341854759,5,0.01992039680480957
expressed,0.016991966217756272,0.029551738779872362,5,0.016991966217756272
bought,-0.0019376277923583984,0.03232278405486804,4,0.0019376277923583984
convince,-0.0026255051294962564,0.16785755546581246,3,0.0026255051294962564
wished,-0.004153728135861456,0.017888753247628335,10,0.004153728135861456
refused,-0.006328366019509055,0.22731888986617324,11,0.006328366019509055
liked,-0.010851780573527018,0.0796515867704684,3,0.010851780573527018
told,-0.022764082551002502,0.22803726006215622,50,0.022764082551002502
demanded,-0.055089108645915985,0.061757093924612504,4,0.055089108645915985
ask,-0.05670549869537354,0.20631274979790193,10,0.05670549869537354
cut,-0.06240169207255045,0.2823276712668046,3,0.06240169207255045
made,-0.06395193226635457,0.20096044050783562,15,0.06395193226635457
reminded,-0.07771341005961101,0.262877354229789,6,0.07771341005961101
hoped,-0.07900412877400716,0.47720072995355517,3,0.07900412877400716
sent,-0.11004799604415894,0.3238665194133422,8,0.11004799604415894
talked,-0.12515190243721008,0.24475119315057928,5,0.12515190243721008
issued,-0.1253280242284139,0.03282327868794247,3,0.1253280242284139
explained,-0.14498827755451202,0.269317611552893,10,0.14498827755451202
yelled,-0.1451450983683268,0.04099208274390441,3,0.1451450983683268
reported,-0.1495203177134196,0.33950499870702033,3,0.1495203177134196
wrote,-0.1549384593963623,0.20100587502256986,4,0.1549384593963623
complained,-0.15661958853403726,0.28315350907017267,3,0.15661958853403726
offered,-0.1577509500618492,0.2873361042886283,14,0.1577509500618492
thank,-0.17394479115804037,0.15111672937239384,6,0.17394479115804037
smiled,-0.19983596801757814,0.17189096853076882,5,0.19983596801757814
helped,-0.22779169347551134,0.35200502631866876,18,0.22779169347551134
recommended,-0.23897771835327147,0.3626380961072475,5,0.23897771835327147
returned,-0.25127601623535156,0.0230937557170962,3,0.25127601623535156
provided,-0.31752143303553265,0.6290525690065247,6,0.31752143303553265
examined,-0.35255870819091795,0.4916594411059296,5,0.35255870819091795
greeted,-0.353157177567482,0.3288487603859097,8,0.353157177567482
rejected,-0.4532793362935384,0.5698936391064251,3,0.4532793362935384
praised,-0.5031699339548746,0.5112372952776755,3,0.5031699339548746
kissed,-0.9530532360076904,0.13383770612777268,3,0.9530532360076904
wanted,-0.9928556283315023,1.3668249727885955,3,0.9928556283315023
did,-1.0199353694915771,1.7669482803476353,3,1.0199353694915771
moved,-1.7680625915527344,1.7195300435764953,3,1.7680625915527344
