Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
asked,173,0.05099119942075427,0.13449381689796847,4.986731213804593,1.4909725353120533e-06,9.24402971893473e-05,0.37913415350118224,True,male
fired,4,0.7903512418270111,0.06225616950520604,25.390294587941835,0.0001339823559542605,0.004153453034582076,12.695147293970917,True,male
returned,3,-0.25127601623535156,0.0230937557170962,-18.845909352065135,0.0028037310014116883,0.05794377402917489,-10.880690837538094,False,female
kissed,3,-0.9530532360076904,0.13383770612777268,-12.33386819636105,0.006509455843551066,0.10089656557504152,-7.120962123318416,False,female
helped,18,-0.22779169347551134,0.35200502631866876,-2.7455241677489464,0.013796816765016413,0.1710805278862035,-0.647126252308944,False,female
greeted,8,-0.353157177567482,0.3288487603859097,-3.0375037423235853,0.018913361949217323,0.19543807347524567,-1.0739197470382613,False,female
issued,3,-0.1253280242284139,0.032823278687942464,-6.613431511202987,0.022108296940286095,0.1958163443282483,-3.818266463260198,False,female
yelled,3,-0.1451450983683268,0.040992082743904416,-6.13285951860809,0.02557185697285621,0.1981818915396356,-3.540808093970539,False,female
charged,5,0.6580974578857421,0.4591677299396574,3.204821584142492,0.03274999356163787,0.20972522358872575,1.4332397835802346,False,male
thank,6,-0.17394479115804037,0.15111672937239384,-2.8195156388159495,0.03712978711699655,0.20972522358872575,-1.151062439482738,False,female
gave,37,0.35455461893532725,0.9967964402897461,2.163602781704434,0.03720931386251586,0.20972522358872575,0.3556941062432629,False,male
give,5,0.12080577611923218,0.09285492991275963,2.9091608569520235,0.043714864705185534,0.22586013431012528,1.3010162867252533,False,male
paid,11,0.13594611124558884,0.20558691075015162,2.1931466408262104,0.05305277880246566,0.25062046370697916,0.6612585925317163,False,male
smiled,5,-0.19983596801757814,0.17189096853076882,-2.5995944560449207,0.06007376638239146,0.25062046370697916,-1.1625739835296065,False,female
offered,14,-0.1577509500618492,0.28733610428862827,-2.054214554870629,0.06063398315491431,0.25062046370697916,-0.5490119330893024,False,female
forgot,3,0.05978743235270182,0.02938399379122631,3.5241931789369962,0.07193580811898646,0.27875125646107257,2.0346938805355177,False,male
explained,10,-0.14498827755451202,0.269317611552893,-1.7024255801662616,0.12288071614172115,0.42730177734560865,-0.5383542380258962,False,female
waited,7,0.05862232829843249,0.08809221006285367,1.7606562696357928,0.12877823751160758,0.42730177734560865,0.6654655191032843,False,male
sabotaged,4,0.35442892005085014,0.3433786981100036,2.0643617207571014,0.13094731886397684,0.42730177734560865,1.0321808603785507,False,male
let,4,0.13778790086507797,0.14348242385572255,1.9206241038084129,0.1505453233475555,0.46669050237742205,0.9603120519042064,False,male
demanded,4,-0.055089108645915985,0.06175709392461251,-1.7840576732177131,0.17241378407216304,0.49198684500312134,-0.8920288366088566,False,female
examined,5,-0.35255870819091795,0.4916594411059295,-1.603437606732651,0.1841021846816399,0.49198684500312134,-0.7170790972667564,False,female
invited,7,0.0361810994467565,0.06472264877933927,1.479021534229483,0.18961946865279375,0.49198684500312134,0.5590175947543453,False,male
got,6,0.19245813290278116,0.3301363743093103,1.4279681342198265,0.2126631904366538,0.49198684500312134,0.5829655496321163,False,male
recommended,5,-0.23897771835327147,0.3626380961072475,-1.4735639445550093,0.21460089855665007,0.49198684500312134,-0.6589978298435463,False,female
moved,3,-1.7680625915527344,1.7195300435764953,-1.7809367454619889,0.2168763604561025,0.49198684500312134,-1.0282243094021755,False,female
wrote,4,-0.1549384593963623,0.20100587502256986,-1.5416311526114856,0.22082524361428507,0.49198684500312134,-0.7708155763057428,False,female
learned,3,0.7422858973344167,0.7372508009630052,1.7438799472929698,0.2233002174602128,0.49198684500312134,1.0068295570039865,False,male
praised,3,-0.5031699339548746,0.5112372952776755,-1.7047189211373177,0.23036278074349198,0.49198684500312134,-0.9842199280112788,False,female
made,15,-0.06395193226635457,0.2009604405078356,-1.2325051039869637,0.23805815080796194,0.49198684500312134,-0.31823144945714343,False,female
treated,3,0.8031566937764486,0.8886566065805812,1.5654057931472825,0.2579677797483071,0.4945701683063405,0.9037874560645832,False,male
called,9,0.06959379133250979,0.17420389089076668,1.1984885809952674,0.265022618349545,0.4945701683063405,0.39949619366508915,False,male
expressed,5,0.016991966217756272,0.029551738779872362,1.285717629588736,0.26792639237066507,0.4945701683063405,0.5749904039260617,False,male
provided,6,-0.31752143303553265,0.6290525690065247,-1.2364077847463424,0.27121589874863833,0.4945701683063405,-0.5047613644389063,False,female
thanked,19,0.06003439835713882,0.2458152807595521,1.0645549567400667,0.3011502680343878,0.49962215720306824,0.24422565664606655,False,male
rejected,3,-0.4532793362935384,0.5698936391064251,-1.3776304675246487,0.302218737810271,0.49962215720306824,-0.795375321269186,False,female
