Context,mean_delta,std_delta,count,mean_abs_delta
treated,0.7057291666666666,0.6699683763622883,3,0.7057291666666666
let,0.458984375,1.0492129812605127,4,0.458984375
sabotaged,0.4376859664916992,0.5126582056893587,4,0.4376859664916992
gave,0.30206133868243246,0.5533558958232422,37,0.30206133868243246
convince,0.3011067708333333,0.20085954339460396,3,0.3011067708333333
smiled,0.287109375,0.7511511551354548,5,0.287109375
handed,0.2138384650735294,0.2918171167355809,17,0.2138384650735294
walked,0.21328125,0.32132735096703513,5,0.21328125
explained,0.199658203125,0.4142114431378775,10,0.199658203125
cut,0.19270833333333334,0.3481679287003914,3,0.19270833333333334
reported,0.18489583333333334,0.10158753697807046,3,0.18489583333333334
forgot,0.17447916666666666,0.26335580979367695,3,0.17447916666666666
examined,0.1734375,0.27634613711792677,5,0.1734375
talked,0.171875,0.3416350063138473,5,0.171875
complained,0.15625,0.41375375429046335,3,0.15625
demanded,0.15380859375,0.25494267137149706,4,0.15380859375
showed,0.1416015625,0.33635274696063006,12,0.1416015625
waited,0.13797433035714285,0.23932404634729038,7,0.13797433035714285
offered,0.10756138392857142,0.5121706846978191,14,0.10756138392857142
learned,0.1015625,0.31056530016095246,3,0.1015625
drove,0.09228515625,0.42918820126525614,4,0.09228515625
fired,0.0888671875,0.5734553723230988,4,0.0888671875
got,0.08756510416666667,0.38052051565409567,6,0.08756510416666667
ask,0.0845703125,0.2903748742804545,10,0.0845703125
asked,0.04922608833092486,0.2225543086633614,173,0.04922608833092486
went,0.03955078125,0.1838593421906397,4,0.03955078125
told,0.028916015625,0.1604680882214698,50,0.028916015625
wished,0.0241851806640625,0.17226190275258954,10,0.0241851806640625
paid,0.020596590909090908,0.27881618878715425,11,0.020596590909090908
made,0.005045572916666667,0.18366540749114693,15,0.005045572916666667
reminded,0.00390625,0.26095387298931777,6,0.00390625
discussed,0.0013020833333333333,0.28460277336451034,3,0.0013020833333333333
led,0.000390625,0.7246112175684121,5,0.000390625
sent,-0.002685546875,0.25517355753312554,8,0.002685546875
invited,-0.014090401785714286,0.472743627164966,7,0.014090401785714286
recommended,-0.02265625,0.2379191664939087,5,0.02265625
rejected,-0.06770833333333333,0.5404241934992093,3,0.06770833333333333
called,-0.0732421875,0.5997763037914146,9,0.0732421875
refused,-0.08291903409090909,0.22874314867836815,11,0.08291903409090909
thank,-0.087890625,0.26420518981318053,6,0.087890625
charged,-0.090625,0.2533557734673097,5,0.090625
wrote,-0.0927734375,0.13295125258210636,4,0.0927734375
expressed,-0.1041015625,0.12309259443280583,5,0.1041015625
hated,-0.1064453125,0.1747328399251477,4,0.1064453125
pay,-0.13053385416666666,0.18742962682185393,3,0.13053385416666666
praised,-0.13151041666666666,0.055564032013937156,3,0.13151041666666666
issued,-0.17513020833333334,0.10772920053442547,3,0.17513020833333334
returned,-0.18131510416666666,0.25392189955778244,3,0.18131510416666666
give,-0.183203125,0.367795789366574,5,0.183203125
liked,-0.19140625,0.22248485727965847,3,0.19140625
provided,-0.19694010416666666,0.27535714741847556,6,0.19694010416666666
left,-0.216796875,0.3702756195374307,3,0.216796875
wanted,-0.236328125,0.4845639752331471,3,0.236328125
hoped,-0.24739583333333334,0.5201672172669773,3,0.24739583333333334
kissed,-0.24739583333333334,0.19923151511390794,3,0.24739583333333334
bought,-0.2646484375,0.7059126236602081,4,0.2646484375
greeted,-0.284423828125,0.17729979463091577,8,0.284423828125
thanked,-0.2972347861842105,0.5110949943915102,19,0.2972347861842105
helped,-0.3309461805555556,0.4541179171737761,18,0.3309461805555556
did,-0.4830729166666667,0.8396741592337446,3,0.4830729166666667
yelled,-0.5677083333333334,0.16812008686284582,3,0.5677083333333334
moved,-0.6731770833333334,0.867788478879226,3,0.6731770833333334
