Context,mean_delta,std_delta,count,mean_abs_delta
convince,0.9557401140530905,0.8369058748207036,3,0.9557401140530905
treated,0.8261577685674032,0.40693213491954877,3,0.8261577685674032
paid,0.5336464264176108,1.50588286695979,11,0.5336464264176108
returned,0.4773840109507243,0.49255675828053,3,0.4773840109507243
cut,0.45747077465057373,0.46339737588475277,3,0.45747077465057373
pay,0.42893938223520917,1.3041105316854367,3,0.42893938223520917
discussed,0.40669870376586914,0.48905679145221603,3,0.40669870376586914
gave,0.266219150274992,0.6422218427511631,37,0.266219150274992
charged,0.23730151653289794,0.3208306753291315,5,0.23730151653289794
thank,0.22281670570373535,0.14798225763989403,6,0.22281670570373535
give,0.2068905711174011,0.1511584768726696,5,0.2068905711174011
issued,0.20164267222086588,0.13166285417488582,3,0.20164267222086588
ask,0.1870284378528595,0.36884927681249663,10,0.1870284378528595
hated,0.185394287109375,1.288933093691595,4,0.185394287109375
thanked,0.18250095824662008,1.0115981860687402,19,0.18250095824662008
recommended,0.15902633666992189,0.3671086083470435,5,0.15902633666992189
fired,0.15390652418136597,0.18051871916204407,4,0.15390652418136597
explained,0.15310220643877984,0.21758677627490883,10,0.15310220643877984
invited,0.13187551924160548,0.1853684778589389,7,0.13187551924160548
showed,0.13118743586043516,0.47044720679901275,12,0.13118743586043516
led,0.1304870843887329,0.055980997786395405,5,0.1304870843887329
drove,0.11601004004478455,0.18445658888192643,4,0.11601004004478455
greeted,0.10316357389092445,0.28275740313587494,8,0.10316357389092445
called,0.060845291862885155,0.11743584409712154,9,0.060845291862885155
sent,0.05832537263631821,0.20362534896207518,8,0.05832537263631821
let,0.05764219909906387,0.28934669756261844,4,0.05764219909906387
provided,0.05651764074961344,0.1140593667425165,6,0.05651764074961344
handed,0.04571004124248729,0.22270785822556974,17,0.04571004124248729
wished,0.036258964752778414,0.1040230591001164,10,0.036258964752778414
made,0.03416878798355659,0.1623824538862725,15,0.03416878798355659
got,0.033965349197387695,0.3794896182281978,6,0.033965349197387695
walked,0.03269706964492798,0.03810063038259437,5,0.03269706964492798
forgot,0.023811817169189453,0.149092852798121,3,0.023811817169189453
went,0.01613488793373108,0.4573338965988854,4,0.01613488793373108
waited,0.010369468214256423,0.04124288617481839,7,0.010369468214256423
reported,-0.0022006655732790628,0.09858849305212886,3,0.0022006655732790628
reminded,-0.005379676818847656,0.23951646180740044,6,0.005379676818847656
smiled,-0.005509418249130249,0.29031245354575874,5,0.005509418249130249
talked,-0.011339402198791504,0.10171634121499828,5,0.011339402198791504
told,-0.012378645627759397,0.12091047546770176,50,0.012378645627759397
yelled,-0.014342228571573893,0.06980057154673228,3,0.014342228571573893
helped,-0.018422614550217986,0.28778043064513237,18,0.018422614550217986
asked,-0.019276252198113786,0.2319250163463597,173,0.019276252198113786
expressed,-0.03625803589820862,0.03601319761361505,5,0.03625803589820862
wrote,-0.04431290179491043,0.09504247678390362,4,0.04431290179491043
left,-0.05357098082701365,0.018085951615236705,3,0.05357098082701365
refused,-0.0588582076809623,0.3375242471784256,11,0.0588582076809623
offered,-0.08860854325549943,0.18352121412455977,14,0.08860854325549943
praised,-0.14325443903605142,0.16381638580562147,3,0.14325443903605142
examined,-0.1610410213470459,0.4398573659484445,5,0.1610410213470459
liked,-0.16920416553815207,0.26787164502552235,3,0.16920416553815207
bought,-0.17761877924203873,0.4084977446332555,4,0.17761877924203873
hoped,-0.25469064712524414,0.4951445914486621,3,0.25469064712524414
sabotaged,-0.2864388228044845,0.5971365877972523,4,0.2864388228044845
learned,-0.3743438671032588,0.49741555293657735,3,0.3743438671032588
demanded,-0.538670003414154,1.6596159687450938,4,0.538670003414154
complained,-0.5594106217225393,0.9814954684270031,3,0.5594106217225393
rejected,-0.563111941019694,1.1054233892717042,3,0.563111941019694
kissed,-0.7060111363728842,0.643764995289098,3,0.7060111363728842
did,-1.3652890523274739,3.3521999714107804,3,1.3652890523274739
wanted,-1.4350248575210571,2.327781952415228,3,1.4350248575210571
moved,-2.557448387145996,2.454536084127768,3,2.557448387145996
