Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
led,5,0.1304870843887329,0.055980997786395405,5.212089859353432,0.006462364548296179,0.335911696821936,2.330917446070318,False,male
thank,6,0.22281670570373535,0.14798225763989403,3.688193732455267,0.014172232871119706,0.335911696821936,1.5056987861743971,False,male
gave,37,0.266219150274992,0.6422218427511631,2.521477415348498,0.01625379178170658,0.335911696821936,0.41452833359662283,False,male
left,3,-0.05357098082701365,0.018085951615236705,-5.130372046639551,0.03595626663083849,0.46673489668994994,-2.9620216821702763,False,female
give,5,0.2068905711174011,0.1511584768726696,3.060505705624164,0.037639911023383064,0.46673489668994994,1.3686997606603182,False,male
explained,10,0.15310220643877984,0.21758677627490888,2.2250970184518106,0.05312027501327613,0.54890950847052,0.7036374593157428,False,male
treated,3,0.8261577685674032,0.4069321349195487,3.5164272059992836,0.07222026632571792,0.6074630745278738,2.03021019396941,False,male
expressed,5,-0.03625803589820862,0.03601319761361505,-2.2512700446341642,0.08752198865400555,0.6074630745278738,-1.0067985711021952,False,female
offered,14,-0.08860854325549943,0.18352121412455977,-1.8065639549343466,0.09402233907995489,0.6074630745278738,-0.4828245261899745,False,female
sabotaged,4,-0.40730607515433803,0.35789271370324305,-2.276135051422519,0.10731651997913243,0.6074630745278738,-1.1380675257112596,False,female
invited,7,0.13187551924160548,0.18536847785893887,1.8822500565404314,0.10881504296324677,0.6074630745278738,0.7114236506918922,False,male
issued,3,0.20164267222086588,0.13166285417488582,2.6526491123805234,0.11757349829571753,0.6074630745278738,1.531507679098517,False,male
walked,5,0.03269706964492798,0.03810063038259437,1.9189412263505294,0.1274267420295945,0.6077275389103738,0.8581766053893188,False,male
ask,10,0.1870284378528595,0.36884927681249663,1.6034621402794353,0.143296093862418,0.6345969871049941,0.5070592505131434,False,male
called,9,0.060845291862885155,0.11743584409712154,1.5543454981061409,0.15870908972463948,0.6369197498385055,0.5181151660353802,False,male
charged,5,0.23730151653289794,0.3208306753291315,1.6539014593507897,0.173490582862062,0.6369197498385055,0.7396472182388942,False,male
convince,3,0.9557401140530905,0.8369058748207036,1.9779887872411848,0.18653201537721706,0.6369197498385055,1.1419923587677594,False,male
fired,4,0.15390652418136597,0.18051871916204404,1.7051586106503511,0.1867097939497104,0.6369197498385055,0.8525793053251756,False,male
kissed,3,-0.7060111363728842,0.643764995289098,-1.8995241553295794,0.1978910113048225,0.6369197498385055,-1.0966907824117293,False,female
moved,3,-2.557448387145996,2.454536084127768,-1.8046711852867452,0.21288935890402452,0.6369197498385055,-1.0419273946240635,False,female
cut,3,0.45747077465057373,0.46339737588475277,1.7098988166686278,0.22941200284781005,0.6369197498385055,0.9872105420906548,False,male
returned,3,0.4773840109507243,0.49255675828053,1.6786966126992962,0.23521773119818395,0.6369197498385055,0.9691959412296516,False,male
paid,11,0.5336464264176108,1.50588286695979,1.175327116055486,0.2670889996949901,0.6369197498385055,0.3543744590805948,False,male
