Context,mean_delta,std_delta,count,mean_abs_delta
had,0.4283707946538925,0.8280769881442381,10,0.4283707946538925
made,0.09499558806419373,0.28110519185147637,4,0.09499558806419373
fix,0.06521844863891602,0.04111910898381961,4,0.06521844863891602
completed,0.05616750568151474,0.013526444201028382,4,0.05616750568151474
make,0.039529949426651,0.08089010165406228,4,0.039529949426651
would,0.033029538579285145,0.04326015823679355,4,0.033029538579285145
cannot,0.021608859300613403,0.1564775975107835,4,0.021608859300613403
was,0.0068554895697161555,0.016556435315123203,24,0.0068554895697161555
wanted,-0.0015431089060647146,0.02020206559041043,7,0.0015431089060647146
felt,-0.010169707238674164,0.05380228522175684,4,0.010169707238674164
could,-0.07850137259811163,0.16397385382762986,8,0.07850137259811163
get,-0.08601512610912324,0.10784853950123031,5,0.08601512610912324
need,-0.10972089692950249,0.042030041372487906,4,0.10972089692950249
needed,-0.3299122534014962,0.46871799388760227,11,0.3299122534014962
