Context,mean_delta,std_delta,count,mean_abs_delta
felt,0.3060678541660309,0.1893853528602038,4,0.3060678541660309
needed,0.21631790494376962,0.6425656374595701,11,0.21631790494376962
fix,0.14626306295394897,0.06499465701379577,4,0.14626306295394897
make,0.03960208594799042,0.12028086653510836,4,0.03960208594799042
had,0.03405911847949028,0.20935051788964418,10,0.03405911847949028
was,-0.000203461842223381,0.014711638330407062,24,0.000203461842223381
would,-0.002361644816119224,0.009349943334474135,4,0.002361644816119224
could,-0.013281286228448153,0.07604395572049541,8,0.013281286228448153
wanted,-0.015214822654213225,0.014082719525809185,7,0.015214822654213225
get,-0.020156281441450118,0.10093310860169351,5,0.020156281441450118
need,-0.027212155982851982,0.05344036403246125,4,0.027212155982851982
completed,-0.08655646443367004,0.07871244578101945,4,0.08655646443367004
cannot,-0.21977514028549194,0.10981462036329265,4,0.21977514028549194
made,-0.32960110530257225,0.267409629647446,4,0.32960110530257225
