Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
fix,4,0.14626306295394897,0.06499465701379577,4.500771899539471,0.02048096788485891,0.13468248210701042,2.2503859497697354,False,male
cannot,4,-0.21977514028549194,0.10981462036329265,-4.002657197346291,0.027959812727445046,0.13468248210701042,-2.0013285986731457,False,female
wanted,7,-0.015214822654213225,0.014082719525809183,-2.858442001292848,0.028860531880073658,0.13468248210701042,-1.0803895246460922,False,female
felt,4,0.3060678541660309,0.1893853528602038,3.2322230789617308,0.04813441796751684,0.16847046288630896,1.6161115394808654,False,male
made,4,-0.32960110530257225,0.267409629647446,-2.465140135283234,0.09045363558226678,0.253270179630347,-1.232570067641617,False,female
completed,4,-0.08655646443367004,0.07871244578101945,-2.1993082180287704,0.11524644193673113,0.26890836451903927,-1.0996541090143852,False,female
needed,11,0.21631790494376962,0.6425656374595702,1.1165323576447712,0.29030351331823867,0.5806070266364773,0.3366471724180554,False,male
need,4,-0.027212155982851982,0.053440364032461246,-1.0184120739268363,0.38345875827370984,0.6710528269789923,-0.5092060369634182,False,female
make,4,0.03960208594799042,0.12028086653510836,0.6584935258415536,0.5572463869722875,0.730493226284599,0.3292467629207768,False,male
had,10,0.03405911847949028,0.20935051788964412,0.5144691810578411,0.6193183511260988,0.730493226284599,0.1626894398104332,False,male
could,8,-0.013281286228448153,0.07604395572049541,-0.4939925844748789,0.6364336210041865,0.730493226284599,-0.17465275316902765,False,female
would,4,-0.002361644816119224,0.009349943334474134,-0.5051677281105253,0.6482162535972222,0.730493226284599,-0.2525838640552627,False,female
get,5,-0.020156281441450118,0.10093310860169351,-0.44654143819705644,0.6783151386928419,0.730493226284599,-0.19969940211582787,False,female
was,24,-0.000203461842223381,0.014711638330407064,-0.06775284769526431,0.9465679392671397,0.9465679392671397,-0.013829992122825067,False,female
