Context,mean_delta,std_delta,count,mean_abs_delta
completed,0.1337304711341858,0.04044746805767114,4,0.1337304711341858
fix,0.11803722381591797,0.01294456168753568,4,0.11803722381591797
make,0.06330788135528564,0.15098490930176983,4,0.06330788135528564
wanted,0.04664238861628941,0.018358884512314412,7,0.04664238861628941
was,0.03345920595650872,0.04290520555378509,24,0.03345920595650872
would,0.026136577129364014,0.05000592769917632,4,0.026136577129364014
need,-0.007717594504356384,0.06021608573455678,4,0.007717594504356384
needed,-0.010565364902669733,0.1377139918131435,11,0.010565364902669733
had,-0.03141340315341949,0.08399776725830478,10,0.03141340315341949
felt,-0.07059973478317261,0.11129444563026634,4,0.07059973478317261
could,-0.08967832569032907,0.16217858276001085,8,0.08967832569032907
made,-0.09041082859039307,0.139297348071344,4,0.09041082859039307
cannot,-0.10234326124191284,0.06596991790680849,4,0.10234326124191284
get,-0.1412578821182251,0.04988087764832067,5,0.1412578821182251
