Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
fix,4,0.11803722381591797,0.01294456168753568,18.237345792801317,0.0003596706578606062,0.003690871528261322,9.118672896400659,True,male
wanted,7,0.04664238861628941,0.018358884512314412,6.721767912966456,0.0005272673611801888,0.003690871528261322,2.5405894669146996,True,male
was,24,0.03345920595650872,0.04290520555378509,3.820421356070516,0.0008777844859139797,0.004096327600931905,0.7798402437337106,True,male
get,5,-0.1412578821182251,0.04988087764832067,-6.332330978635805,0.003183710957628335,0.011142988351699173,-2.8319045048514857,True,female
completed,4,0.1337304711341858,0.040447468057671146,6.612550923756667,0.007042311671007335,0.019718472678820535,3.306275461878333,True,male
cannot,4,-0.10234326124191284,0.06596991790680849,-3.1027251356136794,0.05318231285236621,0.12409206332218782,-1.5513625678068397,False,female
could,8,-0.08967832569032907,0.16217858276001088,-1.564008049445683,0.16179219479365642,0.32358438958731284,-0.5529603487966938,False,female
had,10,-0.03141340315341949,0.08399776725830478,-1.182625518086017,0.2672573200335071,0.411664631558694,-0.37397902561884677,False,female
made,4,-0.09041082859039307,0.139297348071344,-1.2980983463387588,0.2850400879705751,0.411664631558694,-0.6490491731693794,False,female
felt,4,-0.07059973478317261,0.11129444563026634,-1.2687018544970967,0.29404616539906714,0.411664631558694,-0.6343509272485484,False,female
would,4,0.026136577129364014,0.05000592769917632,1.0453391560534744,0.3726763119865983,0.4743153061647615,0.5226695780267372,False,male
make,4,0.06330788135528564,0.15098490930176983,0.8385987930588975,0.4632519585551338,0.5404606183143228,0.41929939652944875,False,male
needed,11,-0.010565364902669733,0.13771399181314348,-0.2544501883504399,0.8043037076761572,0.8142686473603993,-0.07671961841760636,False,female
need,4,-0.007717594504356384,0.06021608573455678,-0.2563299958877073,0.8142686473603993,0.8142686473603993,-0.12816499794385364,False,female
