Context,mean_delta,std_delta,count,mean_abs_delta
fix,0.13797888159751892,0.06616586516199238,4,0.13797888159751892
completed,0.10452798008918762,0.03534082428731984,4,0.10452798008918762
had,0.025214120745658875,0.20051646041875218,10,0.025214120745658875
cannot,0.016397938132286072,0.04029323747589007,4,0.016397938132286072
would,0.007180888205766678,0.022187409437647784,4,0.007180888205766678
could,0.0068407682701945305,0.0261583383739362,8,0.0068407682701945305
need,0.0033438652753829956,0.02863021673683239,4,0.0033438652753829956
was,-0.010320614092051983,0.05940827394998614,24,0.010320614092051983
made,-0.0372101366519928,0.13373108006965734,4,0.0372101366519928
felt,-0.03803860396146774,0.04675062050001839,4,0.03803860396146774
make,-0.04872730374336243,0.04288484931646486,4,0.04872730374336243
wanted,-0.05206990987062454,0.11881205173195884,7,0.05206990987062454
get,-0.07971177101135254,0.0380451615929608,5,0.07971177101135254
needed,-0.11792571436275136,0.13448078174404904,11,0.11792571436275136
