Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
get,5,-0.07971177101135254,0.0380451615929608,-4.684983086555216,0.009412768630298723,0.06755265792745031,-2.095188130994849,False,female
completed,4,0.10452798008918762,0.03534082428731984,5.915424000265433,0.009650379703921474,0.06755265792745031,2.9577120001327155,False,male
needed,11,-0.11792571436275136,0.13448078174404904,-2.90833636303708,0.01560913450941565,0.07284262771060637,-0.876896407303713,False,female
fix,4,0.13797888159751892,0.06616586516199238,4.170696816544554,0.02509263751784968,0.08782423131247388,2.085348408272277,False,male
make,4,-0.04872730374336243,0.04288484931646486,-2.272471724630939,0.10767939980447101,0.3015023194525188,-1.1362358623154696,False,female
felt,4,-0.03803860396146774,0.046750620500018394,-1.6272983568828903,0.20215340286947922,0.4716912733621182,-0.813649178441445,False,female
wanted,7,-0.05206990987062454,0.11881205173195883,-1.1595122742094968,0.29030085312325704,0.5806017062465141,-0.438254445669323,False,female
was,24,-0.010320614092051983,0.05940827394998615,-0.8510679296620348,0.4035055954569081,0.6769851022483464,-0.17372351367657246,False,female
cannot,4,0.016397938132286072,0.04029323747589007,0.8139300368751937,0.4752858163133862,0.6769851022483464,0.40696501843759686,False,male
could,8,0.0068407682701945305,0.0261583383739362,0.7396729200811919,0.48356078732024743,0.6769851022483464,0.261513868824733,False,male
would,4,0.007180888205766678,0.022187409437647784,0.6472939732731561,0.563558122185638,0.7172557918726302,0.32364698663657804,False,male
made,4,-0.0372101366519928,0.13373108006965734,-0.5564919782687903,0.6166903584418265,0.7194720848487975,-0.27824598913439513,False,female
had,10,0.025214120745658875,0.20051646041875218,0.39764341834217043,0.7001595804430726,0.7540180097079243,0.1257458898536435,False,male
need,4,0.0033438652753829956,0.028630216736832387,0.23358993794001973,0.830335410587183,0.830335410587183,0.11679496897000986,False,male
