Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
fix,4,0.37646484375,0.1425948459801323,5.280202677205496,0.01324654661242656,0.18545165257397184,2.640101338602748,False,male
completed,4,0.7783203125,0.4773130083356542,3.261257493123559,0.0470868084217061,0.21705151966310532,1.6306287465617795,False,male
make,4,-0.10400390625,0.0676840714243523,-3.0732166095014217,0.05442473639945297,0.21705151966310532,-1.5366083047507106,False,female
wanted,7,0.06501116071428571,0.07513791679346929,2.289168651912933,0.06201471990374438,0.21705151966310532,0.8652244231495149,False,male
would,4,-0.19482421875,0.1875008477085872,-2.0781156046056366,0.12923508325952895,0.3618582331266811,-1.039057802302818,False,female
need,4,0.141845703125,0.18249159249226513,1.5545450745191136,0.21789153379366086,0.39637245032743434,0.7772725372595568,False,male
could,8,0.2642822265625,0.5604569252344056,1.3337385703371534,0.22404926229064598,0.39637245032743434,0.47154779370772615,False,male
cannot,4,0.1845703125,0.24330586456911382,1.5171875353425415,0.22649854304424819,0.39637245032743434,0.7585937676712707,False,male
made,4,0.037109375,0.06903497990526855,1.0750890360487502,0.36110351283961767,0.5617165755282941,0.5375445180243751,False,male
felt,4,-0.0361328125,0.10979851968551402,-0.6581657494744365,0.5574303461079159,0.75322690207161,-0.32908287473721826,False,female
get,5,-0.023046875,0.08855435149638505,-0.5819519684591016,0.5918211373419793,0.75322690207161,-0.26025683222287294,False,female
had,10,-0.00966796875,0.06907556685417097,-0.44259935878448664,0.6685015450657957,0.7625815952355665,-0.13996220646890314,False,female
needed,11,-0.056640625,0.5832581971234684,-0.3220798300695929,0.7540242679472281,0.7625815952355665,-0.09711072262566058,False,female
was,24,0.011820475260416666,0.18942740582260076,0.3057016251632413,0.7625815952355665,0.7625815952355665,0.06240108293245895,False,male
