Context,mean_delta,std_delta,count,mean_abs_delta
completed,0.7783203125,0.4773130083356542,4,0.7783203125
fix,0.37646484375,0.14259484598013233,4,0.37646484375
could,0.2642822265625,0.5604569252344056,8,0.2642822265625
cannot,0.1845703125,0.24330586456911382,4,0.1845703125
need,0.141845703125,0.18249159249226513,4,0.141845703125
wanted,0.06501116071428571,0.07513791679346929,7,0.06501116071428571
made,0.037109375,0.06903497990526855,4,0.037109375
was,0.011820475260416666,0.18942740582260076,24,0.011820475260416666
had,-0.00966796875,0.06907556685417097,10,0.00966796875
get,-0.023046875,0.08855435149638505,5,0.023046875
felt,-0.0361328125,0.10979851968551402,4,0.0361328125
needed,-0.056640625,0.5832581971234684,11,0.056640625
make,-0.10400390625,0.0676840714243523,4,0.10400390625
would,-0.19482421875,0.1875008477085872,4,0.19482421875
