Context,n,mean_delta,std_delta,t_statistic,p_value,p_value_fdr,cohens_d,significant_fdr,direction
completed,4,0.3119063675403595,0.0884677286079006,7.051302716785355,0.005862446266103269,0.08207424772544576,3.5256513583926776,False,male
fix,4,0.060049839317798615,0.028392074006200477,4.230042462180429,0.024171166267562213,0.14414072148440912,2.1150212310902146,False,male
need,4,-0.06093976926058531,0.03224618139479226,-3.7796580323415934,0.03245101772794301,0.14414072148440912,-1.8898290161707967,False,female
cannot,4,-0.36495769023895264,0.2120761269255924,-3.441761178211249,0.04118306328125975,0.14414072148440912,-1.7208805891056245,False,female
had,10,0.14301125146448612,0.2707366067489067,1.6704105554454844,0.12917582969226565,0.35444608395012533,0.5282301982794709,False,male
was,24,-0.004628346301615238,0.015299433579664378,-1.4820269956822394,0.15190546455005371,0.35444608395012533,-0.30251749370428455,False,female
would,4,0.03886597789824009,0.050432463811065836,1.5413079180046785,0.220899233200983,0.441798466401966,0.7706539590023392,False,male
get,5,0.2176737492904067,0.38744657354163065,1.2562591427287384,0.2773883693493008,0.4854296463612764,0.5618161680994139,False,male
make,4,0.028725195676088333,0.05408607536217321,1.0622029971203344,0.3660727788491189,0.5180345428361159,0.5311014985601672,False,male
could,8,-0.02963077649474144,0.08749285301537037,-0.9578895769954536,0.37002467345436857,0.5180345428361159,-0.3386651077606994,False,female
wanted,7,0.06837671196886472,0.2132983850070636,0.8481441401064463,0.42888923354141156,0.5449859967222778,0.32056835295119723,False,male
needed,11,-0.052820357409390534,0.243086428388791,-0.7206708658338871,0.48761673244255566,0.5449859967222778,-0.21729044175559636,False,female
felt,4,-0.034952543675899506,0.09281309837381355,-0.7531812704953524,0.5060584255278293,0.5449859967222778,-0.3765906352476762,False,female
made,4,0.16350690741091967,1.244858173169854,0.2626916237286254,0.8097952864875341,0.8097952864875341,0.1313458118643127,False,male
