Context,mean_delta,std_delta,count,mean_abs_delta
completed,0.3119063675403595,0.0884677286079006,4,0.3119063675403595
get,0.2176737492904067,0.3874465735416306,5,0.2176737492904067
made,0.16350690741091967,1.2448581731698538,4,0.16350690741091967
had,0.14301125146448612,0.2707366067489067,10,0.14301125146448612
wanted,0.06837671196886472,0.21329838500706363,7,0.06837671196886472
fix,0.060049839317798615,0.02839207400620048,4,0.060049839317798615
would,0.03886597789824009,0.050432463811065836,4,0.03886597789824009
make,0.028725195676088333,0.05408607536217321,4,0.028725195676088333
was,-0.004628346301615238,0.01529943357966438,24,0.004628346301615238
could,-0.02963077649474144,0.08749285301537037,8,0.02963077649474144
felt,-0.034952543675899506,0.09281309837381355,4,0.034952543675899506
needed,-0.052820357409390534,0.24308642838879096,11,0.052820357409390534
need,-0.06093976926058531,0.03224618139479226,4,0.06093976926058531
cannot,-0.36495769023895264,0.2120761269255924,4,0.36495769023895264
